#	startTime:1560770131092
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770131095	TYPE_WAYPOINT	163.71089	36.19737
1560770131217	TYPE_ACCELEROMETER	0.50032043	0.9011688	9.577927
1560770131217	TYPE_MAGNETIC_FIELD	-15.032959	-2.4856567	-24.67041
1560770131217	TYPE_GYROSCOPE	-0.15007019	0.009017944	-0.11582947
1560770131217	TYPE_ROTATION_VECTOR	0.011204112	-0.056373034	-0.7547995
1560770131217	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-103.34015	-352.42462
1560770131217	TYPE_GYROSCOPE_UNCALIBRATED	-0.21057129	-0.054138184	-0.117889404
1560770131217	TYPE_ACCELEROMETER_UNCALIBRATED	0.5356293	0.9508362	9.9717865
1560770131237	TYPE_ACCELEROMETER	0.6032715	1.088501	9.148773
1560770131237	TYPE_MAGNETIC_FIELD	-14.320374	-2.4856567	-24.67041
1560770131237	TYPE_GYROSCOPE	-0.14102173	0.04524231	-0.12275696
1560770131237	TYPE_ROTATION_VECTOR	0.010540571	-0.054506212	-0.7550857
1560770131237	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.69989	-103.34015	-352.42462
1560770131237	TYPE_GYROSCOPE_UNCALIBRATED	-0.1525116	0.008712769	-0.11470032
1560770131237	TYPE_ACCELEROMETER_UNCALIBRATED	0.50032043	0.9011688	9.577927
1560770131257	TYPE_ACCELEROMETER	0.58891296	1.2405396	8.920731
1560770131257	TYPE_MAGNETIC_FIELD	-14.320374	-2.4856567	-25.364685
1560770131257	TYPE_GYROSCOPE	-0.19480896	0.060165405	-0.1264801
1560770131257	TYPE_ROTATION_VECTOR	0.011075403	-0.055477727	-0.7517813
1560770131257	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.69989	-103.34015	-353.1189
1560770131257	TYPE_GYROSCOPE_UNCALIBRATED	-0.19725037	0.05986023	-0.12535095
1560770131257	TYPE_ACCELEROMETER_UNCALIBRATED	0.58891296	1.2405396	8.920731
1560770131277	TYPE_ACCELEROMETER	0.5631714	1.3249359	9.085327
1560770131277	TYPE_MAGNETIC_FIELD	-13.607788	-3.9016724	-23.977661
1560770131277	TYPE_GYROSCOPE	-0.23902893	0.03565979	-0.14085388
1560770131277	TYPE_ROTATION_VECTOR	0.01239119	-0.05655099	-0.7468699
1560770131277	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.987305	-104.756165	-351.73187
1560770131277	TYPE_GYROSCOPE_UNCALIBRATED	-0.19725037	0.05986023	-0.12535095
1560770131277	TYPE_ACCELEROMETER_UNCALIBRATED	0.58891296	1.2405396	8.920731
1560770131297	TYPE_ACCELEROMETER	0.7211914	1.3452911	9.307983
1560770131297	TYPE_MAGNETIC_FIELD	-15.032959	-1.7776489	-23.977661
1560770131297	TYPE_GYROSCOPE	-0.21131897	-0.050628662	-0.16696167
1560770131297	TYPE_ROTATION_VECTOR	0.01306375	-0.05857428	-0.73909056
1560770131297	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-102.63214	-351.73187
1560770131297	TYPE_GYROSCOPE_UNCALIBRATED	-0.21376038	-0.050933838	-0.16583252
1560770131297	TYPE_ACCELEROMETER_UNCALIBRATED	0.7211914	1.3452911	9.307983
1560770131317	TYPE_ACCELEROMETER	0.7403412	1.3285217	9.081131
1560770131317	TYPE_MAGNETIC_FIELD	-12.895203	-3.1936646	-24.67041
1560770131317	TYPE_GYROSCOPE	-0.17936707	-0.12680054	-0.19677734
1560770131317	TYPE_ROTATION_VECTOR	0.012168238	-0.06042257	-0.73672664
1560770131317	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.27472	-104.04816	-352.42462
1560770131317	TYPE_GYROSCOPE_UNCALIBRATED	-0.18180847	-0.12710571	-0.1956482
1560770131317	TYPE_ACCELEROMETER_UNCALIBRATED	0.7403412	1.3285217	9.081131
1560770131337	TYPE_ACCELEROMETER	0.72657776	1.3183441	8.95784
1560770131337	TYPE_MAGNETIC_FIELD	-14.320374	-3.9016724	-24.67041
1560770131337	TYPE_GYROSCOPE	-0.23582458	-0.16409302	-0.19732666
1560770131337	TYPE_ROTATION_VECTOR	0.012168238	-0.06042257	-0.73672664
1560770131337	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.69989	-104.756165	-352.42462
1560770131337	TYPE_GYROSCOPE_UNCALIBRATED	-0.18180847	-0.12710571	-0.1956482
1560770131337	TYPE_ACCELEROMETER_UNCALIBRATED	0.7403412	1.3285217	9.081131
1560770131357	TYPE_ACCELEROMETER	0.5362396	1.2932129	8.644791
1560770131357	TYPE_MAGNETIC_FIELD	-15.032959	-1.7776489	-24.67041
1560770131357	TYPE_GYROSCOPE	-0.34980774	-0.25090027	-0.14831543
1560770131357	TYPE_ROTATION_VECTOR	0.008698983	-0.06199687	-0.7319693
1560770131357	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-102.63214	-352.42462
1560770131357	TYPE_GYROSCOPE_UNCALIBRATED	-0.35224915	-0.25120544	-0.14718628
1560770131357	TYPE_ACCELEROMETER_UNCALIBRATED	0.5362396	1.2932129	8.644791
1560770131377	TYPE_ACCELEROMETER	0.5470123	1.4500275	9.166733
1560770131377	TYPE_MAGNETIC_FIELD	-15.032959	-3.9016724	-24.67041
1560770131377	TYPE_GYROSCOPE	-0.39933777	-0.101760864	-0.09239197
1560770131377	TYPE_ROTATION_VECTOR	0.0077674324	-0.0611629	-0.72902
1560770131377	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-104.756165	-352.42462
1560770131377	TYPE_GYROSCOPE_UNCALIBRATED	-0.35224915	-0.25120544	-0.14718628
1560770131377	TYPE_ACCELEROMETER_UNCALIBRATED	0.5362396	1.2932129	8.644791
1560770131397	TYPE_ACCELEROMETER	0.70622253	1.40094	9.106277
1560770131397	TYPE_MAGNETIC_FIELD	-16.45813	-3.9016724	-24.67041
1560770131397	TYPE_GYROSCOPE	-0.3822937	-0.07513428	-0.14085388
1560770131397	TYPE_ROTATION_VECTOR	0.0077674324	-0.0611629	-0.72902
1560770131397	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.83765	-104.756165	-352.42462
1560770131397	TYPE_GYROSCOPE_UNCALIBRATED	-0.40177917	-0.10206604	-0.09126282
1560770131397	TYPE_ACCELEROMETER_UNCALIBRATED	0.70622253	1.40094	9.106277
1560770131418	TYPE_ACCELEROMETER	0.56077576	1.40094	8.992554
1560770131418	TYPE_MAGNETIC_FIELD	-13.607788	-3.1936646	-24.67041
1560770131418	TYPE_GYROSCOPE	-0.40679932	-0.0650177	-0.17707825
1560770131418	TYPE_ROTATION_VECTOR	0.0054041645	-0.0593394	-0.7248488
1560770131418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.987305	-104.04816	-352.42462
1560770131418	TYPE_GYROSCOPE_UNCALIBRATED	-0.40924072	-0.065322876	-0.1759491
1560770131418	TYPE_ACCELEROMETER_UNCALIBRATED	0.56077576	1.40094	8.992554
1560770131438	TYPE_ACCELEROMETER	0.6643219	1.2590942	9.487549
1560770131438	TYPE_MAGNETIC_FIELD	-12.895203	-1.7776489	-22.589111
1560770131438	TYPE_GYROSCOPE	-0.4046631	-3.0517578E-5	-0.1802826
1560770131438	TYPE_ROTATION_VECTOR	0.0054041645	-0.0593394	-0.7248488
1560770131438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.27472	-102.63214	-350.34332
1560770131438	TYPE_GYROSCOPE_UNCALIBRATED	-0.40924072	-0.065322876	-0.1759491
