#	startTime:1560770246983
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770246983	TYPE_WAYPOINT	163.71089	36.19737
1560770247106	TYPE_ACCELEROMETER	0.010101318	-0.2738037	9.909531
1560770247106	TYPE_MAGNETIC_FIELD	13.467407	10.253906	-23.977661
1560770247106	TYPE_GYROSCOPE	-0.17936707	-0.05809021	0.3278656
1560770247106	TYPE_ROTATION_VECTOR	-0.009994442	0.007256501	0.4670422
1560770247106	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.91211	-90.600586	-351.73187
1560770247106	TYPE_GYROSCOPE_UNCALIBRATED	-0.23666382	-0.28689575	0.35243225
1560770247106	TYPE_ACCELEROMETER_UNCALIBRATED	0.010101318	-0.2738037	9.909531
1560770247126	TYPE_ACCELEROMETER	-0.004257202	-0.1660614	9.955017
1560770247126	TYPE_MAGNETIC_FIELD	14.179993	9.547424	-26.05896
1560770247126	TYPE_GYROSCOPE	-0.13623047	0.03565979	0.2921753
1560770247126	TYPE_ROTATION_VECTOR	-0.011468577	0.0026565169	0.47361368
1560770247126	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-91.30707	-353.81317
1560770247126	TYPE_GYROSCOPE_UNCALIBRATED	-0.18180847	-0.058395386	0.32899475
1560770247126	TYPE_ACCELEROMETER_UNCALIBRATED	-0.004257202	-0.1660614	9.955017
1560770247146	TYPE_ACCELEROMETER	0.098098755	-0.10261536	10.0160675
1560770247146	TYPE_MAGNETIC_FIELD	13.467407	10.961914	-23.977661
1560770247146	TYPE_GYROSCOPE	-0.08029175	0.011154175	0.2959137
1560770247146	TYPE_ROTATION_VECTOR	-0.011751557	0.00111069	0.47700965
1560770247146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.91211	-89.89258	-351.73187
1560770247146	TYPE_GYROSCOPE_UNCALIBRATED	-0.13867188	0.035354614	0.29330444
1560770247146	TYPE_ACCELEROMETER_UNCALIBRATED	-0.004257202	-0.1660614	9.955017
1560770247166	TYPE_ACCELEROMETER	-0.048553467	-0.12237549	9.789215
1560770247166	TYPE_MAGNETIC_FIELD	14.892578	8.8394165	-24.67041
1560770247166	TYPE_GYROSCOPE	-0.03289795	0.0074310303	0.2698059
1560770247166	TYPE_ROTATION_VECTOR	-0.010765678	-4.1648318E-4	0.47917348
1560770247166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.48694	-92.015076	-352.42462
1560770247166	TYPE_GYROSCOPE_UNCALIBRATED	-0.082733154	0.010848999	0.29704285
1560770247166	TYPE_ACCELEROMETER_UNCALIBRATED	-0.048553467	-0.12237549	9.789215
1560770247186	TYPE_ACCELEROMETER	-0.16706848	-0.16964722	9.826324
1560770247186	TYPE_MAGNETIC_FIELD	14.179993	9.547424	-22.589111
1560770247186	TYPE_GYROSCOPE	-0.057922363	0.06335449	0.25222778
1560770247186	TYPE_ROTATION_VECTOR	-0.010468234	-5.315342E-4	0.4816484
1560770247186	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-91.30707	-350.34332
1560770247186	TYPE_GYROSCOPE_UNCALIBRATED	-0.035339355	0.0071258545	0.27093506
1560770247186	TYPE_ACCELEROMETER_UNCALIBRATED	-0.048553467	-0.12237549	9.789215
1560770247206	TYPE_ACCELEROMETER	-0.17604065	-0.14750671	10.060364
1560770247206	TYPE_MAGNETIC_FIELD	12.754822	9.547424	-24.67041
1560770247206	TYPE_GYROSCOPE	-0.06803894	0.072402954	0.24264526
1560770247206	TYPE_ROTATION_VECTOR	-0.011332752	2.1331912E-4	0.48326325
1560770247206	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-35.624695	-91.30707	-352.42462
1560770247206	TYPE_GYROSCOPE_UNCALIBRATED	-0.06036377	0.06304932	0.25335693
1560770247206	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16706848	-0.16964722	9.826324
1560770247226	TYPE_ACCELEROMETER	-0.1706543	-0.12297058	10.171097
1560770247226	TYPE_MAGNETIC_FIELD	14.179993	8.8394165	-23.977661
1560770247226	TYPE_GYROSCOPE	-0.03289795	0.02394104	0.24157715
1560770247226	TYPE_ROTATION_VECTOR	-0.012098022	9.6257386E-4	0.4842874
1560770247226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-92.015076	-351.73187
1560770247226	TYPE_GYROSCOPE_UNCALIBRATED	-0.07048035	0.07209778	0.24377441
1560770247226	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1706543	-0.12297058	10.171097
1560770247246	TYPE_ACCELEROMETER	-0.09883118	-0.11936951	10.087296
1560770247246	TYPE_MAGNETIC_FIELD	14.179993	8.8394165	-23.283386
1560770247246	TYPE_GYROSCOPE	-0.011581421	-0.021865845	0.23944092
1560770247246	TYPE_ROTATION_VECTOR	-0.012178642	0.0013919773	0.48591286
1560770247246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-92.015076	-351.0376
1560770247246	TYPE_GYROSCOPE_UNCALIBRATED	-0.035339355	0.023635864	0.2427063
1560770247246	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1706543	-0.12297058	10.171097
1560770247266	TYPE_ACCELEROMETER	-0.030593872	-0.11279297	10.08371
1560770247266	TYPE_MAGNETIC_FIELD	13.467407	10.253906	-25.364685
1560770247266	TYPE_GYROSCOPE	-0.02809143	-0.04425049	0.23997498
1560770247266	TYPE_ROTATION_VECTOR	-0.0117443	0.0011954972	0.48780248
1560770247266	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.91211	-90.600586	-353.1189
1560770247266	TYPE_GYROSCOPE_UNCALIBRATED	-0.014022827	-0.02217102	0.24057007
1560770247266	TYPE_ACCELEROMETER_UNCALIBRATED	-0.030593872	-0.11279297	10.08371
1560770247286	TYPE_ACCELEROMETER	0.004119873	-0.13554382	10.195633
1560770247286	TYPE_MAGNETIC_FIELD	14.179993	8.131409	-23.283386
1560770247286	TYPE_GYROSCOPE	-0.048339844	-0.045303345	0.2453003
1560770247286	TYPE_ROTATION_VECTOR	-0.011251213	5.301486E-4	0.48911428
1560770247286	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-92.72308	-351.0376
1560770247286	TYPE_GYROSCOPE_UNCALIBRATED	-0.030532837	-0.044555664	0.24110413
1560770247286	TYPE_ACCELEROMETER_UNCALIBRATED	-0.030593872	-0.11279297	10.08371
1560770247307	TYPE_ACCELEROMETER	0.044830322	-0.16726685	10.414108
1560770247307	TYPE_MAGNETIC_FIELD	13.467407	8.131409	-24.67041
1560770247307	TYPE_GYROSCOPE	-0.04248047	-0.00642395	0.25595093
1560770247307	TYPE_ROTATION_VECTOR	-0.010998011	-3.45738E-4	0.49159244
1560770247307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.91211	-92.72308	-352.42462
1560770247307	TYPE_GYROSCOPE_UNCALIBRATED	-0.05078125	-0.04560852	0.24642944
1560770247307	TYPE_ACCELEROMETER_UNCALIBRATED	0.004119873	-0.13554382	10.195633
1560770247327	TYPE_ACCELEROMETER	-0.002456665	-0.13554382	10.487122
1560770247327	TYPE_MAGNETIC_FIELD	14.179993	8.8394165	-23.283386
1560770247327	TYPE_GYROSCOPE	0.0065307617	0.0287323	0.256485
1560770247327	TYPE_ROTATION_VECTOR	-0.010651019	-8.353216E-4	0.49630442
1560770247327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-92.015076	-351.0376
1560770247327	TYPE_GYROSCOPE_UNCALIBRATED	-0.044921875	-0.006729126	0.25708008
1560770247327	TYPE_ACCELEROMETER_UNCALIBRATED	-0.002456665	-0.13554382	10.487122
1560770247347	TYPE_ACCELEROMETER	-0.0030670166	-0.06730652	10.383591
1560770247347	TYPE_MAGNETIC_FIELD	15.605164	7.423401	-23.283386
1560770247347	TYPE_GYROSCOPE	0.08430481	0.041519165	0.25650024
1560770247347	TYPE_ROTATION_VECTOR	-0.010651019	-8.353216E-4	0.49630442
1560770247347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-93.43109	-351.0376
1560770247347	TYPE_GYROSCOPE_UNCALIBRATED	0.0040893555	0.028427124	0.25761414
1560770247347	TYPE_ACCELEROMETER_UNCALIBRATED	-0.002456665	-0.13554382	10.487122
1560770247367	TYPE_ACCELEROMETER	-0.004852295	0.02607727	10.065155
1560770247367	TYPE_MAGNETIC_FIELD	15.605164	9.547424	-23.977661
1560770247367	TYPE_GYROSCOPE	0.14341736	0.013824463	0.24850464
1560770247367	TYPE_ROTATION_VECTOR	-0.009657559	-1.2507703E-4	0.49910203
1560770247367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-91.30707	-351.73187
1560770247367	TYPE_GYROSCOPE_UNCALIBRATED	0.0818634	0.04121399	0.2576294
1560770247367	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0030670166	-0.06730652	10.383591
1560770247387	TYPE_ACCELEROMETER	0.11065674	-0.026000977	9.894562
1560770247387	TYPE_MAGNETIC_FIELD	14.179993	7.423401	-24.67041
1560770247387	TYPE_GYROSCOPE	0.15141296	-0.021331787	0.237854
1560770247387	TYPE_ROTATION_VECTOR	-0.006047978	9.682739E-4	0.50332636
1560770247387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-93.43109	-352.42462
1560770247387	TYPE_GYROSCOPE_UNCALIBRATED	0.14097595	0.013519287	0.24963379
1560770247387	TYPE_ACCELEROMETER_UNCALIBRATED	0.11065674	-0.026000977	9.894562
1560770247407	TYPE_ACCELEROMETER	0.15794373	0.016494751	9.920898
1560770247407	TYPE_MAGNETIC_FIELD	15.605164	7.423401	-23.977661
1560770247407	TYPE_GYROSCOPE	0.13702393	-0.059158325	0.21228027
1560770247407	TYPE_ROTATION_VECTOR	-0.006047978	9.682739E-4	0.50332636
1560770247407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-93.43109	-351.73187
1560770247407	TYPE_GYROSCOPE_UNCALIBRATED	0.14897156	-0.021636963	0.23898315
1560770247407	TYPE_ACCELEROMETER_UNCALIBRATED	0.11065674	-0.026000977	9.894562
1560770247427	TYPE_ACCELEROMETER	0.2303772	0.009307861	9.870621
1560770247427	TYPE_MAGNETIC_FIELD	14.179993	8.8394165	-23.977661
1560770247427	TYPE_GYROSCOPE	0.12158203	-0.09750366	0.17819214
1560770247427	TYPE_ROTATION_VECTOR	-0.0040733097	7.6204515E-4	0.50584245
1560770247427	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-92.015076	-351.73187
1560770247427	TYPE_GYROSCOPE_UNCALIBRATED	0.13458252	-0.0594635	0.21340942
1560770247427	TYPE_ACCELEROMETER_UNCALIBRATED	0.2303772	0.009307861	9.870621
1560770247447	TYPE_ACCELEROMETER	0.26150513	-0.0014648438	9.763489
1560770247447	TYPE_MAGNETIC_FIELD	15.605164	8.131409	-25.364685
1560770247447	TYPE_GYROSCOPE	0.12263489	-0.113479614	0.13931274
1560770247447	TYPE_ROTATION_VECTOR	-0.0020883952	3.3090346E-5	0.5073907
1560770247447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-92.72308	-353.1189
1560770247447	TYPE_GYROSCOPE_UNCALIBRATED	0.119140625	-0.09780884	0.17932129
1560770247447	TYPE_ACCELEROMETER_UNCALIBRATED	0.2303772	0.009307861	9.870621
1560770247467	TYPE_ACCELEROMETER	0.22917175	-0.023010254	9.566559
1560770247467	TYPE_MAGNETIC_FIELD	15.605164	8.131409	-23.977661
1560770247467	TYPE_GYROSCOPE	0.15299988	-0.10070801	0.111083984
1560770247467	TYPE_ROTATION_VECTOR	-1.1487643E-4	-8.426725E-4	0.50916374
