#	startTime:1560770440279
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770440279	TYPE_WAYPOINT	181.11378	53.22236
1560770440436	TYPE_ACCELEROMETER	0.4691925	0.39956665	10.042404
1560770440436	TYPE_MAGNETIC_FIELD	-18.595886	-27.259827	-31.608582
1560770440436	TYPE_GYROSCOPE	0.092285156	-0.02507019	-0.16215515
1560770440436	TYPE_ROTATION_VECTOR	-0.010218067	-0.025525233	-0.9578117
1560770440436	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-128.11432	-359.3628
1560770440436	TYPE_GYROSCOPE_UNCALIBRATED	0.08984375	-0.025375366	-0.161026
1560770440436	TYPE_ACCELEROMETER_UNCALIBRATED	0.4398651	0.43249512	10.248306
1560770440456	TYPE_ACCELEROMETER	0.46679688	0.40734863	9.734146
1560770440456	TYPE_MAGNETIC_FIELD	-17.8833	-26.551819	-31.608582
1560770440456	TYPE_GYROSCOPE	0.11784363	-0.039978027	-0.17228699
1560770440456	TYPE_ROTATION_VECTOR	-0.011704856	-0.026553297	-0.9586732
1560770440456	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-127.40631	-359.3628
1560770440456	TYPE_GYROSCOPE_UNCALIBRATED	0.11540222	-0.040283203	-0.17115784
1560770440456	TYPE_ACCELEROMETER_UNCALIBRATED	0.4769745	0.38639832	9.8502655
1560770440476	TYPE_ACCELEROMETER	0.40335083	0.48516846	9.7586975
1560770440476	TYPE_MAGNETIC_FIELD	-15.745544	-27.967834	-30.221558
1560770440476	TYPE_GYROSCOPE	0.078430176	-0.01121521	-0.18986511
1560770440476	TYPE_ROTATION_VECTOR	-0.012079926	-0.027555332	-0.95928556
1560770440476	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-128.82233	-357.97577
1560770440476	TYPE_GYROSCOPE_UNCALIBRATED	0.07598877	-0.011520386	-0.18873596
1560770440476	TYPE_ACCELEROMETER_UNCALIBRATED	0.43327332	0.45285034	9.7191925
1560770440496	TYPE_ACCELEROMETER	0.43447876	0.4911499	9.837112
1560770440496	TYPE_MAGNETIC_FIELD	-16.45813	-26.551819	-30.221558
1560770440496	TYPE_GYROSCOPE	0.05873108	0.039916992	-0.19412231
