#	startTime:1560770530964
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770530965	TYPE_WAYPOINT	184.33656	58.993324
1560770531094	TYPE_ACCELEROMETER	-1.4168396	1.2991943	9.864639
1560770531094	TYPE_MAGNETIC_FIELD	12.042236	20.16449	-24.67041
1560770531094	TYPE_GYROSCOPE	-0.25286865	-0.28233337	0.10736084
1560770531094	TYPE_ROTATION_VECTOR	0.07513107	0.07809666	0.1445683
1560770531094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-36.33728	-80.69	-352.42462
1560770531094	TYPE_GYROSCOPE_UNCALIBRATED	-0.25531006	-0.28263855	0.10848999
1560770531094	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3192902	1.4566193	9.216995
1560770531114	TYPE_ACCELEROMETER	-1.41745	1.1950531	10.401535
1560770531114	TYPE_MAGNETIC_FIELD	11.329651	21.57898	-22.589111
1560770531114	TYPE_GYROSCOPE	-0.26512146	-0.26315308	0.11694336
1560770531114	TYPE_ROTATION_VECTOR	0.06496543	0.07525628	0.144704
1560770531114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.049866	-79.27551	-350.34332
1560770531114	TYPE_GYROSCOPE_UNCALIBRATED	-0.26756287	-0.26345825	0.11807251
1560770531114	TYPE_ACCELEROMETER_UNCALIBRATED	-1.41745	1.1950531	10.401535
1560770531134	TYPE_ACCELEROMETER	-1.4000854	1.162735	10.63797
1560770531134	TYPE_MAGNETIC_FIELD	11.329651	21.57898	-23.977661
1560770531134	TYPE_GYROSCOPE	-0.24275208	-0.24291992	0.14463806
1560770531134	TYPE_ROTATION_VECTOR	0.059380654	0.072961956	0.14616765
