#	startTime:1560770594748
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770594752	TYPE_WAYPOINT	184.33656	58.993324
1560770594868	TYPE_ACCELEROMETER	0.3393097	0.41812134	8.789642
1560770594868	TYPE_MAGNETIC_FIELD	2.7801514	25.827026	-22.589111
1560770594868	TYPE_GYROSCOPE	0.33836365	-0.6354675	0.028518677
1560770594868	TYPE_ROTATION_VECTOR	0.021242239	0.0021372968	0.04980207
1560770594868	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.599365	-75.027466	-350.34332
1560770594868	TYPE_GYROSCOPE_UNCALIBRATED	0.33592224	-0.6357727	0.029647827
1560770594868	TYPE_ACCELEROMETER_UNCALIBRATED	0.3393097	0.41812134	8.789642
1560770594888	TYPE_ACCELEROMETER	0.87561035	0.73895264	8.69986
1560770594888	TYPE_MAGNETIC_FIELD	2.067566	27.241516	-20.507812
1560770594888	TYPE_GYROSCOPE	0.33250427	-0.51667786	-0.014083862
1560770594888	TYPE_ROTATION_VECTOR	0.028555296	-0.010939556	0.056286313
1560770594888	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-46.31195	-73.612976	-348.26202
1560770594888	TYPE_GYROSCOPE_UNCALIBRATED	0.33006287	-0.51698303	-0.012954712
1560770594888	TYPE_ACCELEROMETER_UNCALIBRATED	0.87561035	0.73895264	8.69986
1560770594908	TYPE_ACCELEROMETER	0.7630768	0.6641388	8.558594
1560770594908	TYPE_MAGNETIC_FIELD	4.2037964	25.119019	-22.589111
1560770594908	TYPE_GYROSCOPE	0.2797699	-0.52041626	-0.011428833
1560770594908	TYPE_ROTATION_VECTOR	0.028555296	-0.010939556	0.056286313
1560770594908	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.17572	-75.73547	-350.34332
1560770594908	TYPE_GYROSCOPE_UNCALIBRATED	0.2773285	-0.52072144	-0.010299683
