#	startTime:1560770635485
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770635485	TYPE_WAYPOINT	184.21881	79.814125
1560770635618	TYPE_ACCELEROMETER	-0.70277405	1.562561	9.597687
1560770635618	TYPE_MAGNETIC_FIELD	24.867249	-21.59729	-33.68988
1560770635618	TYPE_GYROSCOPE	0.11306763	-0.2530365	0.2602234
1560770635618	TYPE_ROTATION_VECTOR	-0.024604509	0.07600159	0.9031875
1560770635618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.512268	-122.45178	-361.4441
1560770635618	TYPE_GYROSCOPE_UNCALIBRATED	0.1058197	-0.2794342	0.3045044
1560770635618	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8961029	1.3769989	10.067551
1560770635638	TYPE_ACCELEROMETER	-0.9858856	1.7361298	9.088913
1560770635638	TYPE_MAGNETIC_FIELD	21.304321	-20.181274	-35.076904
1560770635638	TYPE_GYROSCOPE	0.11997986	-0.22427368	0.18032837
1560770635638	TYPE_ROTATION_VECTOR	-0.011724696	0.08437984	0.8988874
1560770635638	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-27.075195	-121.03577	-362.83112
1560770635638	TYPE_GYROSCOPE_UNCALIBRATED	0.11595154	-0.23150635	0.21875
1560770635638	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70277405	1.562561	9.597687
1560770635658	TYPE_ACCELEROMETER	-1.2013702	1.8109589	8.777069
