#	startTime:1560770659213
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770659214	TYPE_WAYPOINT	166.30847	72.81748
1560770659339	TYPE_ACCELEROMETER	-0.049743652	-0.39170837	9.78981
1560770659339	TYPE_MAGNETIC_FIELD	-16.45813	20.16449	-27.445984
1560770659339	TYPE_GYROSCOPE	0.15939331	-0.049575806	0.06262207
1560770659339	TYPE_ROTATION_VECTOR	-0.012687944	0.010375941	-0.3655668
1560770659339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.83765	-80.69	-355.2002
1560770659339	TYPE_GYROSCOPE_UNCALIBRATED	0.15589905	-0.0594635	0.055755615
1560770659339	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06350708	-0.41625977	10.188446
1560770659359	TYPE_ACCELEROMETER	-0.05393982	-0.5006561	9.674301
1560770659359	TYPE_MAGNETIC_FIELD	-16.45813	17.332458	-25.364685
1560770659359	TYPE_GYROSCOPE	0.078430176	-0.014953613	0.08338928
1560770659359	TYPE_ROTATION_VECTOR	-0.013344953	0.009899097	-0.36559308
1560770659359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.83765	-83.52203	-353.1189
1560770659359	TYPE_GYROSCOPE_UNCALIBRATED	0.12072754	-0.037094116	0.074401855
1560770659359	TYPE_ACCELEROMETER_UNCALIBRATED	-0.049743652	-0.39170837	9.78981
1560770659379	TYPE_ACCELEROMETER	-0.1874237	-0.27859497	10.008896
1560770659379	TYPE_MAGNETIC_FIELD	-17.170715	20.16449	-26.05896
1560770659379	TYPE_GYROSCOPE	-0.005722046	0.11715698	0.087646484
1560770659379	TYPE_ROTATION_VECTOR	-0.01487085	0.011230001	-0.36553335
1560770659379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-80.69	-353.81317
1560770659379	TYPE_GYROSCOPE_UNCALIBRATED	0.033920288	0.042816162	0.08665466
1560770659379	TYPE_ACCELEROMETER_UNCALIBRATED	-0.05393982	-0.5006561	9.674301
1560770659399	TYPE_ACCELEROMETER	-0.18023682	-0.3617859	10.332703
1560770659399	TYPE_MAGNETIC_FIELD	-16.45813	18.748474	-26.751709
1560770659399	TYPE_GYROSCOPE	-0.024902344	0.13899231	0.1084137
1560770659399	TYPE_ROTATION_VECTOR	-0.013753868	0.012824228	-0.36445728
1560770659399	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.83765	-82.10602	-354.50592
1560770659399	TYPE_GYROSCOPE_UNCALIBRATED	-0.03692627	0.14668274	0.100494385
1560770659399	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1874237	-0.27859497	10.008896
1560770659419	TYPE_ACCELEROMETER	-0.24128723	-0.34861755	10.341675
1560770659419	TYPE_MAGNETIC_FIELD	-17.170715	19.456482	-26.751709
1560770659419	TYPE_GYROSCOPE	0.05340576	0.09690857	0.11906433
1560770659419	TYPE_ROTATION_VECTOR	-0.012915769	0.013690284	-0.3636088
1560770659419	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-81.39801	-354.50592
1560770659419	TYPE_GYROSCOPE_UNCALIBRATED	0.011016846	0.12590027	0.11274719
1560770659419	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18023682	-0.3617859	10.332703
1560770659439	TYPE_ACCELEROMETER	-0.26701355	-0.38154602	10.111237
1560770659439	TYPE_MAGNETIC_FIELD	-17.170715	20.870972	-26.751709
1560770659439	TYPE_GYROSCOPE	0.12957764	0.011688232	0.124938965
1560770659439	TYPE_ROTATION_VECTOR	-0.011618908	0.01380585	-0.3626813
1560770659439	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-79.98352	-354.50592
1560770659439	TYPE_GYROSCOPE_UNCALIBRATED	0.08824158	0.05026245	0.12712097
1560770659439	TYPE_ACCELEROMETER_UNCALIBRATED	-0.24128723	-0.34861755	10.341675
1560770659459	TYPE_ACCELEROMETER	-0.3017273	-0.223526	9.86882
1560770659459	TYPE_MAGNETIC_FIELD	-18.595886	21.57898	-26.05896
1560770659459	TYPE_GYROSCOPE	0.20414734	-0.008026123	0.113220215
1560770659459	TYPE_ROTATION_VECTOR	-0.010048929	0.013682918	-0.36239907
1560770659459	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-79.27551	-353.81317
1560770659459	TYPE_GYROSCOPE_UNCALIBRATED	0.1676178	-0.009918213	0.1207428
1560770659459	TYPE_ACCELEROMETER_UNCALIBRATED	-0.26701355	-0.38154602	10.111237
1560770659479	TYPE_ACCELEROMETER	-0.18382263	-0.1373291	9.889175
1560770659479	TYPE_MAGNETIC_FIELD	-15.745544	19.456482	-26.05896
1560770659479	TYPE_GYROSCOPE	0.23449707	-0.0042877197	0.10736084
1560770659479	TYPE_ROTATION_VECTOR	-0.0075786896	0.013340026	-0.3615977
1560770659479	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-81.39801	-353.81317
1560770659479	TYPE_GYROSCOPE_UNCALIBRATED	0.22087097	0.0028686523	0.10848999
1560770659479	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3017273	-0.223526	9.86882
1560770659499	TYPE_ACCELEROMETER	-0.1586914	-0.027191162	9.547409
1560770659499	TYPE_MAGNETIC_FIELD	-15.032959	20.16449	-27.445984
1560770659499	TYPE_GYROSCOPE	0.27497864	-0.02293396	0.099365234
1560770659499	TYPE_ROTATION_VECTOR	-0.0049104067	0.012045564	-0.36002314
1560770659499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-80.69	-355.2002
1560770659499	TYPE_GYROSCOPE_UNCALIBRATED	0.25230408	-0.021636963	0.10795593
1560770659499	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18382263	-0.1373291	9.889175
1560770659519	TYPE_ACCELEROMETER	0.006515503	0.014694214	9.485153
1560770659519	TYPE_MAGNETIC_FIELD	-15.745544	20.16449	-26.751709
1560770659519	TYPE_GYROSCOPE	0.2371521	-0.017608643	0.09403992
1560770659519	TYPE_ROTATION_VECTOR	-0.0023997421	0.010806919	-0.35846198
1560770659519	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-80.69	-354.50592
1560770659519	TYPE_GYROSCOPE_UNCALIBRATED	0.26507568	-0.016845703	0.09463501
1560770659519	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1586914	-0.027191162	9.547409
1560770659540	TYPE_ACCELEROMETER	0.15855408	0.048217773	9.604874
1560770659540	TYPE_MAGNETIC_FIELD	-15.745544	20.16449	-25.364685
