#	startTime:1560770791042
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770791043	TYPE_WAYPOINT	193.15324	93.25915
1560770791170	TYPE_ACCELEROMETER	-0.021011353	0.99513245	8.213242
1560770791170	TYPE_MAGNETIC_FIELD	-32.84607	-8.148193	-21.896362
1560770791170	TYPE_GYROSCOPE	-0.2768402	-0.18751526	0.08818054
1560770791170	TYPE_ROTATION_VECTOR	0.06337547	-0.02762263	-0.764299
1560770791170	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.225586	-109.002686	-349.65057
1560770791170	TYPE_GYROSCOPE_UNCALIBRATED	-0.23294067	-0.14733887	0.052017212
1560770791170	TYPE_ACCELEROMETER_UNCALIBRATED	-0.37176514	1.028656	7.6248627
1560770791190	TYPE_ACCELEROMETER	0.15316772	1.033432	8.504135
1560770791190	TYPE_MAGNETIC_FIELD	-31.420898	-9.564209	-21.896362
1560770791190	TYPE_GYROSCOPE	-0.2992096	-0.2791443	0.11747742
1560770791190	TYPE_ROTATION_VECTOR	0.054010957	-0.032099538	-0.7641905
1560770791190	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-79.800415	-110.4187	-349.65057
1560770791190	TYPE_GYROSCOPE_UNCALIBRATED	-0.30111694	-0.23469543	0.11061096
1560770791190	TYPE_ACCELEROMETER_UNCALIBRATED	-0.021011353	0.99513245	8.213242
1560770791210	TYPE_ACCELEROMETER	0.3171692	1.1160431	8.829742
1560770791210	TYPE_MAGNETIC_FIELD	-32.84607	-10.272217	-23.283386
1560770791210	TYPE_GYROSCOPE	-0.28056335	-0.30203247	0.13505554
1560770791210	TYPE_ROTATION_VECTOR	0.045969136	-0.03634481	-0.76371324
1560770791210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.225586	-111.12671	-351.0376
1560770791210	TYPE_GYROSCOPE_UNCALIBRATED	-0.29258728	-0.30500793	0.12339783
1560770791210	TYPE_ACCELEROMETER_UNCALIBRATED	0.3171692	1.1160431	8.829742
1560770791230	TYPE_ACCELEROMETER	0.37402344	1.191452	9.140396
1560770791230	TYPE_MAGNETIC_FIELD	-32.133484	-8.856201	-20.507812
1560770791230	TYPE_GYROSCOPE	-0.30239868	-0.25942993	0.18565369
1560770791230	TYPE_ROTATION_VECTOR	0.039205186	-0.040148266	-0.76235396
1560770791230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-80.513	-109.71069	-348.26202
1560770791230	TYPE_GYROSCOPE_UNCALIBRATED	-0.28353882	-0.28422546	0.15855408
1560770791230	TYPE_ACCELEROMETER_UNCALIBRATED	0.37402344	1.191452	9.140396
1560770791250	TYPE_ACCELEROMETER	0.36624146	1.2243805	9.625809
1560770791250	TYPE_MAGNETIC_FIELD	-32.84607	-8.856201	-22.589111
1560770791250	TYPE_GYROSCOPE	-0.3812256	-0.14704895	0.27459717
1560770791250	TYPE_ROTATION_VECTOR	0.034087837	-0.042141758	-0.76007044
1560770791250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.225586	-109.71069	-350.34332
1560770791250	TYPE_GYROSCOPE_UNCALIBRATED	-0.34371948	-0.21499634	0.22512817
1560770791250	TYPE_ACCELEROMETER_UNCALIBRATED	0.36624146	1.2243805	9.625809
1560770791270	TYPE_ACCELEROMETER	0.3895874	1.1812897	10.0238495
1560770791270	TYPE_MAGNETIC_FIELD	-32.133484	-8.856201	-21.896362
1560770791270	TYPE_GYROSCOPE	-0.417984	-0.030929565	0.3901825
1560770791270	TYPE_ROTATION_VECTOR	0.030407438	-0.042293534	-0.75708306
1560770791270	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-80.513	-109.71069	-349.65057
1560770791270	TYPE_GYROSCOPE_UNCALIBRATED	-0.41030884	-0.08023071	0.3327179
1560770791270	TYPE_ACCELEROMETER_UNCALIBRATED	0.3895874	1.1812897	10.0238495
1560770791290	TYPE_ACCELEROMETER	0.40994263	1.3500671	10.085495
1560770791290	TYPE_MAGNETIC_FIELD	-33.558655	-7.4401855	-21.202087
1560770791290	TYPE_GYROSCOPE	-0.40626526	-0.010147095	0.4924469
1560770791290	TYPE_ROTATION_VECTOR	0.027023258	-0.04168144	-0.7534063
1560770791290	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-81.93817	-108.29468	-348.9563
1560770791290	TYPE_GYROSCOPE_UNCALIBRATED	-0.41723633	-0.008865356	0.44618225
1560770791290	TYPE_ACCELEROMETER_UNCALIBRATED	0.40994263	1.3500671	10.085495
1560770791310	TYPE_ACCELEROMETER	0.58291626	1.3428802	10.1896515
1560770791310	TYPE_MAGNETIC_FIELD	-32.84607	-7.4401855	-21.896362
1560770791310	TYPE_GYROSCOPE	-0.38761902	-0.012283325	0.5627594
