#	startTime:1560770837194
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770837195	TYPE_WAYPOINT	184.33656	58.993324
1560770837327	TYPE_ACCELEROMETER	0.060394287	0.534256	9.31517
1560770837327	TYPE_MAGNETIC_FIELD	9.191895	22.994995	-27.445984
1560770837327	TYPE_GYROSCOPE	-0.0030517578	-0.24610901	-0.33473206
1560770837327	TYPE_ROTATION_VECTOR	0.040631283	-0.022325769	0.21645342
1560770837327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.187622	-77.8595	-355.2002
1560770837327	TYPE_GYROSCOPE_UNCALIBRATED	-0.082733154	-0.26345825	-0.28460693
1560770837327	TYPE_ACCELEROMETER_UNCALIBRATED	0.49552917	0.6425934	9.893967
1560770837347	TYPE_ACCELEROMETER	-0.3071289	0.49414062	9.112259
1560770837347	TYPE_MAGNETIC_FIELD	10.617065	20.16449	-26.05896
1560770837347	TYPE_GYROSCOPE	0.0033416748	-0.24238586	-0.38427734
1560770837347	TYPE_ROTATION_VECTOR	0.03810781	-0.017273212	0.20669979
1560770837347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.76245	-80.69	-353.81317
1560770837347	TYPE_GYROSCOPE_UNCALIBRATED	0.021133423	-0.23736572	-0.37142944
1560770837347	TYPE_ACCELEROMETER_UNCALIBRATED	0.060394287	0.534256	9.31517
1560770837367	TYPE_ACCELEROMETER	-0.29275513	0.56536865	9.314575
1560770837367	TYPE_MAGNETIC_FIELD	7.7667236	21.57898	-25.364685
1560770837367	TYPE_GYROSCOPE	-0.120773315	-0.27166748	-0.34059143
1560770837367	TYPE_ROTATION_VECTOR	0.035253644	-0.013386239	0.19645922
1560770837367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-79.27551	-353.1189
1560770837367	TYPE_GYROSCOPE_UNCALIBRATED	-0.05290222	-0.25759888	-0.3682251
1560770837367	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3071289	0.49414062	9.112259
1560770837387	TYPE_ACCELEROMETER	-0.1526947	0.7078247	9.679077
1560770837387	TYPE_MAGNETIC_FIELD	9.90448	20.870972	-25.364685
1560770837387	TYPE_GYROSCOPE	-0.24700928	-0.25143433	-0.28041077
1560770837387	TYPE_ROTATION_VECTOR	0.03290392	-0.011477652	0.18930298
1560770837387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.475037	-79.98352	-353.1189
1560770837387	TYPE_GYROSCOPE_UNCALIBRATED	-0.19299316	-0.27197266	-0.30697632
1560770837387	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29275513	0.56536865	9.314575
1560770837407	TYPE_ACCELEROMETER	0.019683838	0.89756775	9.841293
1560770837407	TYPE_MAGNETIC_FIELD	8.479309	20.870972	-27.445984
1560770837407	TYPE_GYROSCOPE	-0.30134583	-0.2184143	-0.24578857
1560770837407	TYPE_ROTATION_VECTOR	0.03147696	-0.011081659	0.18356071
1560770837407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-79.98352	-355.2002
1560770837407	TYPE_GYROSCOPE_UNCALIBRATED	-0.28674316	-0.2277832	-0.25904846
1560770837407	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1526947	0.7078247	9.679077
1560770837427	TYPE_ACCELEROMETER	0.12742615	1.056778	9.799393
1560770837427	TYPE_MAGNETIC_FIELD	9.191895	20.16449	-27.445984
1560770837427	TYPE_GYROSCOPE	-0.29281616	-0.19657898	-0.25004578
1560770837427	TYPE_ROTATION_VECTOR	0.03134165	-0.011481956	0.17903802
1560770837427	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.187622	-80.69	-355.2002
1560770837427	TYPE_GYROSCOPE_UNCALIBRATED	-0.30378723	-0.21499634	-0.24040222
1560770837427	TYPE_ACCELEROMETER_UNCALIBRATED	0.019683838	0.89756775	9.841293
1560770837447	TYPE_ACCELEROMETER	0.115448	1.1250153	9.8580475
1560770837447	TYPE_MAGNETIC_FIELD	8.479309	21.57898	-26.05896
1560770837447	TYPE_GYROSCOPE	-0.28216553	-0.13691711	-0.29212952
1560770837447	TYPE_ROTATION_VECTOR	0.031608846	-0.011703014	0.17418636
1560770837447	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-79.27551	-353.81317
1560770837447	TYPE_GYROSCOPE_UNCALIBRATED	-0.28781128	-0.16705322	-0.2670288
1560770837447	TYPE_ACCELEROMETER_UNCALIBRATED	0.12742615	1.056778	9.799393
1560770837467	TYPE_ACCELEROMETER	-0.06590271	1.1782837	10.003494
1560770837467	TYPE_MAGNETIC_FIELD	7.7667236	20.16449	-26.05896
1560770837467	TYPE_GYROSCOPE	-0.28375244	-0.10336304	-0.334198
1560770837467	TYPE_ROTATION_VECTOR	0.03164683	-0.011148732	0.16856872
1560770837467	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-80.69	-353.81317
1560770837467	TYPE_GYROSCOPE_UNCALIBRATED	-0.285141	-0.11538696	-0.31549072
1560770837467	TYPE_ACCELEROMETER_UNCALIBRATED	0.115448	1.1250153	9.8580475
1560770837487	TYPE_ACCELEROMETER	-0.18920898	1.2363434	9.982544
1560770837487	TYPE_MAGNETIC_FIELD	7.054138	20.870972	-23.977661
1560770837487	TYPE_GYROSCOPE	-0.26565552	-0.06980896	-0.32887268
1560770837487	TYPE_ROTATION_VECTOR	0.03158888	-0.009791733	0.1624212
1560770837487	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-79.98352	-351.73187
1560770837487	TYPE_GYROSCOPE_UNCALIBRATED	-0.28193665	-0.09194946	-0.3373413
1560770837487	TYPE_ACCELEROMETER_UNCALIBRATED	-0.06590271	1.1782837	10.003494
1560770837507	TYPE_ACCELEROMETER	-0.21734619	1.3183441	9.833511
1560770837507	TYPE_MAGNETIC_FIELD	7.054138	21.57898	-26.05896
1560770837507	TYPE_GYROSCOPE	-0.22677612	-0.00642395	-0.2788086
1560770837507	TYPE_ROTATION_VECTOR	0.031906784	-0.007779773	0.15684444
1560770837507	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-79.27551	-353.81317
1560770837507	TYPE_GYROSCOPE_UNCALIBRATED	-0.24891663	-0.03868103	-0.30697632
1560770837507	TYPE_ACCELEROMETER_UNCALIBRATED	-0.18920898	1.2363434	9.982544
1560770837528	TYPE_ACCELEROMETER	-0.17424011	1.3764038	9.637192
1560770837528	TYPE_MAGNETIC_FIELD	5.6289673	20.16449	-24.67041
1560770837528	TYPE_GYROSCOPE	-0.18682861	0.029266357	-0.21383667
1560770837528	TYPE_ROTATION_VECTOR	0.03263247	-0.005726473	0.15206678
1560770837528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-42.75055	-80.69	-352.42462
1560770837528	TYPE_GYROSCOPE_UNCALIBRATED	-0.20896912	0.017242432	-0.24465942
1560770837528	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21734619	1.3183441	9.833511
1560770837548	TYPE_ACCELEROMETER	-0.0030517578	1.4314728	9.379211
1560770837548	TYPE_MAGNETIC_FIELD	9.191895	20.870972	-25.364685
1560770837548	TYPE_GYROSCOPE	-0.14900208	0.01914978	-0.158432
1560770837548	TYPE_ROTATION_VECTOR	0.033789027	-0.004322962	0.14952378
1560770837548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.187622	-79.98352	-353.1189
1560770837548	TYPE_GYROSCOPE_UNCALIBRATED	-0.16955566	0.030029297	-0.18341064
1560770837548	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17424011	1.3764038	9.637192
1560770837568	TYPE_ACCELEROMETER	0.18309021	1.45961	9.425903
1560770837568	TYPE_MAGNETIC_FIELD	9.191895	22.286987	-25.364685
1560770837568	TYPE_GYROSCOPE	-0.13356018	-0.03892517	-0.12594604
1560770837568	TYPE_ROTATION_VECTOR	0.03521889	-0.0041846223	0.14786077
1560770837568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.187622	-78.567505	-353.1189
1560770837568	TYPE_GYROSCOPE_UNCALIBRATED	-0.14025879	-0.008331299	-0.13760376
1560770837568	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0030517578	1.4314728	9.379211
1560770837588	TYPE_ACCELEROMETER	0.26210022	1.4446411	9.577332
1560770837588	TYPE_MAGNETIC_FIELD	7.7667236	22.286987	-26.05896
1560770837588	TYPE_GYROSCOPE	-0.10958862	-0.05064392	-0.11369324
1560770837588	TYPE_ROTATION_VECTOR	0.036687788	-0.004656074	0.14645231
1560770837588	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-78.567505	-353.81317
1560770837588	TYPE_GYROSCOPE_UNCALIBRATED	-0.1290741	-0.05307007	-0.11735535
1560770837588	TYPE_ACCELEROMETER_UNCALIBRATED	0.18309021	1.45961	9.425903
1560770837608	TYPE_ACCELEROMETER	0.2800598	1.4314728	9.570755
1560770837608	TYPE_MAGNETIC_FIELD	7.054138	21.57898	-25.364685
1560770837608	TYPE_GYROSCOPE	-0.052597046	-0.06288147	-0.09877014
1560770837608	TYPE_ROTATION_VECTOR	0.03844339	-0.0051320475	0.14507982
1560770837608	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-79.27551	-353.1189
1560770837608	TYPE_GYROSCOPE_UNCALIBRATED	-0.08540344	-0.052001953	-0.10670471
