#	startTime:1560770924254
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560770924256	TYPE_WAYPOINT	220.1182	117.59548
1560770924387	TYPE_ACCELEROMETER	0.20883179	0.012298584	9.660522
1560770924387	TYPE_MAGNETIC_FIELD	-5.770874	-27.967834	-27.445984
1560770924387	TYPE_GYROSCOPE	0.1620636	-0.10975647	-0.02633667
1560770924387	TYPE_ROTATION_VECTOR	-0.007917804	-0.008466942	-0.99621785
1560770924387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.15039	-128.82233	-355.2002
1560770924387	TYPE_GYROSCOPE_UNCALIBRATED	0.18943787	-0.09994507	-0.044921875
1560770924387	TYPE_ACCELEROMETER_UNCALIBRATED	0.18847656	-0.05114746	9.811966
1560770924407	TYPE_ACCELEROMETER	0.22679138	0.14996338	9.43248
1560770924407	TYPE_MAGNETIC_FIELD	-5.0582886	-27.967834	-27.445984
1560770924407	TYPE_GYROSCOPE	0.1982727	-0.10122681	-0.07374573
1560770924407	TYPE_ROTATION_VECTOR	-0.009579729	-0.009630151	-0.99631375
1560770924407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-128.82233	-355.2002
1560770924407	TYPE_GYROSCOPE_UNCALIBRATED	0.17292786	-0.082901	-0.09712219
1560770924407	TYPE_ACCELEROMETER_UNCALIBRATED	0.2591095	0.084732056	9.491135
1560770924427	TYPE_ACCELEROMETER	0.10647583	0.22419739	9.60965
1560770924427	TYPE_MAGNETIC_FIELD	-7.196045	-27.967834	-28.140259
1560770924427	TYPE_GYROSCOPE	0.13648987	-0.020812988	-0.10890198
1560770924427	TYPE_ROTATION_VECTOR	-0.009385683	-0.011189194	-0.99637383
