#	startTime:1560771022683
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771022683	TYPE_WAYPOINT	213.908	113.68554
1560771022803	TYPE_ACCELEROMETER	-0.38972473	0.5174866	9.439072
1560771022803	TYPE_MAGNETIC_FIELD	-24.295044	32.196045	-32.995605
1560771022803	TYPE_GYROSCOPE	-0.0680542	0.04045105	0.09138489
1560771022803	TYPE_ROTATION_VECTOR	0.038866114	0.0071679144	-0.3094929
1560771022803	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-72.67456	-68.65845	-360.74982
1560771022803	TYPE_GYROSCOPE_UNCALIBRATED	-0.070495605	0.040145874	0.09251404
1560771022803	TYPE_ACCELEROMETER_UNCALIBRATED	-0.38972473	0.5174866	9.439072
1560771022823	TYPE_ACCELEROMETER	-0.40948486	0.44506836	9.430084
1560771022823	TYPE_MAGNETIC_FIELD	-23.582458	30.781555	-33.68988
1560771022823	TYPE_GYROSCOPE	-0.068573	-0.045318604	0.029052734
1560771022823	TYPE_ROTATION_VECTOR	0.038866114	0.0071679144	-0.3094929
1560771022823	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.961975	-70.07294	-361.4441
1560771022823	TYPE_GYROSCOPE_UNCALIBRATED	-0.071014404	-0.04562378	0.030181885
1560771022823	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40948486	0.44506836	9.430084
1560771022843	TYPE_ACCELEROMETER	-0.27001953	0.2852478	9.505508
1560771022843	TYPE_MAGNETIC_FIELD	-23.582458	32.904053	-32.995605
1560771022843	TYPE_GYROSCOPE	-0.099472046	-0.09324646	-0.010360718
1560771022843	TYPE_ROTATION_VECTOR	0.036290117	0.008164432	-0.31061023
1560771022843	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.961975	-67.95044	-360.74982
1560771022843	TYPE_GYROSCOPE_UNCALIBRATED	-0.071014404	-0.04562378	0.030181885
1560771022843	TYPE_ACCELEROMETER_UNCALIBRATED	-0.27001953	0.2852478	9.505508
1560771022863	TYPE_ACCELEROMETER	-0.22930908	0.28704834	9.278656
1560771022863	TYPE_MAGNETIC_FIELD	-24.295044	32.196045	-34.38263
1560771022863	TYPE_GYROSCOPE	-0.12184143	-0.07406616	-0.060424805
1560771022863	TYPE_ROTATION_VECTOR	0.029168485	0.007379395	-0.31237355
1560771022863	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-72.67456	-68.65845	-362.13684
1560771022863	TYPE_GYROSCOPE_UNCALIBRATED	-0.12428284	-0.07437134	-0.059295654
1560771022863	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22930908	0.28704834	9.278656
1560771022883	TYPE_ACCELEROMETER	-0.22273254	0.18289185	9.093704
1560771022883	TYPE_MAGNETIC_FIELD	-25.00763	32.196045	-30.914307
1560771022883	TYPE_GYROSCOPE	-0.15167236	-0.010681152	-0.109436035
1560771022883	TYPE_ROTATION_VECTOR	0.025951542	0.007852548	-0.3140396
1560771022883	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.387146	-68.65845	-358.66852
1560771022883	TYPE_GYROSCOPE_UNCALIBRATED	-0.15411377	-0.010986328	-0.108306885
1560771022883	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22273254	0.18289185	9.093704
1560771022903	TYPE_ACCELEROMETER	-0.35321045	0.1703186	9.319366
1560771022903	TYPE_MAGNETIC_FIELD	-23.582458	32.904053	-33.68988
1560771022903	TYPE_GYROSCOPE	-0.1511383	-0.16514587	-0.19998169
1560771022903	TYPE_ROTATION_VECTOR	0.025951542	0.007852548	-0.3140396
1560771022903	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-71.961975	-67.95044	-361.4441
1560771022903	TYPE_GYROSCOPE_UNCALIBRATED	-0.15357971	-0.16545105	-0.19885254
1560771022903	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35321045	0.1703186	9.319366
1560771022923	TYPE_ACCELEROMETER	-0.29216003	0.26550293	9.441467
1560771022923	TYPE_MAGNETIC_FIELD	-25.00763	32.196045	-32.995605
1560771022923	TYPE_GYROSCOPE	-0.2054596	-0.17900085	-0.21328735
1560771022923	TYPE_ROTATION_VECTOR	0.020193579	0.007044558	-0.3191428
1560771022923	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.387146	-68.65845	-360.74982
1560771022923	TYPE_GYROSCOPE_UNCALIBRATED	-0.15357971	-0.16545105	-0.19885254
1560771022923	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35321045	0.1703186	9.319366
1560771022943	TYPE_ACCELEROMETER	-0.3370514	0.10328674	9.481567
1560771022943	TYPE_MAGNETIC_FIELD	-25.720215	33.61206	-30.914307
1560771022943	TYPE_GYROSCOPE	-0.27630615	-0.089523315	-0.2164917
1560771022943	TYPE_ROTATION_VECTOR	0.020193579	0.007044558	-0.3191428
1560771022943	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-67.24243	-358.66852
1560771022943	TYPE_GYROSCOPE_UNCALIBRATED	-0.207901	-0.17930603	-0.2121582
1560771022943	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29216003	0.26550293	9.441467
1560771022963	TYPE_ACCELEROMETER	-0.56510925	0.0398407	9.601868
1560771022963	TYPE_MAGNETIC_FIELD	-25.720215	33.61206	-30.914307
1560771022963	TYPE_GYROSCOPE	-0.3279724	0.004776001	-0.19572449
1560771022963	TYPE_ROTATION_VECTOR	0.020193579	0.007044558	-0.3191428
1560771022963	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-67.24243	-358.66852
1560771022963	TYPE_GYROSCOPE_UNCALIBRATED	-0.207901	-0.17930603	-0.2121582
1560771022963	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29216003	0.26550293	9.441467
1560771022983	TYPE_ACCELEROMETER	-0.7303009	-0.090042114	9.634186
1560771022983	TYPE_MAGNETIC_FIELD	-25.720215	33.61206	-30.914307
1560771022983	TYPE_GYROSCOPE	-0.32211304	0.028213501	-0.18240356
1560771022983	TYPE_ROTATION_VECTOR	0.020193579	0.007044558	-0.3191428
1560771022983	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.09973	-67.24243	-358.66852
1560771022983	TYPE_GYROSCOPE_UNCALIBRATED	-0.207901	-0.17930603	-0.2121582
1560771022983	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29216003	0.26550293	9.441467
1560771023004	TYPE_ACCELEROMETER	-0.82847595	-0.04396057	9.580917
1560771023004	TYPE_MAGNETIC_FIELD	-26.4328	32.196045	-30.914307
1560771023004	TYPE_GYROSCOPE	-0.27842712	0.002105713	-0.16429138
1560771023004	TYPE_ROTATION_VECTOR	0.010229896	0.013844443	-0.32769763
1560771023004	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-68.65845	-358.66852
1560771023004	TYPE_GYROSCOPE_UNCALIBRATED	-0.32455444	0.027908325	-0.18127441
1560771023004	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7303009	-0.090042114	9.634186
1560771023024	TYPE_ACCELEROMETER	-0.8733673	-0.0038604736	9.603073
1560771023024	TYPE_MAGNETIC_FIELD	-26.4328	32.196045	-30.914307
1560771023024	TYPE_GYROSCOPE	-0.2565918	-0.01600647	-0.13978577
1560771023024	TYPE_ROTATION_VECTOR	0.010229896	0.013844443	-0.32769763
1560771023024	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-74.81232	-68.65845	-358.66852
1560771023024	TYPE_GYROSCOPE_UNCALIBRATED	-0.32455444	0.027908325	-0.18127441
