#	startTime:1560771046202
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771046202	TYPE_WAYPOINT	223.92679	106.95058
1560771046555	TYPE_ACCELEROMETER	1.3969574	0.23077393	9.11705
1560771046555	TYPE_MAGNETIC_FIELD	16.317749	1.7608643	-30.221558
1560771046555	TYPE_GYROSCOPE	0.24035645	-0.049575806	0.20162964
1560771046555	TYPE_ROTATION_VECTOR	0.038125917	-0.02739779	0.65459436
1560771046555	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-99.09363	-357.97577
1560771046555	TYPE_GYROSCOPE_UNCALIBRATED	0.22885132	-0.044555664	0.18624878
1560771046555	TYPE_ACCELEROMETER_UNCALIBRATED	1.356247	0.21520996	9.264893
1560771046575	TYPE_ACCELEROMETER	1.5082855	0.25950623	9.005722
1560771046575	TYPE_MAGNETIC_FIELD	17.028809	1.0528564	-29.527283
1560771046575	TYPE_GYROSCOPE	0.21424866	-0.041046143	0.17074585
1560771046575	TYPE_ROTATION_VECTOR	0.04208878	-0.028688377	0.6566355
1560771046575	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-99.801636	-357.2815
1560771046575	TYPE_GYROSCOPE_UNCALIBRATED	0.22885132	-0.044555664	0.18624878
1560771046575	TYPE_ACCELEROMETER_UNCALIBRATED	1.4681854	0.23736572	9.027267
1560771046595	TYPE_ACCELEROMETER	1.4759521	0.27687073	9.109268
1560771046595	TYPE_MAGNETIC_FIELD	17.741394	3.17688	-30.914307
1560771046595	TYPE_GYROSCOPE	0.1620636	-0.033599854	0.13825989
1560771046595	TYPE_ROTATION_VECTOR	0.045312826	-0.029894887	0.6575662
