#	startTime:1560771132239
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771132239	TYPE_WAYPOINT	235.30743	84.18877
1560771132371	TYPE_ACCELEROMETER	-1.5844421	1.1980438	8.644196
1560771132371	TYPE_MAGNETIC_FIELD	24.867249	20.16449	-33.68988
1560771132371	TYPE_GYROSCOPE	0.17962646	0.51182556	0.48605347
1560771132371	TYPE_ROTATION_VECTOR	0.016571796	0.0704128	0.33972248
1560771132371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.512268	-80.69	-361.4441
1560771132371	TYPE_GYROSCOPE_UNCALIBRATED	0.16760254	0.44866943	0.46427917
1560771132371	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3492126	0.78204346	8.93808
1560771132391	TYPE_ACCELEROMETER	-2.0321503	1.4709778	8.502335
1560771132391	TYPE_MAGNETIC_FIELD	23.442078	19.456482	-33.68988
1560771132391	TYPE_GYROSCOPE	0.15673828	0.5107727	0.5142822
1560771132391	TYPE_ROTATION_VECTOR	0.0215225	0.08337467	0.33505473
1560771132391	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.937439	-81.39801	-361.4441
1560771132391	TYPE_GYROSCOPE_UNCALIBRATED	0.17185974	0.5344238	0.5036926
1560771132391	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5844421	1.1980438	8.644196
1560771132411	TYPE_ACCELEROMETER	-2.2859344	1.6499481	8.685486
1560771132411	TYPE_MAGNETIC_FIELD	24.154663	19.456482	-33.68988
1560771132411	TYPE_GYROSCOPE	0.115722656	0.2716217	0.5174866
1560771132411	TYPE_ROTATION_VECTOR	0.02630488	0.09788297	0.32847592
1560771132411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.224854	-81.39801	-361.4441
1560771132411	TYPE_GYROSCOPE_UNCALIBRATED	0.13458252	0.4183197	0.52127075
1560771132411	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0321503	1.4709778	8.502335
1560771132431	TYPE_ACCELEROMETER	-2.3182526	1.6936493	9.198456
1560771132431	TYPE_MAGNETIC_FIELD	24.867249	19.456482	-34.38263
1560771132431	TYPE_GYROSCOPE	-0.03715515	0.006362915	0.49032593
1560771132431	TYPE_ROTATION_VECTOR	0.030931113	0.10867971	0.32337052
1560771132431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.512268	-81.39801	-362.13684
1560771132431	TYPE_GYROSCOPE_UNCALIBRATED	0.054153442	0.13282776	0.5036926
1560771132431	TYPE_ACCELEROMETER_UNCALIBRATED	-2.3182526	1.6936493	9.198456
1560771132451	TYPE_ACCELEROMETER	-2.0052185	1.5883026	10.075928
1560771132451	TYPE_MAGNETIC_FIELD	26.29242	20.16449	-32.30133
1560771132451	TYPE_GYROSCOPE	-0.2134552	-0.2338562	0.48286438
1560771132451	TYPE_ROTATION_VECTOR	0.033770405	0.11363105	0.3214855
1560771132451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.087097	-80.69	-360.05554
1560771132451	TYPE_GYROSCOPE_UNCALIBRATED	-0.13386536	-0.124435425	0.4887848
1560771132451	TYPE_ACCELEROMETER_UNCALIBRATED	-2.3182526	1.6936493	9.198456
1560771132471	TYPE_ACCELEROMETER	-1.4862823	1.4967194	10.75647
1560771132471	TYPE_MAGNETIC_FIELD	25.579834	19.456482	-34.38263
1560771132471	TYPE_GYROSCOPE	-0.29974365	-0.32600403	0.46263123
1560771132471	TYPE_ROTATION_VECTOR	0.0339356	0.10471915	0.33211178
1560771132471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.799683	-81.39801	-362.13684
1560771132471	TYPE_GYROSCOPE_UNCALIBRATED	-0.27182007	-0.30447388	0.47653198
1560771132471	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4862823	1.4967194	10.75647
1560771132491	TYPE_ACCELEROMETER	-1.0978088	1.3793945	10.93364
1560771132491	TYPE_MAGNETIC_FIELD	26.29242	20.16449	-34.38263
1560771132491	TYPE_GYROSCOPE	-0.32743835	-0.26049805	0.39657593
