#	startTime:1560771222607
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771222607	TYPE_WAYPOINT	213.908	113.68554
1560771222737	TYPE_ACCELEROMETER	0.657135	1.7822266	8.36586
1560771222737	TYPE_MAGNETIC_FIELD	22.729492	31.489563	-31.608582
1560771222737	TYPE_GYROSCOPE	0.35273743	-0.14170837	-0.067352295
1560771222737	TYPE_ROTATION_VECTOR	0.08521461	-0.01740795	0.3254591
1560771222737	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.650024	-69.36493	-359.3628
1560771222737	TYPE_GYROSCOPE_UNCALIBRATED	0.26242065	-0.1659851	-0.0821991
1560771222737	TYPE_ACCELEROMETER_UNCALIBRATED	0.69125366	1.6996307	8.535248
1560771222757	TYPE_ACCELEROMETER	0.7810364	1.8534546	8.376648
1560771222757	TYPE_MAGNETIC_FIELD	22.016907	31.489563	-32.30133
1560771222757	TYPE_GYROSCOPE	0.14501953	-0.18965149	-0.08332825
1560771222757	TYPE_ROTATION_VECTOR	0.09228497	-0.01602533	0.3212171
1560771222757	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.36261	-69.36493	-360.05554
1560771222757	TYPE_GYROSCOPE_UNCALIBRATED	0.0014190674	-0.2086029	-0.06942749
1560771222757	TYPE_ACCELEROMETER_UNCALIBRATED	0.67329407	1.8450775	8.303024
1560771222777	TYPE_ACCELEROMETER	1.0982819	1.8923645	8.890198
1560771222777	TYPE_MAGNETIC_FIELD	22.016907	30.073547	-32.995605
1560771222777	TYPE_GYROSCOPE	-0.14421082	-0.21255493	-0.052444458
1560771222777	TYPE_ROTATION_VECTOR	0.09564086	-0.018291855	0.3191252
1560771222777	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.36261	-70.780945	-360.74982
1560771222777	TYPE_GYROSCOPE_UNCALIBRATED	-0.27767944	-0.17984009	-0.030532837
1560771222777	TYPE_ACCELEROMETER_UNCALIBRATED	0.94026184	1.8606415	8.592712
1560771222797	TYPE_ACCELEROMETER	1.4029388	1.9611969	9.61145
1560771222797	TYPE_MAGNETIC_FIELD	23.442078	32.196045	-33.68988
1560771222797	TYPE_GYROSCOPE	-0.3695221	-0.110824585	-0.01461792
1560771222797	TYPE_ROTATION_VECTOR	0.09617658	-0.021943793	0.31846997
1560771222797	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.937439	-68.65845	-361.4441
1560771222797	TYPE_GYROSCOPE_UNCALIBRATED	-0.4193573	-0.021102905	-0.014022827
1560771222797	TYPE_ACCELEROMETER_UNCALIBRATED	1.2586823	1.9330597	9.249924
1560771222817	TYPE_ACCELEROMETER	1.419693	2.0180511	10.035828
1560771222817	TYPE_MAGNETIC_FIELD	22.729492	32.904053	-30.914307
1560771222817	TYPE_GYROSCOPE	-0.41052246	0.08572388	-0.04232788
1560771222817	TYPE_ROTATION_VECTOR	0.09524064	-0.024416866	0.31801254
1560771222817	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.650024	-67.95044	-358.66852
1560771222817	TYPE_GYROSCOPE_UNCALIBRATED	-0.36289978	0.17010498	-0.0901947
1560771222817	TYPE_ACCELEROMETER_UNCALIBRATED	1.4711761	1.9839325	9.896957
1560771222837	TYPE_ACCELEROMETER	1.0509949	2.123993	9.8424835
1560771222837	TYPE_MAGNETIC_FIELD	22.016907	34.32007	-31.608582
1560771222837	TYPE_GYROSCOPE	-0.2906952	0.19544983	-0.14512634
1560771222837	TYPE_ROTATION_VECTOR	0.0946678	-0.023808869	0.31567338
1560771222837	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.36261	-66.534424	-359.3628
1560771222837	TYPE_GYROSCOPE_UNCALIBRATED	-0.22068787	0.16531372	-0.1882019
1560771222837	TYPE_ACCELEROMETER_UNCALIBRATED	1.2610779	2.0659332	10.008881
1560771222857	TYPE_ACCELEROMETER	0.672699	2.234726	9.306793
1560771222857	TYPE_MAGNETIC_FIELD	22.016907	32.904053	-32.995605
1560771222857	TYPE_GYROSCOPE	-0.15539551	0.103302	-0.21809387
1560771222857	TYPE_ROTATION_VECTOR	0.095546365	-0.021551197	0.3117067
1560771222857	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.36261	-67.95044	-360.74982
1560771222857	TYPE_GYROSCOPE_UNCALIBRATED	-0.22068787	0.16531372	-0.1882019
1560771222857	TYPE_ACCELEROMETER_UNCALIBRATED	0.84269714	2.1742706	9.573746
1560771222877	TYPE_ACCELEROMETER	0.526062	2.3694	9.021881
1560771222877	TYPE_MAGNETIC_FIELD	22.729492	30.781555	-30.914307
1560771222877	TYPE_GYROSCOPE	-0.08029175	-0.0048217773	-0.22128296
1560771222877	TYPE_ROTATION_VECTOR	0.0976335	-0.019082276	0.30746394
1560771222877	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-25.650024	-70.07294	-358.66852
