#	startTime:1560771529321
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771529322	TYPE_WAYPOINT	256.11172	144.42471
1560771529442	TYPE_ACCELEROMETER	-0.42085266	1.1663208	8.914139
1560771529442	TYPE_MAGNETIC_FIELD	8.479309	-35.75287	-28.140259
1560771529442	TYPE_GYROSCOPE	0.45713806	-0.003768921	-0.17121887
1560771529442	TYPE_ROTATION_VECTOR	-0.017111855	0.042031478	0.9913405
1560771529442	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-136.60736	-355.89447
1560771529442	TYPE_GYROSCOPE_UNCALIBRATED	0.45469666	-0.0040740967	-0.17008972
1560771529442	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5321808	1.0591736	9.243942
1560771529462	TYPE_ACCELEROMETER	-0.14251709	1.3273315	8.922516
1560771529462	TYPE_MAGNETIC_FIELD	7.7667236	-34.33838	-26.751709
1560771529462	TYPE_GYROSCOPE	0.456604	-0.08631897	-0.15950012
1560771529462	TYPE_ROTATION_VECTOR	-0.014204942	0.05129676	0.9905924
1560771529462	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-135.19287	-354.50592
1560771529462	TYPE_GYROSCOPE_UNCALIBRATED	0.4541626	-0.086624146	-0.15837097
1560771529462	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29216003	1.2764435	8.775879
1560771529482	TYPE_ACCELEROMETER	0.20703125	1.3399048	9.527054
1560771529482	TYPE_MAGNETIC_FIELD	8.479309	-36.460876	-27.445984
1560771529482	TYPE_GYROSCOPE	0.32876587	-0.122543335	-0.16749573
1560771529482	TYPE_ROTATION_VECTOR	-0.0087581985	0.05705796	0.98974866
1560771529482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-137.31537	-355.2002
1560771529482	TYPE_GYROSCOPE_UNCALIBRATED	0.32632446	-0.12284851	-0.16636658
1560771529482	TYPE_ACCELEROMETER_UNCALIBRATED	0.035247803	1.3386993	9.227783
1560771529502	TYPE_ACCELEROMETER	0.43566895	1.2016296	10.16571
1560771529502	TYPE_MAGNETIC_FIELD	7.054138	-34.33838	-27.445984
1560771529502	TYPE_GYROSCOPE	0.19934082	-0.12361145	-0.17121887
1560771529502	TYPE_ROTATION_VECTOR	-0.0023625474	0.059329506	0.98897564
1560771529502	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.32538	-135.19287	-355.2002
1560771529502	TYPE_GYROSCOPE_UNCALIBRATED	0.19689941	-0.123916626	-0.17008972
1560771529502	TYPE_ACCELEROMETER_UNCALIBRATED	0.3494873	1.2890167	9.869431
1560771529522	TYPE_ACCELEROMETER	0.5057068	1.0460052	10.412903
1560771529522	TYPE_MAGNETIC_FIELD	7.7667236	-37.168884	-27.445984
1560771529522	TYPE_GYROSCOPE	0.15725708	-0.13798523	-0.17121887
1560771529522	TYPE_ROTATION_VECTOR	0.0032176464	0.059265893	0.9884017
