#	startTime:1560771539754
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771539755	TYPE_WAYPOINT	256.99084	140.81255
1560771539881	TYPE_ACCELEROMETER	0.112457275	0.8263397	10.128601
1560771539881	TYPE_MAGNETIC_FIELD	30.566406	1.0528564	-26.05896
1560771539881	TYPE_GYROSCOPE	-0.060058594	0.0084991455	-0.16375732
1560771539881	TYPE_ROTATION_VECTOR	0.036545083	0.017187981	0.662221
1560771539881	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.81311	-99.801636	-353.81317
1560771539881	TYPE_GYROSCOPE_UNCALIBRATED	-0.109375	-0.025909424	-0.16529846
1560771539881	TYPE_ACCELEROMETER_UNCALIBRATED	0.22200012	0.78923035	10.1345825
1560771539901	TYPE_ACCELEROMETER	-0.009643555	0.82814026	10.054382
1560771539901	TYPE_MAGNETIC_FIELD	31.991577	1.7608643	-26.05896
1560771539901	TYPE_GYROSCOPE	-0.010513306	0.06549072	-0.15576172
1560771539901	TYPE_ROTATION_VECTOR	0.03517981	0.01925442	0.6607116
1560771539901	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-16.38794	-99.09363	-353.81317
1560771539901	TYPE_GYROSCOPE_UNCALIBRATED	-0.023086548	0.03907776	-0.161026
1560771539901	TYPE_ACCELEROMETER_UNCALIBRATED	0.112457275	0.8263397	10.128601
1560771539921	TYPE_ACCELEROMETER	-0.103012085	0.78923035	10.178879
1560771539921	TYPE_MAGNETIC_FIELD	31.278992	2.468872	-25.364685
1560771539921	TYPE_GYROSCOPE	-0.06538391	0.14324951	-0.12327576
1560771539921	TYPE_ROTATION_VECTOR	0.032394614	0.02125559	0.659653
1560771539921	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.100525	-98.38562	-353.1189
1560771539921	TYPE_GYROSCOPE_UNCALIBRATED	-0.03213501	0.1003418	-0.14079285
1560771539921	TYPE_ACCELEROMETER_UNCALIBRATED	-0.009643555	0.82814026	10.054382
1560771539941	TYPE_ACCELEROMETER	0.08433533	0.9634094	10.277634
1560771539941	TYPE_MAGNETIC_FIELD	32.704163	2.468872	-25.364685
