#	startTime:1560771632545
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771632545	TYPE_WAYPOINT	256.99084	140.81255
1560771632675	TYPE_ACCELEROMETER	0.56077576	0.43249512	9.882584
1560771632675	TYPE_MAGNETIC_FIELD	27.005005	13.793945	-28.833008
1560771632675	TYPE_GYROSCOPE	-0.17671204	0.07774353	-0.26869202
1560771632675	TYPE_ROTATION_VECTOR	0.035345998	-0.01573934	0.54194146
1560771632675	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-87.06055	-356.58722
1560771632675	TYPE_GYROSCOPE_UNCALIBRATED	-0.17915344	0.077438354	-0.26756287
1560771632675	TYPE_ACCELEROMETER_UNCALIBRATED	0.63978577	0.47138977	9.437866
1560771632695	TYPE_ACCELEROMETER	0.49073792	0.35168457	10.139374
1560771632695	TYPE_MAGNETIC_FIELD	29.142761	13.793945	-26.751709
1560771632695	TYPE_GYROSCOPE	-0.19747925	0.06921387	-0.252182
1560771632695	TYPE_ROTATION_VECTOR	0.032522473	-0.015126263	0.53933054
1560771632695	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.236755	-87.06055	-354.50592
1560771632695	TYPE_GYROSCOPE_UNCALIBRATED	-0.19992065	0.06890869	-0.25105286
1560771632695	TYPE_ACCELEROMETER_UNCALIBRATED	0.56077576	0.43249512	9.882584
1560771632715	TYPE_ACCELEROMETER	0.49075317	0.32714844	9.834717
1560771632715	TYPE_MAGNETIC_FIELD	27.005005	12.37793	-27.445984
1560771632715	TYPE_GYROSCOPE	-0.12130737	0.04737854	-0.26229858
1560771632715	TYPE_ROTATION_VECTOR	0.030534698	-0.014666965	0.53697544
1560771632715	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-88.47656	-355.2002
1560771632715	TYPE_GYROSCOPE_UNCALIBRATED	-0.12374878	0.047073364	-0.26116943
1560771632715	TYPE_ACCELEROMETER_UNCALIBRATED	0.49073792	0.35168457	10.139374
1560771632735	TYPE_ACCELEROMETER	0.5164795	0.32655334	9.595291
