#	startTime:1560771690753
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771690754	TYPE_WAYPOINT	242.05865	132.81058
1560771690880	TYPE_ACCELEROMETER	-0.85180664	0.5923004	9.773056
1560771690880	TYPE_MAGNETIC_FIELD	-12.895203	43.52112	-26.751709
1560771690880	TYPE_GYROSCOPE	0.001739502	-0.32707214	-0.16163635
1560771690880	TYPE_ROTATION_VECTOR	0.041422244	0.042079262	-0.17094074
1560771690880	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.27472	-57.333374	-354.50592
1560771690880	TYPE_GYROSCOPE_UNCALIBRATED	0.04989624	-0.31140137	-0.19992065
1560771690880	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9571533	0.61564636	10.113037
1560771690900	TYPE_ACCELEROMETER	-0.93022156	0.55041504	9.322342
1560771690900	TYPE_MAGNETIC_FIELD	-13.607788	42.10663	-27.445984
1560771690900	TYPE_GYROSCOPE	0.078430176	-0.30630493	-0.235672
1560771690900	TYPE_ROTATION_VECTOR	0.040731322	0.039338	-0.1737681
1560771690900	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.987305	-58.747864	-355.2002
1560771690900	TYPE_GYROSCOPE_UNCALIBRATED	0.04989624	-0.31140137	-0.19992065
1560771690900	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85180664	0.5923004	9.773056
1560771690920	TYPE_ACCELEROMETER	-0.98349	0.67311096	9.480362
1560771690920	TYPE_MAGNETIC_FIELD	-15.032959	42.10663	-28.140259
1560771690920	TYPE_GYROSCOPE	0.057662964	-0.27540588	-0.26390076
1560771690920	TYPE_ROTATION_VECTOR	0.040769104	0.03778747	-0.17734097
1560771690920	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-58.747864	-355.89447
1560771690920	TYPE_GYROSCOPE_UNCALIBRATED	0.0738678	-0.29382324	-0.25637817
1560771690920	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93022156	0.55041504	9.322342
1560771690940	TYPE_ACCELEROMETER	-1.2079468	0.50849915	9.41452
1560771690940	TYPE_MAGNETIC_FIELD	-15.032959	42.10663	-27.445984
1560771690940	TYPE_GYROSCOPE	0.04168701	-0.24343872	-0.24739075
1560771690940	TYPE_ROTATION_VECTOR	0.041187342	0.03662846	-0.1806069
1560771690940	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-58.747864	-355.2002
1560771690940	TYPE_GYROSCOPE_UNCALIBRATED	0.029129028	-0.228302	-0.21803284
1560771690940	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98349	0.67311096	9.480362
1560771690960	TYPE_ACCELEROMETER	-1.8927002	-0.16307068	9.990936
1560771690960	TYPE_MAGNETIC_FIELD	-14.320374	43.52112	-26.751709
1560771690960	TYPE_GYROSCOPE	0.010253906	-0.14970398	-0.13552856
1560771690960	TYPE_ROTATION_VECTOR	0.0385405	0.041743413	-0.18543279
1560771690960	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.69989	-57.333374	-354.50592
1560771690960	TYPE_GYROSCOPE_UNCALIBRATED	0.029129028	-0.228302	-0.21803284
1560771690960	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2079468	0.50849915	9.41452
1560771690980	TYPE_ACCELEROMETER	-1.1067963	0.31217957	10.2764435
1560771690980	TYPE_MAGNETIC_FIELD	-15.032959	42.10663	-26.05896
1560771690980	TYPE_GYROSCOPE	-0.0073242188	0.21463013	0.12333679
1560771690980	TYPE_ROTATION_VECTOR	0.036265213	0.04672784	-0.18598156
1560771690980	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-58.747864	-353.81317
1560771690980	TYPE_GYROSCOPE_UNCALIBRATED	-0.0049743652	0.05079651	0.0035552979
1560771690980	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8927002	-0.16307068	9.990936
1560771691000	TYPE_ACCELEROMETER	-0.91586304	0.5115051	10.266861
1560771691000	TYPE_MAGNETIC_FIELD	-15.032959	42.10663	-26.05896
1560771691000	TYPE_GYROSCOPE	-0.020111084	0.2055664	0.1361084
1560771691000	TYPE_ROTATION_VECTOR	0.03574621	0.047759045	-0.18426399
1560771691000	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-58.747864	-353.81317
1560771691000	TYPE_GYROSCOPE_UNCALIBRATED	-0.019348145	0.22337341	0.1681366
1560771691000	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1067963	0.31217957	10.2764435
1560771691020	TYPE_ACCELEROMETER	-1.3911133	0.7036438	10.090881
1560771691020	TYPE_MAGNETIC_FIELD	-14.320374	42.10663	-26.05896
