#	startTime:1560771892239
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c47661097cf00130c939e	FloorName:F1
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560771892240	TYPE_WAYPOINT	256.11172	144.42471
1560771892371	TYPE_ACCELEROMETER	-0.5507355	0.3546753	10.035828
1560771892371	TYPE_MAGNETIC_FIELD	-39.372253	3.263855	-28.73993
1560771892371	TYPE_GYROSCOPE	-0.014785767	-0.13691711	0.0056152344
1560771892371	TYPE_ROTATION_VECTOR	0.032679744	0.011966938	-0.6588404
1560771892371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-85.49957	-98.38562	-357.2815
1560771892371	TYPE_GYROSCOPE_UNCALIBRATED	-0.028411865	-0.13615417	-0.0012512207
1560771892371	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5962219	0.33312988	10.013672
1560771892391	TYPE_ACCELEROMETER	-0.4741211	0.38819885	9.873016
1560771892391	TYPE_MAGNETIC_FIELD	-38.659668	2.5558472	-28.73993
1560771892391	TYPE_GYROSCOPE	0.024642944	-0.1395874	0.003479004
1560771892391	TYPE_ROTATION_VECTOR	0.031669073	0.010012393	-0.6589919
1560771892391	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-84.78699	-99.09363	-357.2815
1560771892391	TYPE_GYROSCOPE_UNCALIBRATED	-0.0017700195	-0.13722229	0.003540039
1560771892391	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5106354	0.36724854	10.010681
1560771892411	TYPE_ACCELEROMETER	-0.4555664	0.41871643	9.688065
1560771892411	TYPE_MAGNETIC_FIELD	-38.659668	3.263855	-30.126953
1560771892411	TYPE_GYROSCOPE	0.04914856	-0.11401367	0.020004272
1560771892411	TYPE_ROTATION_VECTOR	0.031289395	0.008015204	-0.6587498
1560771892411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-84.78699	-98.38562	-358.66852
1560771892411	TYPE_GYROSCOPE_UNCALIBRATED	0.04296875	-0.13510132	0.01473999
1560771892411	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45915222	0.41033936	9.747314
1560771892431	TYPE_ACCELEROMETER	-0.42982483	0.41334534	9.741943
1560771892431	TYPE_MAGNETIC_FIELD	-39.372253	1.8478394	-28.045654
1560771892431	TYPE_GYROSCOPE	0.027297974	-0.080459595	0.024795532
1560771892431	TYPE_ROTATION_VECTOR	0.030998101	0.0066588987	-0.6587854
1560771892431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-85.49957	-99.801636	-356.58722
1560771892431	TYPE_GYROSCOPE_UNCALIBRATED	0.037109375	-0.09408569	0.022735596
1560771892431	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44659424	0.41394043	9.694046
1560771892451	TYPE_ACCELEROMETER	-0.4040985	0.31219482	9.823929
1560771892451	TYPE_MAGNETIC_FIELD	-40.08484	4.6798706	-28.045654
1560771892451	TYPE_GYROSCOPE	0.02571106	-0.0650177	0.037582397
1560771892451	TYPE_ROTATION_VECTOR	0.030521536	0.0057014395	-0.6584633
1560771892451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-86.21216	-96.969604	-356.58722
1560771892451	TYPE_GYROSCOPE_UNCALIBRATED	0.01953125	-0.072784424	0.03125
1560771892451	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42564392	0.37742615	9.78743
1560771892471	TYPE_ACCELEROMETER	-0.2496643	0.22958374	9.789825
1560771892471	TYPE_MAGNETIC_FIELD	-40.08484	3.9718628	-28.73993
