#	startTime:1560770743318
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560770743318	TYPE_WAYPOINT	221.00739	132.38818
1560770743443	TYPE_ACCELEROMETER	-1.5242004	1.8850098	9.6141815
1560770743443	TYPE_MAGNETIC_FIELD	15.086365	-43.56079	-11.087036
1560770743443	TYPE_GYROSCOPE	-0.22962952	-0.2632904	-0.004196167
1560770743443	TYPE_ROTATION_VECTOR	-0.05754782	0.09266129	0.9855507
1560770743443	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.70331	-128.66211	-348.12164
1560770743443	TYPE_GYROSCOPE_UNCALIBRATED	-0.22865295	-0.2640381	-0.0034484863
1560770743443	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5242004	1.8850098	9.6141815
1560770743463	TYPE_ACCELEROMETER	-1.6983795	1.7766571	9.751846
1560770743463	TYPE_MAGNETIC_FIELD	14.402771	-44.24591	-10.421753
1560770743463	TYPE_GYROSCOPE	-0.31166077	-0.40605164	-0.021240234
1560770743463	TYPE_ROTATION_VECTOR	-0.05754782	0.09266129	0.9855507
1560770743463	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-79.3869	-129.34723	-347.45636
1560770743463	TYPE_GYROSCOPE_UNCALIBRATED	-0.22865295	-0.2640381	-0.0034484863
1560770743463	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5242004	1.8850098	9.6141815
1560770743483	TYPE_ACCELEROMETER	-1.7666016	1.660553	9.727905
