#	startTime:1560770795659
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560770795659	TYPE_WAYPOINT	222.67871	126.198364
1560770795779	TYPE_ACCELEROMETER	-2.5399323	1.9909515	10.944153
1560770795779	TYPE_MAGNETIC_FIELD	27.404785	-37.402344	-15.74707
1560770795779	TYPE_GYROSCOPE	-0.78889465	0.16654968	0.06452942
1560770795779	TYPE_ROTATION_VECTOR	-0.062115498	0.11162869	0.9545639
1560770795779	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-122.50366	-352.78168
1560770795779	TYPE_GYROSCOPE_UNCALIBRATED	-1.04039	-0.023834229	0.028518677
1560770795779	TYPE_ACCELEROMETER_UNCALIBRATED	-1.6540833	1.7832489	10.692764
1560770795799	TYPE_ACCELEROMETER	-3.0618744	2.4033508	10.41983
1560770795799	TYPE_MAGNETIC_FIELD	26.721191	-38.085938	-17.74292
1560770795799	TYPE_GYROSCOPE	-0.43469238	0.18145752	0.2280426
1560770795799	TYPE_ROTATION_VECTOR	-0.062115498	0.11162869	0.9545639
1560770795799	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.06848	-123.187256	-354.77753
1560770795799	TYPE_GYROSCOPE_UNCALIBRATED	-0.7879181	0.165802	0.0652771
1560770795799	TYPE_ACCELEROMETER_UNCALIBRATED	-2.5399323	1.9909515	10.944153
1560770795819	TYPE_ACCELEROMETER	-3.0594788	2.8217316	9.633331
1560770795819	TYPE_MAGNETIC_FIELD	27.404785	-37.402344	-17.077637
1560770795819	TYPE_GYROSCOPE	-0.17424011	0.02645874	0.42938232
1560770795819	TYPE_ROTATION_VECTOR	-0.08009197	0.12370773	0.955407
1560770795819	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-122.50366	-354.11224
1560770795819	TYPE_GYROSCOPE_UNCALIBRATED	-0.43371582	0.18070984	0.22879028
1560770795819	TYPE_ACCELEROMETER_UNCALIBRATED	-3.0618744	2.4033508	10.41983
1560770795839	TYPE_ACCELEROMETER	-2.5914154	3.1048431	8.861206
1560770795839	TYPE_MAGNETIC_FIELD	23.983765	-38.085938	-17.077637
1560770795839	TYPE_GYROSCOPE	-0.08262634	-0.12800598	0.5944977
1560770795839	TYPE_ROTATION_VECTOR	-0.08009197	0.12370773	0.955407
1560770795839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.80591	-123.187256	-354.11224
1560770795839	TYPE_GYROSCOPE_UNCALIBRATED	-0.17326355	0.02571106	0.43013
1560770795839	TYPE_ACCELEROMETER_UNCALIBRATED	-3.0594788	2.8217316	9.633331
1560770795858	TYPE_ACCELEROMETER	-2.1371155	3.285019	8.484711
1560770795858	TYPE_MAGNETIC_FIELD	24.667358	-38.771057	-18.409729
1560770795858	TYPE_GYROSCOPE	-0.14175415	-0.080596924	0.66160583
