#	startTime:1560771345331
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560771345332	TYPE_WAYPOINT	235.13098	84.4742
1560771345454	TYPE_ACCELEROMETER	-0.6161957	2.5733337	9.0252075
1560771345454	TYPE_MAGNETIC_FIELD	-23.239136	-23.713684	-28.393555
1560771345454	TYPE_GYROSCOPE	0.008453369	-0.031066895	-0.2220459
1560771345454	TYPE_ROTATION_VECTOR	0.0758842	-0.07292243	-0.89338815
1560771345454	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-108.815	-365.42816
1560771345454	TYPE_GYROSCOPE_UNCALIBRATED	0.015289307	-0.069625854	-0.23834229
1560771345454	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7275238	2.3698273	9.29216
1560771345474	TYPE_ACCELEROMETER	-0.46714783	2.7726593	8.906097
1560771345474	TYPE_MAGNETIC_FIELD	-20.501709	-23.713684	-27.728271
1560771345474	TYPE_GYROSCOPE	-0.05014038	0.041381836	-0.22470093
1560771345474	TYPE_ROTATION_VECTOR	0.0758842	-0.07292243	-0.89338815
1560771345474	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.29138	-108.815	-364.76288
1560771345474	TYPE_GYROSCOPE_UNCALIBRATED	0.009429932	-0.031814575	-0.22129822
1560771345474	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5294037	2.704422	8.868378
1560771345494	TYPE_ACCELEROMETER	-0.45158386	2.7104034	9.498657
1560771345494	TYPE_MAGNETIC_FIELD	-21.870422	-23.713684	-28.393555
1560771345494	TYPE_GYROSCOPE	-0.14068604	0.0541687	-0.23376465
1560771345494	TYPE_ROTATION_VECTOR	0.07919281	-0.08138574	-0.89012706
1560771345494	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-115.660095	-108.815	-365.42816
1560771345494	TYPE_GYROSCOPE_UNCALIBRATED	-0.04916382	0.040634155	-0.22395325
1560771345494	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4354248	2.7732544	9.149704
1560771345514	TYPE_ACCELEROMETER	-0.6299591	2.4853516	10.078049
1560771345514	TYPE_MAGNETIC_FIELD	-21.185303	-23.03009	-29.058838
1560771345514	TYPE_GYROSCOPE	-0.19021606	-0.016159058	-0.24014282
1560771345514	TYPE_ROTATION_VECTOR	0.08005568	-0.08514125	-0.8889555
1560771345514	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-114.974976	-108.13141	-366.09344
1560771345514	TYPE_GYROSCOPE_UNCALIBRATED	-0.13970947	0.05342102	-0.23301697
1560771345514	TYPE_ACCELEROMETER_UNCALIBRATED	-0.523407	2.6122437	9.824265
1560771345533	TYPE_ACCELEROMETER	-0.85861206	2.2243805	10.331238
1560771345533	TYPE_MAGNETIC_FIELD	-19.81659	-23.03009	-28.393555
1560771345533	TYPE_GYROSCOPE	-0.17424011	-0.07633972	-0.2220459
1560771345533	TYPE_ROTATION_VECTOR	0.079644814	-0.084878325	-0.88934416
1560771345533	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-113.60626	-108.13141	-365.42816
1560771345533	TYPE_GYROSCOPE_UNCALIBRATED	-0.1892395	-0.016906738	-0.23939514
