#	startTime:1560773042578
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560773042578	TYPE_WAYPOINT	260.11603	128.69156
1560773042713	TYPE_ACCELEROMETER	-1.1872101	1.1661377	9.5429535
1560773042713	TYPE_MAGNETIC_FIELD	16.607666	28.500366	-30.252075
1560773042713	TYPE_GYROSCOPE	-0.05279541	-0.09764099	-0.1986084
1560773042713	TYPE_ROTATION_VECTOR	0.05501958	0.07711022	0.19532306
1560773042713	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-53.381348	-366.09344
1560773042713	TYPE_GYROSCOPE_UNCALIBRATED	-0.051818848	-0.09838867	-0.19786072
1560773042713	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1584778	1.2277985	9.486084
1560773042733	TYPE_ACCELEROMETER	-1.2758026	1.1296387	9.677628
1560773042733	TYPE_MAGNETIC_FIELD	16.607666	27.131653	-30.252075
1560773042733	TYPE_GYROSCOPE	-0.034698486	-0.039596558	-0.20019531
1560773042733	TYPE_ROTATION_VECTOR	0.052586198	0.07612448	0.19394192
1560773042733	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-54.75006	-366.09344
1560773042733	TYPE_GYROSCOPE_UNCALIBRATED	-0.033721924	-0.04034424	-0.19944763
1560773042733	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2315063	1.135025	9.610596
1560773042753	TYPE_ACCELEROMETER	-1.3194885	1.190094	9.806305
1560773042753	TYPE_MAGNETIC_FIELD	15.238953	29.86908	-30.917358
1560773042753	TYPE_GYROSCOPE	-0.027236938	-0.033737183	-0.19114685
1560773042753	TYPE_ROTATION_VECTOR	0.050860476	0.07596878	0.19211777
1560773042753	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.01819	-52.012634	-366.75873
1560773042753	TYPE_GYROSCOPE_UNCALIBRATED	-0.026260376	-0.034484863	-0.19039917
1560773042753	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3135071	1.1475983	9.748245
1560773042773	TYPE_ACCELEROMETER	-1.2787933	1.2445526	9.857193
1560773042773	TYPE_MAGNETIC_FIELD	17.29126	28.500366	-31.584167
1560773042773	TYPE_GYROSCOPE	-0.0128479	-0.035858154	-0.16931152
1560773042773	TYPE_ROTATION_VECTOR	0.050287433	0.07564936	0.18992424
1560773042773	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.96588	-53.381348	-367.42554
1560773042773	TYPE_GYROSCOPE_UNCALIBRATED	-0.011871338	-0.036605835	-0.16856384
