#	startTime:1560773602813
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560773602813	TYPE_WAYPOINT	226.36787	134.08815
1560773602930	TYPE_ACCELEROMETER	-0.5138397	1.9137421	8.843246
1560773602930	TYPE_MAGNETIC_FIELD	41.825867	-23.977661	-26.91803
1560773602930	TYPE_GYROSCOPE	0.19328308	0.10369873	0.14814758
1560773602930	TYPE_ROTATION_VECTOR	0.022468489	0.115520254	0.83222747
1560773602930	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-62.278748	-367.42554
1560773602930	TYPE_GYROSCOPE_UNCALIBRATED	0.19425964	0.10295105	0.14889526
1560773602930	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6263733	1.9747925	8.851624
1560773602950	TYPE_ACCELEROMETER	-0.5294037	1.8862	9.068893
1560773602950	TYPE_MAGNETIC_FIELD	41.825867	-23.977661	-27.583313
1560773602950	TYPE_GYROSCOPE	0.021240234	0.07121277	0.11671448
1560773602950	TYPE_ROTATION_VECTOR	0.024398992	0.11337244	0.8330415
1560773602950	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-62.278748	-368.09082
1560773602950	TYPE_GYROSCOPE_UNCALIBRATED	0.022216797	0.07046509	0.11746216
1560773602950	TYPE_ACCELEROMETER_UNCALIBRATED	-0.48510742	1.8814087	8.890533
1560773602970	TYPE_ACCELEROMETER	-0.54615784	1.807785	9.559113
1560773602970	TYPE_MAGNETIC_FIELD	43.19458	-23.977661	-26.91803
1560773602970	TYPE_GYROSCOPE	-0.11564636	0.01687622	0.08157349
1560773602970	TYPE_ROTATION_VECTOR	0.02450478	0.110238306	0.8340849
1560773602970	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-62.278748	-367.42554
1560773602970	TYPE_GYROSCOPE_UNCALIBRATED	-0.1146698	0.01612854	0.08232117
1560773602970	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5617218	1.8700409	9.341232
1560773602990	TYPE_ACCELEROMETER	-0.9741211	2.2531128	9.608795
1560773602990	TYPE_MAGNETIC_FIELD	41.825867	-23.292542	-26.91803
1560773602990	TYPE_GYROSCOPE	-0.14068604	-0.015090942	0.07518005
1560773602990	TYPE_ROTATION_VECTOR	0.02400632	0.108543664	0.83467954
1560773602990	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-61.593628	-367.42554
1560773602990	TYPE_GYROSCOPE_UNCALIBRATED	-0.13970947	-0.015838623	0.075927734
1560773602990	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7281189	2.0041199	9.62915
1560773603009	TYPE_ACCELEROMETER	-0.62576294	2.107666	9.495071
1560773603009	TYPE_MAGNETIC_FIELD	41.825867	-23.977661	-27.583313
1560773603009	TYPE_GYROSCOPE	-0.07569885	0.044036865	0.15719604
1560773603009	TYPE_ROTATION_VECTOR	0.023403797	0.109320976	0.83513397
1560773603009	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-62.278748	-368.09082
1560773603009	TYPE_GYROSCOPE_UNCALIBRATED	-0.07472229	0.043289185	0.15794373
1560773603009	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8729706	2.1806946	9.583054
1560773603029	TYPE_ACCELEROMETER	-0.23550415	2.22258	9.376556
1560773603029	TYPE_MAGNETIC_FIELD	43.19458	-23.977661	-28.248596
1560773603029	TYPE_GYROSCOPE	-0.035232544	0.06854248	0.19502258
1560773603029	TYPE_ROTATION_VECTOR	0.025168397	0.10902452	0.83559257
1560773603029	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-62.278748	-368.7561
1560773603029	TYPE_GYROSCOPE_UNCALIBRATED	-0.03425598	0.0677948	0.19577026
1560773603029	TYPE_ACCELEROMETER_UNCALIBRATED	-0.41807556	2.16333	9.405884
1560773603049	TYPE_ACCELEROMETER	-0.049957275	2.2273712	9.464539
1560773603049	TYPE_MAGNETIC_FIELD	42.510986	-23.977661	-27.583313
1560773603049	TYPE_GYROSCOPE	-0.09220886	0.019012451	0.17424011
1560773603049	TYPE_ROTATION_VECTOR	0.028217224	0.10760228	0.8356671
1560773603049	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-62.278748	-368.09082
1560773603049	TYPE_GYROSCOPE_UNCALIBRATED	-0.0912323	0.01826477	0.1749878
1560773603049	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11399841	2.238739	9.393921
1560773603069	TYPE_ACCELEROMETER	0.098480225	2.2848358	9.519608
1560773603069	TYPE_MAGNETIC_FIELD	43.19458	-24.661255	-25.585938
1560773603069	TYPE_GYROSCOPE	-0.1662445	-0.077941895	0.13323975
1560773603069	TYPE_ROTATION_VECTOR	0.031446245	0.10496991	0.8356801
1560773603069	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-62.96234	-366.09344
1560773603069	TYPE_GYROSCOPE_UNCALIBRATED	-0.16526794	-0.078689575	0.13398743
1560773603069	TYPE_ACCELEROMETER_UNCALIBRATED	0.0015106201	2.2489166	9.519608
1560773603089	TYPE_ACCELEROMETER	0.25650024	2.2489166	9.325684
1560773603089	TYPE_MAGNETIC_FIELD	42.510986	-24.661255	-28.91388
1560773603089	TYPE_GYROSCOPE	-0.15507507	-0.14770508	0.10873413
1560773603089	TYPE_ROTATION_VECTOR	0.035499584	0.10208051	0.83550125
1560773603089	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-62.96234	-369.4214
1560773603089	TYPE_GYROSCOPE_UNCALIBRATED	-0.15409851	-0.14845276	0.10948181
1560773603089	TYPE_ACCELEROMETER_UNCALIBRATED	0.19664001	2.281845	9.455566
1560773603108	TYPE_ACCELEROMETER	0.27565002	2.1543427	9.146118
1560773603108	TYPE_MAGNETIC_FIELD	41.825867	-23.977661	-29.580688
1560773603108	TYPE_GYROSCOPE	-0.09700012	-0.12161255	0.102874756
1560773603108	TYPE_ROTATION_VECTOR	0.039250776	0.09982349	0.8353104
1560773603108	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.38489	-62.278748	-370.0882
1560773603108	TYPE_GYROSCOPE_UNCALIBRATED	-0.09602356	-0.12236023	0.10362244
1560773603108	TYPE_ACCELEROMETER_UNCALIBRATED	0.27923584	2.2124023	9.2065735
1560773603128	TYPE_ACCELEROMETER	0.27624512	1.9436646	9.215546
1560773603128	TYPE_MAGNETIC_FIELD	42.510986	-25.346375	-26.91803
1560773603128	TYPE_GYROSCOPE	-0.075164795	-0.06355286	0.1065979
1560773603128	TYPE_ROTATION_VECTOR	0.041833192	0.09783016	0.8354065
1560773603128	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-63.64746	-367.42554
1560773603128	TYPE_GYROSCOPE_UNCALIBRATED	-0.07418823	-0.06430054	0.10734558
1560773603128	TYPE_ACCELEROMETER_UNCALIBRATED	0.27026367	2.0567932	9.141922
1560773603148	TYPE_ACCELEROMETER	0.1535492	1.8479004	9.472916
1560773603148	TYPE_MAGNETIC_FIELD	43.19458	-23.977661	-28.91388
1560773603148	TYPE_GYROSCOPE	-0.09701538	-0.031066895	0.0874176
1560773603148	TYPE_ROTATION_VECTOR	0.043206133	0.09545455	0.83592683
1560773603148	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-62.278748	-369.4214
1560773603148	TYPE_GYROSCOPE_UNCALIBRATED	-0.09603882	-0.031814575	0.08816528
1560773603148	TYPE_ACCELEROMETER_UNCALIBRATED	0.25350952	1.8790131	9.344238
1560773603168	TYPE_ACCELEROMETER	-0.10083008	1.8652496	9.6692505
1560773603168	TYPE_MAGNETIC_FIELD	43.19458	-24.661255	-29.580688
1560773603168	TYPE_GYROSCOPE	-0.13482666	-0.059295654	0.027770996
1560773603168	TYPE_ROTATION_VECTOR	0.043604862	0.093039624	0.8361462
1560773603168	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-62.96234	-370.0882
1560773603168	TYPE_GYROSCOPE_UNCALIBRATED	-0.1338501	-0.060043335	0.028518677
1560773603168	TYPE_ACCELEROMETER_UNCALIBRATED	0.024856567	1.8371124	9.5902405
1560773603188	TYPE_ACCELEROMETER	-0.30015564	2.0190735	9.737473
1560773603188	TYPE_MAGNETIC_FIELD	41.825867	-23.977661	-26.25122
1560773603188	TYPE_GYROSCOPE	-0.16412354	-0.13600159	-0.02709961
1560773603188	TYPE_ROTATION_VECTOR	0.04381309	0.090764366	0.83606726
