#	startTime:1560773994878
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560773994879	TYPE_WAYPOINT	184.24513	69.72642
1560773994993	TYPE_ACCELEROMETER	-1.127945	1.8227539	8.947983
1560773994993	TYPE_MAGNETIC_FIELD	-13.607788	-36.29608	-22.923279
1560773994993	TYPE_GYROSCOPE	-0.2397461	-0.02520752	-0.026031494
1560773994993	TYPE_ROTATION_VECTOR	0.087134935	-0.06632132	-0.9568597
1560773994993	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-74.59717	-363.4308
1560773994993	TYPE_GYROSCOPE_UNCALIBRATED	-0.23876953	-0.0259552	-0.025283813
1560773994993	TYPE_ACCELEROMETER_UNCALIBRATED	-1.127945	1.8227539	8.947983
1560773995013	TYPE_ACCELEROMETER	-1.2410736	1.7730713	9.375961
1560773995013	TYPE_MAGNETIC_FIELD	-14.292908	-34.24225	-21.592712
1560773995013	TYPE_GYROSCOPE	-0.25520325	0.060546875	-0.112854004
1560773995013	TYPE_ROTATION_VECTOR	0.087134935	-0.06632132	-0.9568597
1560773995013	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-122.50366	-72.543335	-362.10022
1560773995013	TYPE_GYROSCOPE_UNCALIBRATED	-0.23876953	-0.0259552	-0.025283813
1560773995013	TYPE_ACCELEROMETER_UNCALIBRATED	-1.127945	1.8227539	8.947983
1560773995033	TYPE_ACCELEROMETER	-1.443985	1.8622589	9.6219635
1560773995033	TYPE_MAGNETIC_FIELD	-13.607788	-34.24225	-20.26062
1560773995033	TYPE_GYROSCOPE	-0.2003479	0.16494751	-0.16824341
1560773995033	TYPE_ROTATION_VECTOR	0.08721261	-0.06529335	-0.9570681
1560773995033	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-121.81854	-72.543335	-360.76813
1560773995033	TYPE_GYROSCOPE_UNCALIBRATED	-0.25422668	0.059799194	-0.11210632
1560773995033	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2410736	1.7730713	9.375961
1560773995053	TYPE_ACCELEROMETER	-1.3829346	1.917923	9.866165
1560773995053	TYPE_MAGNETIC_FIELD	-14.976501	-32.873535	-22.923279
1560773995053	TYPE_GYROSCOPE	-0.13536072	0.2107544	-0.16931152
1560773995053	TYPE_ROTATION_VECTOR	0.09159956	-0.063855395	-0.9570683
1560773995053	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-123.187256	-71.17462	-363.4308
1560773995053	TYPE_GYROSCOPE_UNCALIBRATED	-0.19937134	0.16419983	-0.16749573
1560773995053	TYPE_ACCELEROMETER_UNCALIBRATED	-1.443985	1.8622589	9.6219635
1560773995073	TYPE_ACCELEROMETER	-1.2201385	1.8586731	9.951767
1560773995073	TYPE_MAGNETIC_FIELD	-14.976501	-34.92737	-23.590088
1560773995073	TYPE_GYROSCOPE	-0.07411194	0.22247314	-0.15226746
