#	startTime:1560774022855
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560774022856	TYPE_WAYPOINT	194.60268	83.644844
1560774022967	TYPE_ACCELEROMETER	-0.8388519	1.4887695	10.008026
1560774022967	TYPE_MAGNETIC_FIELD	11.029053	-60.24933	-15.602112
1560774022967	TYPE_GYROSCOPE	-0.032562256	-0.110961914	-0.2705078
1560774022967	TYPE_ROTATION_VECTOR	-0.034634527	0.071545064	0.9923852
1560774022967	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-97.1817	-98.550415	-356.10962
1560774022967	TYPE_GYROSCOPE_UNCALIBRATED	-0.031585693	-0.111709595	-0.26976013
1560774022967	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8388519	1.4887695	10.008026
1560774022987	TYPE_ACCELEROMETER	-0.98609924	1.6617432	10.028381
1560774022987	TYPE_MAGNETIC_FIELD	12.397766	-61.618042	-16.932678
1560774022987	TYPE_GYROSCOPE	-0.001663208	-0.12588501	-0.30033875
1560774022987	TYPE_ROTATION_VECTOR	-0.03382853	0.07273511	0.99205935
1560774022987	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-99.91913	-357.4402
1560774022987	TYPE_GYROSCOPE_UNCALIBRATED	-6.866455E-4	-0.12663269	-0.29959106
1560774022987	TYPE_ACCELEROMETER_UNCALIBRATED	-0.98609924	1.6617432	10.028381
1560774023007	TYPE_ACCELEROMETER	-1.0411682	1.7736816	9.92482
1560774023007	TYPE_MAGNETIC_FIELD	12.397766	-60.932922	-14.27002
1560774023007	TYPE_GYROSCOPE	0.0340271	-0.15464783	-0.31259155
1560774023007	TYPE_ROTATION_VECTOR	-0.03419881	0.075378254	0.99160093
1560774023007	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-99.23401	-354.77753
1560774023007	TYPE_GYROSCOPE_UNCALIBRATED	0.035003662	-0.15539551	-0.31184387
1560774023007	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0411682	1.7736816	9.92482
1560774023027	TYPE_ACCELEROMETER	-1.0872498	1.8640442	9.56929
1560774023027	TYPE_MAGNETIC_FIELD	14.451599	-60.932922	-15.602112
1560774023027	TYPE_GYROSCOPE	0.08836365	-0.1333313	-0.30299377
1560774023027	TYPE_ROTATION_VECTOR	-0.034514774	0.0786215	0.9910545
1560774023027	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-99.23401	-356.10962
1560774023027	TYPE_GYROSCOPE_UNCALIBRATED	0.035003662	-0.15539551	-0.31184387
1560774023027	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0411682	1.7736816	9.92482
