#	startTime:1560775009526
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560775009527	TYPE_WAYPOINT	161.35379	27.794788
1560775009640	TYPE_ACCELEROMETER	-1.2452698	1.7150116	9.110199
1560775009640	TYPE_MAGNETIC_FIELD	15.969849	8.695984	-29.219055
1560775009640	TYPE_GYROSCOPE	0.006866455	-0.007095337	-0.06863403
1560775009640	TYPE_ROTATION_VECTOR	0.05898428	0.09855712	0.29764822
1560775009640	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.228455	-59.54132	-364.0976
1560775009640	TYPE_GYROSCOPE_UNCALIBRATED	0.007843018	-0.007843018	-0.06788635
1560775009640	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4014893	1.7658997	9.1521
1560775009660	TYPE_ACCELEROMETER	-1.2536621	1.6856842	9.219727
1560775009660	TYPE_MAGNETIC_FIELD	15.286255	8.695984	-30.549622
1560775009660	TYPE_GYROSCOPE	-0.15826416	-0.049179077	-0.09899902
1560775009660	TYPE_ROTATION_VECTOR	0.05898428	0.09855712	0.29764822
1560775009660	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-73.91205	-59.54132	-365.42816
1560775009660	TYPE_GYROSCOPE_UNCALIBRATED	-0.1572876	-0.049926758	-0.09825134
1560775009660	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1884003	1.6958618	9.110794
1560775009680	TYPE_ACCELEROMETER	-1.3218842	1.5749512	9.516617
1560775009680	TYPE_MAGNETIC_FIELD	13.9175415	8.01239	-29.884338
