#	startTime:1560775077733
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560775077733	TYPE_WAYPOINT	162.21765	29.85154
1560775077849	TYPE_ACCELEROMETER	-0.73950195	1.8419037	8.849228
1560775077849	TYPE_MAGNETIC_FIELD	-27.830505	-10.466003	-28.552246
1560775077849	TYPE_GYROSCOPE	0.11445618	-0.11949158	0.044815063
1560775077849	TYPE_ROTATION_VECTOR	0.10550868	-0.04121743	-0.7511878
1560775077849	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-117.02881	-78.70331	-363.4308
1560775077849	TYPE_GYROSCOPE_UNCALIBRATED	0.11543274	-0.12023926	0.045562744
1560775077849	TYPE_ACCELEROMETER_UNCALIBRATED	-0.85202026	1.8287354	9.017426
1560775077869	TYPE_ACCELEROMETER	-0.77001953	1.9065552	8.665482
1560775077869	TYPE_MAGNETIC_FIELD	-27.145386	-10.466003	-29.219055
1560775077869	TYPE_GYROSCOPE	0.07344055	-0.07527161	0.023513794
1560775077869	TYPE_ROTATION_VECTOR	0.10550868	-0.04121743	-0.7511878
1560775077869	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-116.34369	-78.70331	-364.0976
1560775077869	TYPE_GYROSCOPE_UNCALIBRATED	0.074417114	-0.07601929	0.024261475
1560775077869	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72154236	1.8843994	8.716354
1560775077889	TYPE_ACCELEROMETER	-0.90348816	1.8592682	9.107208
1560775077889	TYPE_MAGNETIC_FIELD	-26.461792	-9.09729	-27.22168
1560775077889	TYPE_GYROSCOPE	-0.022445679	-0.020950317	-9.918213E-4
1560775077889	TYPE_ROTATION_VECTOR	0.10438311	-0.044122223	-0.7505401
