#	startTime:1560775850479
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560775850480	TYPE_WAYPOINT	196.19896	29.796738
1560775850601	TYPE_ACCELEROMETER	-0.75445557	2.318344	10.130737
1560775850601	TYPE_MAGNETIC_FIELD	-30.567932	12.11853	-38.537598
1560775850601	TYPE_GYROSCOPE	-0.04321289	-0.09605408	-0.16610718
1560775850601	TYPE_ROTATION_VECTOR	0.13073759	-0.024403712	-0.49360824
1560775850601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-56.118774	-373.41614
1560775850601	TYPE_GYROSCOPE_UNCALIBRATED	-0.042236328	-0.09680176	-0.1653595
1560775850601	TYPE_ACCELEROMETER_UNCALIBRATED	-0.70059204	2.3824005	10.127731
1560775850621	TYPE_ACCELEROMETER	-0.8167114	2.195053	10.060104
1560775850621	TYPE_MAGNETIC_FIELD	-30.567932	10.749817	-39.20288
1560775850621	TYPE_GYROSCOPE	0.009521484	-0.110961914	-0.1831665
1560775850621	TYPE_ROTATION_VECTOR	0.12751207	-0.024359968	-0.49699643
1560775850621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-119.766235	-57.487488	-374.08142
1560775850621	TYPE_GYROSCOPE_UNCALIBRATED	0.010498047	-0.111709595	-0.18241882
1560775850621	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8442383	2.2956085	10.109787
1560775850641	TYPE_ACCELEROMETER	-0.6976013	2.1639252	9.755432
1560775850641	TYPE_MAGNETIC_FIELD	-29.199219	10.749817	-38.537598
1560775850641	TYPE_GYROSCOPE	0.08036804	-0.12854004	-0.16877747
1560775850641	TYPE_ROTATION_VECTOR	0.124291025	-0.025356885	-0.5002719
1560775850641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-118.39752	-57.487488	-373.41614
1560775850641	TYPE_GYROSCOPE_UNCALIBRATED	0.081344604	-0.12928772	-0.16802979
1560775850641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7017822	2.1184387	9.937393
1560775850661	TYPE_ACCELEROMETER	-0.89871216	2.2273712	9.265823
1560775850661	TYPE_MAGNETIC_FIELD	-31.251526	10.749817	-38.537598
1560775850661	TYPE_GYROSCOPE	0.14587402	-0.117889404	-0.17889404
1560775850661	TYPE_ROTATION_VECTOR	0.12413301	-0.026290333	-0.50252885
1560775850661	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-120.44983	-57.487488	-373.41614
