#	startTime:1560847460065
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c3c476b0379370013e0fd2c	FloorName:F2
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560847460065	TYPE_WAYPOINT	230.73367	94.768555
1560847460194	TYPE_ACCELEROMETER	-1.628952	0.8363495	8.950394
1560847460194	TYPE_MAGNETIC_FIELD	-14.193726	17.074585	-36.483765
1560847460194	TYPE_GYROSCOPE	-0.09849548	-0.21824646	-0.12828064
1560847460194	TYPE_ROTATION_VECTOR	0.06136623	0.04542339	-0.38402584
1560847460194	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-111.55243	-59.54132	-371.41876
1560847460194	TYPE_GYROSCOPE_UNCALIBRATED	-0.09762573	-0.2182312	-0.12701416
1560847460194	TYPE_ACCELEROMETER_UNCALIBRATED	-1.628952	0.8363495	8.950394
1560847460214	TYPE_ACCELEROMETER	-1.5810547	0.9051666	9.040161
1560847460214	TYPE_MAGNETIC_FIELD	-13.510132	17.074585	-37.149048
1560847460214	TYPE_GYROSCOPE	-0.09370422	-0.04408264	-0.14160156
1560847460214	TYPE_ROTATION_VECTOR	0.06136623	0.04542339	-0.38402584
1560847460214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-59.54132	-372.08405
1560847460214	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	-0.044067383	-0.14033508
1560847460214	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5810547	0.9051666	9.040161
1560847460234	TYPE_ACCELEROMETER	-1.7594299	1.3044128	9.356796
1560847460234	TYPE_MAGNETIC_FIELD	-13.510132	17.759705	-36.483765
1560847460234	TYPE_GYROSCOPE	-0.05482483	0.116256714	-0.16557312
1560847460234	TYPE_ROTATION_VECTOR	0.06407069	0.048407666	-0.38618577
1560847460234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-58.8562	-371.41876
1560847460234	TYPE_GYROSCOPE_UNCALIBRATED	-0.09283447	-0.044067383	-0.14033508
1560847460234	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5810547	0.9051666	9.040161
1560847460254	TYPE_ACCELEROMETER	-1.830658	1.5486145	9.313705
1560847460254	TYPE_MAGNETIC_FIELD	-14.878845	17.074585	-37.149048
1560847460254	TYPE_GYROSCOPE	-0.038848877	0.19773865	-0.16183472
1560847460254	TYPE_ROTATION_VECTOR	0.076285	0.05417622	-0.38449758
1560847460254	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-112.23755	-59.54132	-372.08405
1560847460254	TYPE_GYROSCOPE_UNCALIBRATED	-0.037979126	0.1977539	-0.16056824
1560847460254	TYPE_ACCELEROMETER_UNCALIBRATED	-1.830658	1.5486145	9.313705
1560847460273	TYPE_ACCELEROMETER	-1.9108582	1.6976471	9.48848
1560847460273	TYPE_MAGNETIC_FIELD	-12.141418	16.390991	-37.149048
1560847460273	TYPE_GYROSCOPE	-0.079315186	0.21957397	-0.15864563
1560847460273	TYPE_ROTATION_VECTOR	0.08167088	0.056872696	-0.3827165
1560847460273	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-60.224915	-372.08405
1560847460273	TYPE_GYROSCOPE_UNCALIBRATED	-0.037979126	0.1977539	-0.16056824
1560847460273	TYPE_ACCELEROMETER_UNCALIBRATED	-1.830658	1.5486145	9.313705
1560847460293	TYPE_ACCELEROMETER	-2.5986023	2.2728577	10.291733
1560847460293	TYPE_MAGNETIC_FIELD	-12.141418	17.074585	-37.149048
1560847460293	TYPE_GYROSCOPE	-0.07398987	0.12210083	-0.10272217
1560847460293	TYPE_ROTATION_VECTOR	0.089278385	0.06021653	-0.38083827
1560847460293	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-59.54132	-372.08405
1560847460293	TYPE_GYROSCOPE_UNCALIBRATED	-0.07312012	0.12211609	-0.10145569
1560847460293	TYPE_ACCELEROMETER_UNCALIBRATED	-2.5986023	2.2728577	10.291733
1560847460313	TYPE_ACCELEROMETER	-2.7212982	2.5841064	10.41983
1560847460313	TYPE_MAGNETIC_FIELD	-14.193726	16.390991	-37.81433
1560847460313	TYPE_GYROSCOPE	0.122558594	0.016113281	0.09754944
1560847460313	TYPE_ROTATION_VECTOR	0.089278385	0.06021653	-0.38083827
1560847460313	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-111.55243	-60.224915	-372.74933
1560847460313	TYPE_GYROSCOPE_UNCALIBRATED	-0.07312012	0.12211609	-0.10145569
1560847460313	TYPE_ACCELEROMETER_UNCALIBRATED	-2.5986023	2.2728577	10.291733
1560847460333	TYPE_ACCELEROMETER	-1.9288177	2.5613556	8.995285
1560847460333	TYPE_MAGNETIC_FIELD	-13.510132	17.074585	-36.483765
1560847460333	TYPE_GYROSCOPE	0.2844696	0.10826111	0.21846008
1560847460333	TYPE_ROTATION_VECTOR	0.10734238	0.062259037	-0.3737556
1560847460333	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-59.54132	-371.41876
1560847460333	TYPE_GYROSCOPE_UNCALIBRATED	0.28533936	0.10827637	0.21972656
1560847460333	TYPE_ACCELEROMETER_UNCALIBRATED	-1.9288177	2.5613556	8.995285
1560847460353	TYPE_ACCELEROMETER	-2.11557	2.8762054	7.4318695
1560847460353	TYPE_MAGNETIC_FIELD	-12.825012	14.337158	-37.149048
1560847460353	TYPE_GYROSCOPE	0.11349487	0.24461365	0.28131104
1560847460353	TYPE_ROTATION_VECTOR	0.116755866	0.06365168	-0.36737123
1560847460353	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-62.278748	-372.08405
1560847460353	TYPE_GYROSCOPE_UNCALIBRATED	0.114364624	0.2446289	0.2825775
1560847460353	TYPE_ACCELEROMETER_UNCALIBRATED	-2.11557	2.8762054	7.4318695
1560847460372	TYPE_ACCELEROMETER	-0.93281555	1.894577	8.350632
1560847460372	TYPE_MAGNETIC_FIELD	-13.510132	15.022278	-36.483765
1560847460372	TYPE_GYROSCOPE	-0.23910522	0.18229675	0.27598572
1560847460372	TYPE_ROTATION_VECTOR	0.1157342	0.062466133	-0.36087027
1560847460372	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-61.593628	-371.41876
1560847460372	TYPE_GYROSCOPE_UNCALIBRATED	-0.23823547	0.18231201	0.2772522
1560847460372	TYPE_ACCELEROMETER_UNCALIBRATED	-0.93281555	1.894577	8.350632
1560847460392	TYPE_ACCELEROMETER	-1.3218842	1.9526367	9.179642
1560847460392	TYPE_MAGNETIC_FIELD	-12.825012	16.390991	-37.81433
1560847460392	TYPE_GYROSCOPE	-0.4159546	-0.062194824	0.17745972
1560847460392	TYPE_ROTATION_VECTOR	0.11239059	0.06102102	-0.35633117
1560847460392	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-60.224915	-372.74933
1560847460392	TYPE_GYROSCOPE_UNCALIBRATED	-0.41508484	-0.062179565	0.1787262
1560847460392	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3218842	1.9526367	9.179642
1560847460412	TYPE_ACCELEROMETER	-1.3494263	1.6234436	9.527985
1560847460412	TYPE_MAGNETIC_FIELD	-12.141418	16.390991	-36.483765
1560847460412	TYPE_GYROSCOPE	-0.3695984	-0.18469238	0.16574097
1560847460412	TYPE_ROTATION_VECTOR	0.107985064	0.058916744	-0.35315156
1560847460412	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-60.224915	-371.41876
1560847460412	TYPE_GYROSCOPE_UNCALIBRATED	-0.36872864	-0.18467712	0.16700745
1560847460412	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3494263	1.6234436	9.527985
1560847460432	TYPE_ACCELEROMETER	-1.3212891	1.4833832	9.457962
1560847460432	TYPE_MAGNETIC_FIELD	-12.825012	17.074585	-35.81848
1560847460432	TYPE_GYROSCOPE	-0.21408081	-0.0957489	0.15028381
1560847460432	TYPE_ROTATION_VECTOR	0.10511405	0.05739564	-0.3505625
1560847460432	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-59.54132	-370.75348
1560847460432	TYPE_GYROSCOPE_UNCALIBRATED	-0.21321106	-0.09573364	0.1515503
1560847460432	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3212891	1.4833832	9.457962
1560847460452	TYPE_ACCELEROMETER	-1.1626587	1.5641785	8.871979
1560847460452	TYPE_MAGNETIC_FIELD	-10.772705	16.390991	-36.483765
1560847460452	TYPE_GYROSCOPE	-0.17678833	-0.043548584	0.14176941
1560847460452	TYPE_ROTATION_VECTOR	0.10332836	0.05611902	-0.34738404
1560847460452	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.13141	-60.224915	-371.41876
