#	startTime:1560500995805
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560500995805	TYPE_WAYPOINT	198.05206	93.97124
1560500995933	TYPE_ACCELEROMETER	-1.5846558	0.4580536	10.2504425
1560500995933	TYPE_MAGNETIC_FIELD	5.645752	-11.000061	-9.454346
1560500995933	TYPE_GYROSCOPE	-0.23648071	0.014724731	0.14515686
1560500995933	TYPE_ROTATION_VECTOR	-0.05573791	0.04973858	0.97565645
1560500995933	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-104.70886	-343.46313
1560500995933	TYPE_GYROSCOPE_UNCALIBRATED	-0.23558044	0.015060425	0.14622498
1560500995933	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4445953	0.5693817	9.782974
1560500995953	TYPE_ACCELEROMETER	-0.94000244	0.80700684	9.888916
1560500995953	TYPE_MAGNETIC_FIELD	5.645752	-11.000061	-9.454346
1560500995953	TYPE_GYROSCOPE	-0.6860199	-0.9530792	0.07646179
1560500995953	TYPE_ROTATION_VECTOR	-0.05058214	0.041896384	0.97680336
1560500995953	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.649475	-104.70886	-343.46313
1560500995953	TYPE_GYROSCOPE_UNCALIBRATED	-0.6851196	-0.95274353	0.07752991
1560500995953	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3955078	0.6412201	10.08165
1560500995973	TYPE_ACCELEROMETER	-0.46954346	0.5795593	9.941589
1560500995973	TYPE_MAGNETIC_FIELD	3.591919	-11.685181	-7.45697
1560500995973	TYPE_GYROSCOPE	-0.42182922	-0.69314575	0.14143372
1560500995973	TYPE_ROTATION_VECTOR	-0.03906585	0.036552213	0.9771021
1560500995973	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-78.70331	-105.39398	-341.46576
1560500995973	TYPE_GYROSCOPE_UNCALIBRATED	-0.42092896	-0.69281006	0.14250183
1560500995973	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3630066	0.6459961	9.781174
1560500995993	TYPE_ACCELEROMETER	-1.6834106	0.92433167	10.17981
1560500995993	TYPE_MAGNETIC_FIELD	6.3293457	-12.368774	-6.124878
