#	startTime:1560510395505
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560510395506	TYPE_WAYPOINT	274.16776	101.124054
1560510395648	TYPE_ACCELEROMETER	-0.5515442	1.1619568	10.098404
1560510395648	TYPE_MAGNETIC_FIELD	-9.539795	-28.312683	-47.525024
1560510395648	TYPE_GYROSCOPE	-0.04473877	-0.03375244	-0.019958496
1560510395648	TYPE_ROTATION_VECTOR	0.033625226	-0.056379307	-0.979999
1560510395648	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.81299	-123.872375	-381.4026
1560510395648	TYPE_GYROSCOPE_UNCALIBRATED	-0.0438385	-0.033416748	-0.01889038
1560510395648	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5467529	1.1930847	10.149277
1560510395668	TYPE_ACCELEROMETER	-0.582077	1.1733246	9.890106
1560510395668	TYPE_MAGNETIC_FIELD	-9.539795	-28.312683	-47.525024
1560510395668	TYPE_GYROSCOPE	0.03517151	0.06266785	-0.017303467
1560510395668	TYPE_ROTATION_VECTOR	0.034733057	-0.055239417	-0.97967035
1560510395668	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-125.24109	-381.4026
1560510395668	TYPE_GYROSCOPE_UNCALIBRATED	0.036071777	0.06300354	-0.016235352
1560510395668	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5611267	1.1451874	9.988876
1560510395688	TYPE_ACCELEROMETER	-0.6730499	1.1924744	9.8003235
1560510395688	TYPE_MAGNETIC_FIELD	-8.171082	-28.312683	-48.191833
1560510395688	TYPE_GYROSCOPE	0.018661499	0.04562378	-0.023162842
1560510395688	TYPE_ROTATION_VECTOR	0.036306206	-0.05487158	-0.9793654
1560510395688	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-94.444275	-123.872375	-382.0694
1560510395688	TYPE_GYROSCOPE_UNCALIBRATED	0.019561768	0.045959473	-0.022094727
1560510395688	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6269684	1.1960602	9.837433
1560510395708	TYPE_ACCELEROMETER	-0.7353058	1.2056427	9.799133
1560510395708	TYPE_MAGNETIC_FIELD	-8.171082	-28.312683	-48.191833
1560510395708	TYPE_GYROSCOPE	-0.034622192	-0.031082153	-0.032211304
1560510395708	TYPE_ROTATION_VECTOR	0.037741255	-0.054367635	-0.9788371
1560510395708	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-125.24109	-380.7373
1560510395708	TYPE_GYROSCOPE_UNCALIBRATED	-0.033721924	-0.03074646	-0.031143188
1560510395708	TYPE_ACCELEROMETER_UNCALIBRATED	-0.71195984	1.1924744	9.781769
1560510395727	TYPE_ACCELEROMETER	-0.76942444	1.234375	9.855988
1560510395727	TYPE_MAGNETIC_FIELD	-8.854675	-29.681396	-46.85974
1560510395727	TYPE_GYROSCOPE	-0.028747559	-0.038009644	-0.029541016
1560510395727	TYPE_ROTATION_VECTOR	0.038785085	-0.053744446	-0.9782705
1560510395727	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-125.24109	-380.7373
1560510395727	TYPE_GYROSCOPE_UNCALIBRATED	-0.02784729	-0.03767395	-0.0284729
1560510395727	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7466736	1.2248077	9.836838
1560510395747	TYPE_ACCELEROMETER	-0.7783966	1.2559204	9.720718
1560510395747	TYPE_MAGNETIC_FIELD	-8.854675	-29.681396	-48.191833
1560510395747	TYPE_GYROSCOPE	0.03942871	0.017929077	-0.018356323
1560510395747	TYPE_ROTATION_VECTOR	0.0401217	-0.053604804	-0.9776746
1560510395747	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-95.12787	-125.24109	-382.0694
1560510395747	TYPE_GYROSCOPE_UNCALIBRATED	0.04032898	0.01826477	-0.017288208
1560510395747	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7879791	1.2415619	9.827866
1560510395767	TYPE_ACCELEROMETER	-0.6850281	1.2714844	9.441803
1560510395767	TYPE_MAGNETIC_FIELD	-7.485962	-28.312683	-46.85974
1560510395767	TYPE_GYROSCOPE	0.08576965	0.0743866	-0.0018615723
1560510395767	TYPE_ROTATION_VECTOR	0.041943055	-0.05414245	-0.9771107
1560510395767	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-123.872375	-380.7373
1560510395767	TYPE_GYROSCOPE_UNCALIBRATED	0.08666992	0.07472229	-7.9345703E-4
1560510395767	TYPE_ACCELEROMETER_UNCALIBRATED	-0.728714	1.266098	9.581863
1560510395787	TYPE_ACCELEROMETER	-0.689209	1.3247528	9.289169
1560510395787	TYPE_MAGNETIC_FIELD	-7.485962	-28.312683	-47.525024
1560510395787	TYPE_GYROSCOPE	0.059661865	0.12712097	0.0072021484
1560510395787	TYPE_ROTATION_VECTOR	0.043645207	-0.054988194	-0.9767049
1560510395787	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-93.759155	-123.872375	-381.4026
1560510395787	TYPE_GYROSCOPE_UNCALIBRATED	0.08666992	0.07472229	-7.9345703E-4
1560510395787	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6886139	1.2930298	9.304733
1560510395807	TYPE_ACCELEROMETER	-0.68562317	1.2870483	9.6297455
1560510395807	TYPE_MAGNETIC_FIELD	-6.802368	-28.312683	-48.191833
1560510395807	TYPE_GYROSCOPE	-0.0154418945	0.11645508	0.01626587
