#	startTime:1560511022189
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190612-nightly	VersionCode:263	
1560511022190	TYPE_WAYPOINT	221.22148	116.819046
1560511022301	TYPE_ACCELEROMETER	-0.65689087	1.3534851	9.756638
1560511022301	TYPE_MAGNETIC_FIELD	-19.120789	22.331238	-36.210632
1560511022301	TYPE_GYROSCOPE	-0.011169434	0.044555664	0.09829712
1560511022301	TYPE_ROTATION_VECTOR	0.0832431	0.016304048	-0.321308
1560511022301	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-73.228455	-370.0882
1560511022301	TYPE_GYROSCOPE_UNCALIBRATED	-0.08857727	-0.027557373	0.062072754
1560511022301	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7789917	1.3977814	9.874542
1560511022321	TYPE_ACCELEROMETER	-0.52401733	1.2361755	9.595627
1560511022321	TYPE_MAGNETIC_FIELD	-19.120789	22.331238	-36.210632
1560511022321	TYPE_GYROSCOPE	0.012802124	0.08078003	0.11001587
1560511022321	TYPE_ROTATION_VECTOR	0.0832431	0.016304048	-0.321308
1560511022321	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-73.228455	-370.0882
1560511022321	TYPE_GYROSCOPE_UNCALIBRATED	-0.010269165	0.044891357	0.099365234
1560511022321	TYPE_ACCELEROMETER_UNCALIBRATED	-0.57728577	1.2942352	9.655487
1560511022341	TYPE_ACCELEROMETER	-0.4126892	1.1853027	9.611191
1560511022341	TYPE_MAGNETIC_FIELD	-20.489502	23.016357	-35.543823
1560511022341	TYPE_GYROSCOPE	-0.039413452	0.026977539	0.08711243
1560511022341	TYPE_ROTATION_VECTOR	0.080774166	0.014673172	-0.31925392
1560511022341	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.762695	-72.543335	-369.4214
1560511022341	TYPE_GYROSCOPE_UNCALIBRATED	0.013702393	0.08111572	0.111083984
1560511022341	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4569702	1.1990662	9.586044
1560511022361	TYPE_ACCELEROMETER	-0.39772034	1.226593	9.758423
1560511022361	TYPE_MAGNETIC_FIELD	-19.804382	23.016357	-36.210632
1560511022361	TYPE_GYROSCOPE	-0.07562256	-0.03215027	0.054611206
1560511022361	TYPE_ROTATION_VECTOR	0.07790743	0.01268458	-0.31751272
1560511022361	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-72.543335	-370.0882
1560511022361	TYPE_GYROSCOPE_UNCALIBRATED	-0.038513184	0.027313232	0.08818054
1560511022361	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40431213	1.1942749	9.681808
1560511022381	TYPE_ACCELEROMETER	-0.463562	1.2463531	9.698578
1560511022381	TYPE_MAGNETIC_FIELD	-19.120789	23.699951	-37.5412
1560511022381	TYPE_GYROSCOPE	-0.033554077	0.0067443848	0.038101196
1560511022381	TYPE_ROTATION_VECTOR	0.074259534	0.009868762	-0.3150564
1560511022381	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-71.85974	-371.41876
1560511022381	TYPE_GYROSCOPE_UNCALIBRATED	-0.07472229	-0.031814575	0.05567932
1560511022381	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4031067	1.2475433	9.759628
1560511022400	TYPE_ACCELEROMETER	-0.5407715	1.2397614	9.691391
1560511022400	TYPE_MAGNETIC_FIELD	-18.435669	22.331238	-36.875916
1560511022400	TYPE_GYROSCOPE	-0.0021209717	0.06745911	0.03916931
1560511022400	TYPE_ROTATION_VECTOR	0.073844984	0.010018896	-0.31450087
1560511022400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-73.228455	-370.75348
1560511022400	TYPE_GYROSCOPE_UNCALIBRATED	-0.03265381	0.007080078	0.03916931
1560511022400	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5299988	1.2433624	9.659073
1560511022420	TYPE_ACCELEROMETER	-0.5096588	1.1984711	9.624954
1560511022420	TYPE_MAGNETIC_FIELD	-18.435669	22.331238	-34.87854
1560511022420	TYPE_GYROSCOPE	-0.012771606	0.041885376	0.021591187
1560511022420	TYPE_ROTATION_VECTOR	0.073844984	0.010018896	-0.31450087
1560511022420	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-73.228455	-368.7561
1560511022420	TYPE_GYROSCOPE_UNCALIBRATED	-0.0012207031	0.0677948	0.040237427
1560511022420	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5174408	1.2206116	9.684219
1560511022440	TYPE_ACCELEROMETER	-0.5880585	1.2050476	9.641113
1560511022440	TYPE_MAGNETIC_FIELD	-18.435669	22.331238	-36.875916
1560511022440	TYPE_GYROSCOPE	-0.043670654	0.0040740967	-0.0061035156
1560511022440	TYPE_ROTATION_VECTOR	0.073172	0.009951261	-0.31415483
1560511022440	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-73.228455	-370.75348
1560511022440	TYPE_GYROSCOPE_UNCALIBRATED	-0.011871338	0.04222107	0.022659302
1560511022440	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5407715	1.1930847	9.604599
1560511022460	TYPE_ACCELEROMETER	-0.57429504	1.2523346	9.6614685
1560511022460	TYPE_MAGNETIC_FIELD	-18.435669	22.331238	-35.543823
1560511022460	TYPE_GYROSCOPE	-0.045272827	-0.0055236816	-0.01676941
1560511022460	TYPE_ROTATION_VECTOR	0.072382286	0.010032963	-0.3143635
1560511022460	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-73.228455	-369.4214
1560511022460	TYPE_GYROSCOPE_UNCALIBRATED	-0.042770386	0.00440979	-0.0050354004
1560511022460	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6006317	1.237381	9.677017
1560511022480	TYPE_ACCELEROMETER	-0.5228119	1.1984711	9.612976
1560511022480	TYPE_MAGNETIC_FIELD	-17.066956	23.016357	-35.543823
1560511022480	TYPE_GYROSCOPE	-0.025024414	0.02909851	-0.021026611
1560511022480	TYPE_ROTATION_VECTOR	0.071805894	0.009933678	-0.31450117
1560511022480	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-103.34015	-72.543335	-369.4214
1560511022480	TYPE_GYROSCOPE_UNCALIBRATED	-0.04437256	-0.0051879883	-0.015701294
1560511022480	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5431671	1.2301941	9.638718
1560511022499	TYPE_ACCELEROMETER	-0.58506775	1.190094	9.633331
1560511022499	TYPE_MAGNETIC_FIELD	-17.752075	23.016357	-36.875916
1560511022499	TYPE_GYROSCOPE	-0.022369385	0.053604126	-0.03488159
1560511022499	TYPE_ROTATION_VECTOR	0.07131968	0.010009254	-0.31426433
1560511022499	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.02527	-72.543335	-370.75348
1560511022499	TYPE_GYROSCOPE_UNCALIBRATED	-0.024124146	0.029434204	-0.019958496
1560511022499	TYPE_ACCELEROMETER_UNCALIBRATED	-0.53837585	1.1888885	9.601608
1560511022519	TYPE_ACCELEROMETER	-0.68263245	1.1577606	9.723709
1560511022519	TYPE_MAGNETIC_FIELD	-19.804382	23.699951	-36.875916
1560511022519	TYPE_GYROSCOPE	-0.03781128	0.028579712	-0.050323486
1560511022519	TYPE_ROTATION_VECTOR	0.071018785	0.010519317	-0.3144456
1560511022519	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-71.85974	-370.75348
1560511022519	TYPE_GYROSCOPE_UNCALIBRATED	-0.021469116	0.05393982	-0.033813477
1560511022519	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6299591	1.1763153	9.68541
1560511022539	TYPE_ACCELEROMETER	-0.795166	1.2158203	9.723709
1560511022539	TYPE_MAGNETIC_FIELD	-17.752075	22.331238	-38.206482
1560511022539	TYPE_GYROSCOPE	-0.03993225	0.011001587	-0.05671692
1560511022539	TYPE_ROTATION_VECTOR	0.07026133	0.011844238	-0.31626454
1560511022539	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.02527	-73.228455	-372.08405
1560511022539	TYPE_GYROSCOPE_UNCALIBRATED	-0.03691101	0.028915405	-0.04925537
1560511022539	TYPE_ACCELEROMETER_UNCALIBRATED	-0.736496	1.1649475	9.731491
1560511022559	TYPE_ACCELEROMETER	-0.81251526	1.242157	9.763824
1560511022559	TYPE_MAGNETIC_FIELD	-18.435669	21.647644	-36.210632
1560511022559	TYPE_GYROSCOPE	-0.031951904	0.007797241	-0.04499817
1560511022559	TYPE_ROTATION_VECTOR	0.07026133	0.011844238	-0.31626454
1560511022559	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-73.91205	-370.0882
1560511022559	TYPE_GYROSCOPE_UNCALIBRATED	-0.039031982	0.01133728	-0.055648804
1560511022559	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8334656	1.2457428	9.734482
1560511022579	TYPE_ACCELEROMETER	-0.77960205	1.2858582	9.662064
1560511022579	TYPE_MAGNETIC_FIELD	-19.120789	21.647644	-36.875916
1560511022579	TYPE_GYROSCOPE	-0.014907837	0.0061950684	-0.04019165
1560511022579	TYPE_ROTATION_VECTOR	0.07016206	0.012428194	-0.31720382
1560511022579	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-105.39398	-73.91205	-370.75348
1560511022579	TYPE_GYROSCOPE_UNCALIBRATED	-0.031051636	0.008132935	-0.043930054
1560511022579	TYPE_ACCELEROMETER_UNCALIBRATED	-0.795166	1.2517395	9.741074
1560511022598	TYPE_ACCELEROMETER	-0.7819824	1.4091492	9.4878845
1560511022598	TYPE_MAGNETIC_FIELD	-18.435669	23.016357	-36.210632
1560511022598	TYPE_GYROSCOPE	-0.028762817	0.01260376	-0.03753662
1560511022598	TYPE_ROTATION_VECTOR	0.070332624	0.012769579	-0.31800902
1560511022598	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-104.70886	-72.543335	-370.0882
1560511022598	TYPE_GYROSCOPE_UNCALIBRATED	-0.014007568	0.0065307617	-0.039123535
1560511022598	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7610321	1.35289	9.56749
1560511022618	TYPE_ACCELEROMETER	-0.7454834	1.423523	9.53038
1560511022618	TYPE_MAGNETIC_FIELD	-19.804382	23.699951	-38.206482
1560511022618	TYPE_GYROSCOPE	-0.05857849	0.027511597	-0.019958496
1560511022618	TYPE_ROTATION_VECTOR	0.07074866	0.013122941	-0.31825873
1560511022618	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-106.077576	-71.85974	-372.08405
