#	startTime:1560513092662
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
1560513092662	TYPE_WAYPOINT	211.8057	40.448017
1560513092780	TYPE_ACCELEROMETER	-1.194397	3.5124664	8.369797
1560513092780	TYPE_MAGNETIC_FIELD	19.891357	-29.833984	-20.33081
1560513092780	TYPE_GYROSCOPE	-0.19174194	-1.9836426E-4	0.14143372
1560513092780	TYPE_ROTATION_VECTOR	0.008508307	0.2244157	0.90838593
1560513092780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.016174	-107.44629	-357.4402
1560513092780	TYPE_GYROSCOPE_UNCALIBRATED	-0.19084167	1.373291E-4	0.14250183
1560513092780	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3739624	3.6884308	8.056747
1560513092800	TYPE_ACCELEROMETER	-1.2285004	3.3640137	8.612213
1560513092800	TYPE_MAGNETIC_FIELD	19.207764	-29.15039	-21.662903
1560513092800	TYPE_GYROSCOPE	-0.2311554	-0.107788086	0.11639404
1560513092800	TYPE_ROTATION_VECTOR	0.007004001	0.2166555	0.91181934
1560513092800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-106.762695	-358.77228
1560513092800	TYPE_GYROSCOPE_UNCALIBRATED	-0.23025513	-0.10745239	0.11746216
1560513092800	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0932312	3.3580322	8.671463
1560513092820	TYPE_ACCELEROMETER	-1.1955872	3.3161316	8.705582
1560513092820	TYPE_MAGNETIC_FIELD	19.207764	-30.519104	-20.99762
1560513092820	TYPE_GYROSCOPE	-0.24873352	-0.1285553	0.11639404
1560513092820	TYPE_ROTATION_VECTOR	0.007004001	0.2166555	0.91181934
1560513092820	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.69977	-108.13141	-358.107
1560513092820	TYPE_GYROSCOPE_UNCALIBRATED	-0.23025513	-0.10745239	0.11746216
1560513092820	TYPE_ACCELEROMETER_UNCALIBRATED	-1.360199	3.3993378	8.524216
1560513092840	TYPE_ACCELEROMETER	-0.75086975	3.2676544	8.83786
1560513092840	TYPE_MAGNETIC_FIELD	20.576477	-29.15039	-23.658752
1560513092840	TYPE_GYROSCOPE	-0.2668457	-0.18554688	0.06846619
1560513092840	TYPE_ROTATION_VECTOR	0.009804996	0.2029159	0.91587436
1560513092840	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.331055	-106.762695	-360.76813
1560513092840	TYPE_GYROSCOPE_UNCALIBRATED	-0.26594543	-0.18521118	0.0695343
1560513092840	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9304352	3.2832184	8.8276825
1560513092859	TYPE_ACCELEROMETER	-0.8436432	3.2646637	9.161682
1560513092859	TYPE_MAGNETIC_FIELD	17.15393	-29.833984	-21.662903
1560513092859	TYPE_GYROSCOPE	-0.24234009	-0.15466309	-0.01676941
