#	startTime:1560513381832
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
1560513381832	TYPE_WAYPOINT	171.56659	18.480965
1560513381948	TYPE_ACCELEROMETER	-0.3522339	2.1322021	9.007858
1560513381948	TYPE_MAGNETIC_FIELD	-26.644897	-12.04071	-36.972046
1560513381948	TYPE_GYROSCOPE	-0.18162537	-0.046524048	-0.09719849
1560513381948	TYPE_ROTATION_VECTOR	0.06755642	-0.06763263	-0.78094053
1560513381948	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-89.653015	-373.41614
1560513381948	TYPE_GYROSCOPE_UNCALIBRATED	-0.15994263	-0.066970825	-0.11903381
1560513381948	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3917389	2.1501617	9.016235
1560513381968	TYPE_ACCELEROMETER	-0.3438568	1.9412689	9.190414
1560513381968	TYPE_MAGNETIC_FIELD	-26.644897	-12.04071	-37.63733
1560513381968	TYPE_GYROSCOPE	-0.19013977	0.017929077	-0.07801819
1560513381968	TYPE_ROTATION_VECTOR	0.071921594	-0.06868681	-0.7754286
1560513381968	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-111.55243	-89.653015	-374.7467
1560513381968	TYPE_GYROSCOPE_UNCALIBRATED	-0.19084167	-0.017959595	-0.08227539
1560513381968	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3199005	2.0466156	9.096436
1560513381988	TYPE_ACCELEROMETER	-0.49108887	1.8095856	9.2742
1560513381988	TYPE_MAGNETIC_FIELD	-25.276184	-12.72583	-36.972046
1560513381988	TYPE_GYROSCOPE	-0.18748474	0.0871582	-0.08013916
1560513381988	TYPE_ROTATION_VECTOR	0.07305031	-0.06716495	-0.77410066
1560513381988	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-90.338135	-374.08142
1560513381988	TYPE_GYROSCOPE_UNCALIBRATED	-0.1849823	0.05607605	-0.07748413
1560513381988	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42585754	1.8652496	9.243088
1560513382008	TYPE_ACCELEROMETER	-0.6084137	1.6611481	9.487289
1560513382008	TYPE_MAGNETIC_FIELD	-25.276184	-13.409424	-36.306763
1560513382008	TYPE_GYROSCOPE	-0.21090698	0.12231445	-0.09880066
1560513382008	TYPE_ROTATION_VECTOR	0.07406149	-0.06380621	-0.77436143
1560513382008	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.183716	-91.02173	-373.41614
1560513382008	TYPE_GYROSCOPE_UNCALIBRATED	-0.19670105	0.108810425	-0.08441162
1560513382008	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5395813	1.7263947	9.336456
1560513382028	TYPE_ACCELEROMETER	-0.8466339	1.6473846	9.868561
1560513382028	TYPE_MAGNETIC_FIELD	-25.961304	-11.357117	-36.972046
1560513382028	TYPE_GYROSCOPE	-0.21411133	0.1335144	-0.12808228
1560513382028	TYPE_ROTATION_VECTOR	0.07444522	-0.059331127	-0.776023
1560513382028	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-88.96942	-374.08142
1560513382028	TYPE_GYROSCOPE_UNCALIBRATED	-0.21853638	0.13224792	-0.113708496
1560513382028	TYPE_ACCELEROMETER_UNCALIBRATED	-0.716156	1.6491699	9.6884
1560513382047	TYPE_ACCELEROMETER	-1.0639038	1.6407928	9.860779
1560513382047	TYPE_MAGNETIC_FIELD	-24.59259	-11.357117	-36.972046
1560513382047	TYPE_GYROSCOPE	-0.16937256	0.12712097	-0.1376648
1560513382047	TYPE_ROTATION_VECTOR	0.075625755	-0.05448489	-0.7772063
1560513382047	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-109.50012	-88.96942	-374.08142
1560513382047	TYPE_GYROSCOPE_UNCALIBRATED	-0.1934967	0.12745667	-0.13500977
1560513382047	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9771118	1.6365967	9.927216
1560513382067	TYPE_ACCELEROMETER	-1.0124359	1.6342163	9.612381
1560513382067	TYPE_MAGNETIC_FIELD	-24.59259	-11.357117	-36.972046
1560513382067	TYPE_GYROSCOPE	-0.1219635	0.14575195	-0.1222229
1560513382067	TYPE_ROTATION_VECTOR	0.07782576	-0.049941547	-0.77793217
1560513382067	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-88.96942	-374.08142
1560513382067	TYPE_GYROSCOPE_UNCALIBRATED	-0.14289856	0.13650513	-0.13180542
1560513382067	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0657043	1.6396027	9.763229
1560513382087	TYPE_ACCELEROMETER	-0.8071289	1.7102356	9.223923
1560513382087	TYPE_MAGNETIC_FIELD	-25.961304	-11.357117	-36.972046
1560513382087	TYPE_GYROSCOPE	-0.11982727	0.12605286	-0.09931946
1560513382087	TYPE_ROTATION_VECTOR	0.079802826	-0.046534754	-0.7781587
1560513382087	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-110.868835	-88.96942	-374.08142
1560513382087	TYPE_GYROSCOPE_UNCALIBRATED	-0.11199951	0.14501953	-0.10890198
1560513382087	TYPE_ACCELEROMETER_UNCALIBRATED	-0.91786194	1.6593475	9.426239
1560513382107	TYPE_ACCELEROMETER	-0.51802063	1.7688904	8.849823
1560513382107	TYPE_MAGNETIC_FIELD	-23.90747	-11.357117	-37.63733
1560513382107	TYPE_GYROSCOPE	-0.18374634	0.07171631	-0.076416016
1560513382107	TYPE_ROTATION_VECTOR	0.08075327	-0.04462809	-0.7777835
1560513382107	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-88.96942	-374.7467
1560513382107	TYPE_GYROSCOPE_UNCALIBRATED	-0.14183044	0.099227905	-0.08653259
1560513382107	TYPE_ACCELEROMETER_UNCALIBRATED	-0.66885376	1.7581177	8.989883
1560513382127	TYPE_ACCELEROMETER	-0.33607483	1.779068	9.021011
1560513382127	TYPE_MAGNETIC_FIELD	-23.90747	-11.357117	-38.302612
1560513382127	TYPE_GYROSCOPE	-0.28016663	0.020584106	-0.06790161
1560513382127	TYPE_ROTATION_VECTOR	0.0801095	-0.043619007	-0.7770079
1560513382127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-88.96942	-375.412
1560513382127	TYPE_GYROSCOPE_UNCALIBRATED	-0.23345947	0.045959473	-0.07002258
1560513382127	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39952087	1.763504	8.87796
1560513382146	TYPE_ACCELEROMETER	-0.17027283	1.7946167	9.368179
1560513382146	TYPE_MAGNETIC_FIELD	-23.90747	-12.72583	-36.972046
1560513382146	TYPE_GYROSCOPE	-0.32862854	-0.025222778	-0.05458069
1560513382146	TYPE_ROTATION_VECTOR	0.078014344	-0.04280728	-0.77669466
1560513382146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-108.815	-90.338135	-374.08142
1560513382146	TYPE_GYROSCOPE_UNCALIBRATED	-0.31121826	-0.0025177002	-0.059906006
