#	startTime:1560513838417
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a6c664f23001b526c78	FloorName:F3
1560513838418	TYPE_WAYPOINT	168.45207	72.536415
1560513838533	TYPE_ACCELEROMETER	-0.7065735	0.81359863	9.758423
1560513838533	TYPE_MAGNETIC_FIELD	30.84259	-18.200684	-18.33496
1560513838533	TYPE_GYROSCOPE	-0.06976318	0.10366821	-0.05618286
1560513838533	TYPE_ROTATION_VECTOR	-0.012469461	0.07051773	0.85732794
1560513838533	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.06494	-95.81299	-355.44434
1560513838533	TYPE_GYROSCOPE_UNCALIBRATED	0.0776062	0.12425232	-0.07801819
1560513838533	TYPE_ACCELEROMETER_UNCALIBRATED	-0.72094727	0.95365906	9.333466
1560513838553	TYPE_ACCELEROMETER	-0.7921753	0.70466614	10.288742
1560513838553	TYPE_MAGNETIC_FIELD	32.211304	-18.200684	-19.665527
1560513838553	TYPE_GYROSCOPE	-0.0750885	0.07171631	-0.060440063
1560513838553	TYPE_ROTATION_VECTOR	-0.014040222	0.06568465	0.8582147
1560513838553	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.696228	-95.81299	-356.7749
1560513838553	TYPE_GYROSCOPE_UNCALIBRATED	-0.068862915	0.104003906	-0.055114746
1560513838553	TYPE_ACCELEROMETER_UNCALIBRATED	-0.75027466	0.7202301	10.118759
1560513838573	TYPE_ACCELEROMETER	-0.7885742	0.7722931	10.2157135
1560513838573	TYPE_MAGNETIC_FIELD	32.211304	-19.569397	-19.000244
1560513838573	TYPE_GYROSCOPE	0.010131836	0.072784424	-0.05671692
1560513838573	TYPE_ROTATION_VECTOR	-0.014040222	0.06568465	0.8582147
1560513838573	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.696228	-97.1817	-356.10962
1560513838573	TYPE_GYROSCOPE_UNCALIBRATED	-0.07418823	0.072052	-0.05937195
1560513838573	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7999573	0.72740173	10.301315
1560513838593	TYPE_ACCELEROMETER	-0.6958008	0.9189453	9.823669
