#	startTime:1560757052370
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560757052370	TYPE_WAYPOINT	174.98949	145.32309
1560757052481	TYPE_ACCELEROMETER	0.19625854	-0.1331482	9.540817
1560757052481	TYPE_MAGNETIC_FIELD	-25.64392	7.8155518	-47.24579
1560757052481	TYPE_GYROSCOPE	-0.085617065	-0.09378052	0.007217407
1560757052481	TYPE_ROTATION_VECTOR	0.0038323118	0.011121157	-0.58327144
1560757052481	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.825745	-94.1391	-376.01318
1560757052481	TYPE_GYROSCOPE_UNCALIBRATED	-0.0023040771	-0.077041626	0.07598877
1560757052481	TYPE_ACCELEROMETER_UNCALIBRATED	0.18667603	-0.19718933	9.552795
1560757052501	TYPE_ACCELEROMETER	0.03883362	-0.06011963	9.86763
1560757052501	TYPE_MAGNETIC_FIELD	-23.506165	7.107544	-45.16449
1560757052501	TYPE_GYROSCOPE	-0.13249207	-0.09164429	-0.040725708
1560757052501	TYPE_ROTATION_VECTOR	-8.983022E-4	0.007165476	-0.5822687
1560757052501	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-94.84711	-373.9319
1560757052501	TYPE_GYROSCOPE_UNCALIBRATED	-0.08805847	-0.09408569	0.008346558
1560757052501	TYPE_ACCELEROMETER_UNCALIBRATED	0.19625854	-0.1331482	9.540817
1560757052521	TYPE_ACCELEROMETER	-0.09164429	-0.08705139	10.110046
1560757052521	TYPE_MAGNETIC_FIELD	-22.79358	8.52356	-44.470215
1560757052521	TYPE_GYROSCOPE	-0.10586548	-0.08578491	-0.049240112
1560757052521	TYPE_ROTATION_VECTOR	-0.0027502847	0.0057752896	-0.5815266
1560757052521	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-93.43109	-373.2376
1560757052521	TYPE_GYROSCOPE_UNCALIBRATED	-0.13493347	-0.09194946	-0.039596558
1560757052521	TYPE_ACCELEROMETER_UNCALIBRATED	0.03883362	-0.06011963	9.86763
1560757052541	TYPE_ACCELEROMETER	-0.21134949	-0.1726532	10.031036
1560757052541	TYPE_MAGNETIC_FIELD	-23.506165	6.399536	-45.85724
1560757052541	TYPE_GYROSCOPE	-0.05206299	-0.08792114	-0.04019165
1560757052541	TYPE_ROTATION_VECTOR	-0.003564939	0.005774948	-0.58150476
1560757052541	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-95.555115	-374.62463
1560757052541	TYPE_GYROSCOPE_UNCALIBRATED	-0.108306885	-0.08609009	-0.048110962
1560757052541	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09164429	-0.08705139	10.110046
1560757052561	TYPE_ACCELEROMETER	-0.22033691	-0.23728943	9.90834
1560757052561	TYPE_MAGNETIC_FIELD	-22.79358	6.399536	-46.551514
1560757052561	TYPE_GYROSCOPE	-0.024368286	-0.06767273	-0.027404785
1560757052561	TYPE_ROTATION_VECTOR	-0.0039666113	0.006558299	-0.58342123
1560757052561	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-95.555115	-375.3189
1560757052561	TYPE_GYROSCOPE_UNCALIBRATED	-0.054504395	-0.08822632	-0.0390625
1560757052561	TYPE_ACCELEROMETER_UNCALIBRATED	-0.21134949	-0.1726532	10.031036
1560757052581	TYPE_ACCELEROMETER	-0.17784119	-0.25164795	9.855057
1560757052581	TYPE_MAGNETIC_FIELD	-22.79358	5.6915283	-43.08319
1560757052581	TYPE_GYROSCOPE	-0.011047363	-0.014953613	-0.029541016
1560757052581	TYPE_ROTATION_VECTOR	-0.0043804958	0.007394347	-0.5855014
1560757052581	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-96.26312	-371.8506
1560757052581	TYPE_GYROSCOPE_UNCALIBRATED	-0.026809692	-0.067977905	-0.026275635
1560757052581	TYPE_ACCELEROMETER_UNCALIBRATED	-0.22033691	-0.23728943	9.90834
1560757052601	TYPE_ACCELEROMETER	-0.17424011	-0.26182556	9.872421
1560757052601	TYPE_MAGNETIC_FIELD	-22.79358	7.107544	-44.470215
1560757052601	TYPE_GYROSCOPE	-0.025436401	-0.012817383	-0.048706055
1560757052601	TYPE_ROTATION_VECTOR	-0.004598684	0.008172083	-0.5874524
1560757052601	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.9754	-94.84711	-373.2376
1560757052601	TYPE_GYROSCOPE_UNCALIBRATED	-0.0134887695	-0.015258789	-0.028411865
1560757052601	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17784119	-0.25164795	9.855057
1560757052621	TYPE_ACCELEROMETER	-0.29634094	-0.1953888	9.794006
1560757052621	TYPE_MAGNETIC_FIELD	-24.21875	7.8155518	-43.77594
1560757052621	TYPE_GYROSCOPE	-0.050994873	-0.053833008	-0.06681824
1560757052621	TYPE_ROTATION_VECTOR	-0.004937922	0.008893925	-0.5889922
1560757052621	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.40057	-94.1391	-372.54333
1560757052621	TYPE_GYROSCOPE_UNCALIBRATED	-0.027877808	-0.013122559	-0.047576904
1560757052621	TYPE_ACCELEROMETER_UNCALIBRATED	-0.17424011	-0.26182556	9.872421
1560757052641	TYPE_ACCELEROMETER	-0.3693695	-0.15109253	9.630005
1560757052641	TYPE_MAGNETIC_FIELD	-23.506165	7.107544	-44.470215
1560757052641	TYPE_GYROSCOPE	-0.06964111	-0.060760498	-0.05937195
1560757052641	TYPE_ROTATION_VECTOR	-0.0050788126	0.009602278	-0.5902258
1560757052641	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-94.84711	-373.2376
1560757052641	TYPE_GYROSCOPE_UNCALIBRATED	-0.05343628	-0.054138184	-0.06568909
1560757052641	TYPE_ACCELEROMETER_UNCALIBRATED	-0.29634094	-0.1953888	9.794006
1560757052662	TYPE_ACCELEROMETER	-0.40408325	-0.10081482	9.495926
1560757052662	TYPE_MAGNETIC_FIELD	-24.21875	6.399536	-45.85724
1560757052662	TYPE_GYROSCOPE	-0.08135986	-0.028259277	-0.044448853
1560757052662	TYPE_ROTATION_VECTOR	-0.005104782	0.010385443	-0.5912647
1560757052662	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-68.40057	-95.555115	-374.62463
1560757052662	TYPE_GYROSCOPE_UNCALIBRATED	-0.07208252	-0.061065674	-0.058242798
1560757052662	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3693695	-0.15109253	9.630005
1560757052682	TYPE_ACCELEROMETER	-0.42263794	-0.118774414	9.33432
1560757052682	TYPE_MAGNETIC_FIELD	-25.64392	9.231567	-45.85724
1560757052682	TYPE_GYROSCOPE	-0.106399536	0.012756348	-0.029541016
1560757052682	TYPE_ROTATION_VECTOR	-0.004870892	0.011358383	-0.5921042
1560757052682	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-69.825745	-92.72308	-374.62463
1560757052682	TYPE_GYROSCOPE_UNCALIBRATED	-0.08380127	-0.028564453	-0.043319702
1560757052682	TYPE_ACCELEROMETER_UNCALIBRATED	-0.40408325	-0.10081482	9.495926
1560757052702	TYPE_ACCELEROMETER	-0.3986969	-0.09902954	9.398956
1560757052702	TYPE_MAGNETIC_FIELD	-23.506165	7.107544	-44.470215
1560757052702	TYPE_GYROSCOPE	-0.1431427	0.047912598	-0.016220093
1560757052702	TYPE_ROTATION_VECTOR	-0.0047101285	0.01276733	-0.5922785
1560757052702	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-94.84711	-373.2376
1560757052702	TYPE_GYROSCOPE_UNCALIBRATED	-0.10884094	0.012451172	-0.028411865
1560757052702	TYPE_ACCELEROMETER_UNCALIBRATED	-0.42263794	-0.118774414	9.33432
1560757052722	TYPE_ACCELEROMETER	-0.40647888	-0.092437744	9.61026
1560757052722	TYPE_MAGNETIC_FIELD	-23.506165	9.939575	-45.16449
1560757052722	TYPE_GYROSCOPE	-0.17350769	0.04737854	-0.002380371
1560757052722	TYPE_ROTATION_VECTOR	-0.0046930183	0.014405	-0.59243006
1560757052722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-67.68799	-92.015076	-373.9319
1560757052722	TYPE_GYROSCOPE_UNCALIBRATED	-0.1455841	0.047607422	-0.015090942
