#	startTime:1560757256779
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560757256779	TYPE_WAYPOINT	174.26384	129.37581
1560757256895	TYPE_ACCELEROMETER	-0.4052887	-0.39291382	9.9370575
1560757256895	TYPE_MAGNETIC_FIELD	10.694885	31.173706	-11.8637085
1560757256895	TYPE_GYROSCOPE	0.03529358	0.002105713	0.099365234
1560757256895	TYPE_ROTATION_VECTOR	-0.019505914	0.019897094	0.17891404
1560757256895	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.48694	-70.780945	-340.6311
1560757256895	TYPE_GYROSCOPE_UNCALIBRATED	0.024337769	-0.077041626	0.08291626
1560757256895	TYPE_ACCELEROMETER_UNCALIBRATED	-0.43162537	-0.23669434	9.4743805
1560757256915	TYPE_ACCELEROMETER	-0.39031982	-0.47790527	10.185455
1560757256915	TYPE_MAGNETIC_FIELD	11.407471	30.465698	-11.8637085
1560757256915	TYPE_GYROSCOPE	0.057662964	0.015960693	0.080200195
1560757256915	TYPE_ROTATION_VECTOR	-0.020107161	0.019206135	0.17978099
1560757256915	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-71.48895	-340.6311
1560757256915	TYPE_GYROSCOPE_UNCALIBRATED	0.032852173	0.0018005371	0.100494385
1560757256915	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4052887	-0.39291382	9.9370575
1560757256935	TYPE_ACCELEROMETER	-0.44958496	-0.5305786	10.223175
1560757256935	TYPE_MAGNETIC_FIELD	9.9823	28.341675	-13.945007
1560757256935	TYPE_GYROSCOPE	0.071517944	-0.0048217773	0.04876709
1560757256935	TYPE_ROTATION_VECTOR	-0.02095107	0.018383346	0.18064323
1560757256935	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-71.48895	-340.6311
1560757256935	TYPE_GYROSCOPE_UNCALIBRATED	0.055221558	0.015655518	0.081329346
1560757256935	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39031982	-0.47790527	10.185455
1560757256955	TYPE_ACCELEROMETER	-0.56869507	-0.4874878	10.214188
1560757256955	TYPE_MAGNETIC_FIELD	11.407471	31.173706	-11.8637085
1560757256955	TYPE_GYROSCOPE	0.09121704	-0.024002075	0.022659302
1560757256955	TYPE_ROTATION_VECTOR	-0.021769522	0.018124806	0.18079251
1560757256955	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.774353	-70.780945	-340.6311
1560757256955	TYPE_GYROSCOPE_UNCALIBRATED	0.06907654	-0.005126953	0.04989624
1560757256955	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44958496	-0.5305786	10.223175
1560757256975	TYPE_ACCELEROMETER	-0.6070099	-0.42822266	10.129196
1560757256975	TYPE_MAGNETIC_FIELD	12.120056	30.465698	-11.8637085
1560757256975	TYPE_GYROSCOPE	0.12956238	-0.04850769	0.021606445
1560757256975	TYPE_ROTATION_VECTOR	-0.021777956	0.01875301	0.18054199
1560757256975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-71.48895	-340.6311
1560757256975	TYPE_GYROSCOPE_UNCALIBRATED	0.088775635	-0.024307251	0.023788452
1560757256975	TYPE_ACCELEROMETER_UNCALIBRATED	-0.56869507	-0.4874878	10.214188
1560757256995	TYPE_ACCELEROMETER	-0.45915222	-0.47911072	9.76947
1560757256995	TYPE_MAGNETIC_FIELD	12.120056	31.173706	-11.8637085
1560757256995	TYPE_GYROSCOPE	0.1471405	-0.08152771	0.01626587
1560757256995	TYPE_ROTATION_VECTOR	-0.020992236	0.019296313	0.18051419
1560757256995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-71.48895	-340.6311
1560757256995	TYPE_GYROSCOPE_UNCALIBRATED	0.12712097	-0.048812866	0.022735596
1560757256995	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6070099	-0.42822266	10.129196
1560757257015	TYPE_ACCELEROMETER	-0.36338806	-0.46774292	9.437271
1560757257015	TYPE_MAGNETIC_FIELD	12.120056	31.173706	-11.8637085
1560757257015	TYPE_GYROSCOPE	0.13009644	-0.09057617	-0.01889038
1560757257015	TYPE_ROTATION_VECTOR	-0.020409362	0.01867195	0.18053207
1560757257015	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-70.780945	-340.6311
1560757257015	TYPE_GYROSCOPE_UNCALIBRATED	0.1446991	-0.081832886	0.01739502
1560757257015	TYPE_ACCELEROMETER_UNCALIBRATED	-0.45915222	-0.47911072	9.76947
1560757257035	TYPE_ACCELEROMETER	-0.4777069	-0.270813	9.270874
1560757257035	TYPE_MAGNETIC_FIELD	9.269714	27.633667	-11.8637085
1560757257035	TYPE_GYROSCOPE	0.108795166	-0.075668335	-0.05456543
1560757257035	TYPE_ROTATION_VECTOR	-0.01994175	0.017662024	0.18031755
1560757257035	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.91211	-74.320984	-340.6311
1560757257035	TYPE_GYROSCOPE_UNCALIBRATED	0.12765503	-0.09088135	-0.01776123
1560757257035	TYPE_ACCELEROMETER_UNCALIBRATED	-0.36338806	-0.46774292	9.437271
1560757257055	TYPE_ACCELEROMETER	-0.54055786	0.012908936	9.208633
1560757257055	TYPE_MAGNETIC_FIELD	9.9823	27.633667	-12.557983
1560757257055	TYPE_GYROSCOPE	0.10986328	-0.021331787	-0.032730103
1560757257055	TYPE_ROTATION_VECTOR	-0.018803094	0.017807858	0.17923488
1560757257055	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-74.320984	-341.32538
1560757257055	TYPE_GYROSCOPE_UNCALIBRATED	0.10635376	-0.07597351	-0.05343628
1560757257055	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4777069	-0.270813	9.270874
1560757257075	TYPE_ACCELEROMETER	-0.38134766	0.09310913	9.162537
1560757257075	TYPE_MAGNETIC_FIELD	9.9823	27.633667	-12.557983
1560757257075	TYPE_GYROSCOPE	0.09335327	0.039398193	0.028533936
1560757257075	TYPE_ROTATION_VECTOR	-0.016704826	0.018969694	0.17864072
1560757257075	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-74.320984	-341.32538
1560757257075	TYPE_GYROSCOPE_UNCALIBRATED	0.107421875	-0.021636963	-0.031600952
1560757257075	TYPE_ACCELEROMETER_UNCALIBRATED	-0.54055786	0.012908936	9.208633
1560757257096	TYPE_ACCELEROMETER	-0.11859131	0.05659485	9.314575
1560757257096	TYPE_MAGNETIC_FIELD	12.120056	29.75769	-11.169434
1560757257096	TYPE_GYROSCOPE	0.035827637	0.06867981	0.06846619
1560757257096	TYPE_ROTATION_VECTOR	-0.014852397	0.019821418	0.17860162
1560757257096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-72.19696	-339.93683
1560757257096	TYPE_GYROSCOPE_UNCALIBRATED	0.090911865	0.039093018	0.029663086
1560757257096	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11859131	0.05659485	9.314575
1560757257116	TYPE_ACCELEROMETER	0.10707092	0.03265381	9.5121
1560757257116	TYPE_MAGNETIC_FIELD	12.120056	30.465698	-11.8637085
1560757257116	TYPE_GYROSCOPE	-0.03555298	0.06600952	0.07006836
1560757257116	TYPE_ROTATION_VECTOR	-0.013813836	0.019586606	0.1797174
1560757257116	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-71.48895	-340.6311
1560757257116	TYPE_GYROSCOPE_UNCALIBRATED	0.03338623	0.068374634	0.06959534
1560757257116	TYPE_ACCELEROMETER_UNCALIBRATED	-0.11859131	0.05659485	9.314575
1560757257136	TYPE_ACCELEROMETER	0.17051697	0.1302185	9.735352
1560757257136	TYPE_MAGNETIC_FIELD	12.831116	29.049683	-11.8637085
1560757257136	TYPE_GYROSCOPE	-0.08935547	0.029266357	0.056228638
1560757257136	TYPE_ROTATION_VECTOR	-0.013427372	0.018316237	0.18089655
1560757257136	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-31.350708	-72.90497	-340.6311
1560757257136	TYPE_GYROSCOPE_UNCALIBRATED	-0.037994385	0.065704346	0.07119751
1560757257136	TYPE_ACCELEROMETER_UNCALIBRATED	0.10707092	0.03265381	9.5121
1560757257156	TYPE_ACCELEROMETER	0.26210022	0.23796082	9.770065
1560757257156	TYPE_MAGNETIC_FIELD	12.120056	31.173706	-12.557983
1560757257156	TYPE_GYROSCOPE	-0.10852051	-3.0517578E-5	0.07434082
1560757257156	TYPE_ROTATION_VECTOR	-0.01303401	0.016601626	0.1823062
1560757257156	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-70.780945	-341.32538
1560757257156	TYPE_GYROSCOPE_UNCALIBRATED	-0.091796875	0.028961182	0.057357788
1560757257156	TYPE_ACCELEROMETER_UNCALIBRATED	0.17051697	0.1302185	9.735352
1560757257176	TYPE_ACCELEROMETER	0.51768494	0.20204163	9.78981
1560757257176	TYPE_MAGNETIC_FIELD	9.9823	27.633667	-12.557983
1560757257176	TYPE_GYROSCOPE	-0.11491394	0.01222229	0.10043335
1560757257176	TYPE_ROTATION_VECTOR	-0.012430915	0.01480612	0.18364123
1560757257176	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-74.320984	-341.32538
1560757257176	TYPE_GYROSCOPE_UNCALIBRATED	-0.110961914	-3.3569336E-4	0.07546997
1560757257176	TYPE_ACCELEROMETER_UNCALIBRATED	0.26210022	0.23796082	9.770065
1560757257196	TYPE_ACCELEROMETER	0.68408203	0.24214172	9.934067
1560757257196	TYPE_MAGNETIC_FIELD	12.120056	31.173706	-11.8637085
1560757257196	TYPE_GYROSCOPE	-0.12237549	0.0143585205	0.07699585
1560757257196	TYPE_ROTATION_VECTOR	-0.012027246	0.012588862	0.18502265
1560757257196	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.199524	-74.320984	-341.32538
1560757257196	TYPE_GYROSCOPE_UNCALIBRATED	-0.11735535	0.011917114	0.1015625
1560757257196	TYPE_ACCELEROMETER_UNCALIBRATED	0.51768494	0.20204163	9.78981
1560757257216	TYPE_ACCELEROMETER	0.5380249	0.34451294	10.099869
1560757257216	TYPE_MAGNETIC_FIELD	12.120056	30.465698	-11.169434
1560757257216	TYPE_GYROSCOPE	-0.13621521	-0.012817383	0.044509888
1560757257216	TYPE_ROTATION_VECTOR	-0.011563558	0.00998988	0.18623176
1560757257216	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-71.48895	-339.93683
1560757257216	TYPE_GYROSCOPE_UNCALIBRATED	-0.124816895	0.014053345	0.078125
1560757257216	TYPE_ACCELEROMETER_UNCALIBRATED	0.68408203	0.24214172	9.934067
1560757257236	TYPE_ACCELEROMETER	0.33631897	0.43548584	10.395554
1560757257236	TYPE_MAGNETIC_FIELD	11.407471	29.75769	-12.557983
1560757257236	TYPE_GYROSCOPE	-0.14260864	-0.05064392	0.045578003
1560757257236	TYPE_ROTATION_VECTOR	-0.011140408	0.00775442	0.18710925
1560757257236	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-32.061768	-71.48895	-339.93683
1560757257236	TYPE_GYROSCOPE_UNCALIBRATED	-0.13865662	-0.013122559	0.045639038
