#	startTime:1560757548637
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560757548637	TYPE_WAYPOINT	203.67828	131.3554
1560757548754	TYPE_ACCELEROMETER	-0.9721222	-0.09542847	10.087891
1560757548754	TYPE_MAGNETIC_FIELD	5.706787	-28.990173	-32.676697
1560757548754	TYPE_GYROSCOPE	-0.15753174	-0.19284058	-0.13978577
1560757548754	TYPE_ROTATION_VECTOR	-0.051850494	-0.0011239602	0.99828595
1560757548754	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-38.475037	-130.94482	-361.4441
1560757548754	TYPE_GYROSCOPE_UNCALIBRATED	-0.094451904	-0.1063385	-0.08912659
1560757548754	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9721222	-0.09542847	10.087891
1560757548774	TYPE_ACCELEROMETER	-1.204956	-0.018218994	10.1896515
1560757548774	TYPE_MAGNETIC_FIELD	4.281616	-26.867676	-35.450745
1560757548774	TYPE_GYROSCOPE	-0.18096924	-0.27061462	-0.16163635
1560757548774	TYPE_ROTATION_VECTOR	-0.04949853	-0.002918729	0.99834085
1560757548774	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.900208	-128.82233	-364.21814
1560757548774	TYPE_GYROSCOPE_UNCALIBRATED	-0.15997314	-0.19314575	-0.13865662
1560757548774	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9721222	-0.09542847	10.087891
1560757548794	TYPE_ACCELEROMETER	-1.370758	0.06437683	10.010086
1560757548794	TYPE_MAGNETIC_FIELD	4.9942017	-27.575684	-34.757996
1560757548794	TYPE_GYROSCOPE	-0.19268799	-0.32228088	-0.12806702
1560757548794	TYPE_ROTATION_VECTOR	-0.04925272	-0.0038807248	0.99840224
1560757548794	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-39.187622	-129.53033	-363.5254
1560757548794	TYPE_GYROSCOPE_UNCALIBRATED	-0.18341064	-0.2709198	-0.1605072
1560757548794	TYPE_ACCELEROMETER_UNCALIBRATED	-1.204956	-0.018218994	10.1896515
1560757548814	TYPE_ACCELEROMETER	-1.275589	0.017089844	10.081314
1560757548814	TYPE_MAGNETIC_FIELD	3.5690308	-26.867676	-35.450745
1560757548814	TYPE_GYROSCOPE	-0.16444397	-0.28126526	-0.05882263
1560757548814	TYPE_ROTATION_VECTOR	-0.04917385	-0.0050459947	0.998555
1560757548814	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-40.612793	-128.82233	-364.21814
1560757548814	TYPE_GYROSCOPE_UNCALIBRATED	-0.1951294	-0.32258606	-0.12693787
1560757548814	TYPE_ACCELEROMETER_UNCALIBRATED	-1.370758	0.06437683	10.010086
1560757548834	TYPE_ACCELEROMETER	-1.1133728	-0.1265564	10.2734375
