#	startTime:1560758970339
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560758970340	TYPE_WAYPOINT	143.3576	92.877365
1560758970462	TYPE_ACCELEROMETER	0.30818176	-0.3540039	10.852844
1560758970462	TYPE_MAGNETIC_FIELD	34.516907	22.080994	-26.499939
1560758970462	TYPE_GYROSCOPE	-0.19747925	0.039398193	0.6820679
1560758970462	TYPE_ROTATION_VECTOR	-0.028821824	-0.0071439785	0.489752
1560758970462	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.836914	-77.15149	-355.2002
1560758970462	TYPE_GYROSCOPE_UNCALIBRATED	-0.19992065	0.039093018	0.683197
1560758970462	TYPE_ACCELEROMETER_UNCALIBRATED	0.30818176	-0.3540039	10.852844
1560758970482	TYPE_ACCELEROMETER	0.154953	-0.38093567	10.75528
1560758970482	TYPE_MAGNETIC_FIELD	35.229492	21.372986	-25.805664
1560758970482	TYPE_GYROSCOPE	0.015594482	0.04525757	0.61868286
1560758970482	TYPE_ROTATION_VECTOR	-0.024228025	-0.010324435	0.49549535
1560758970482	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-7.1243286	-77.8595	-354.50592
1560758970482	TYPE_GYROSCOPE_UNCALIBRATED	0.013153076	0.044952393	0.619812
1560758970482	TYPE_ACCELEROMETER_UNCALIBRATED	0.154953	-0.38093567	10.75528
1560758970502	TYPE_ACCELEROMETER	-0.181427	-0.35101318	10.051987
1560758970502	TYPE_MAGNETIC_FIELD	35.942078	21.372986	-25.805664
1560758970502	TYPE_GYROSCOPE	0.18548584	-0.06288147	0.56648254
1560758970502	TYPE_ROTATION_VECTOR	-0.02090578	-0.01069853	0.50058776
1560758970502	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.411743	-77.8595	-354.50592
1560758970502	TYPE_GYROSCOPE_UNCALIBRATED	0.18304443	-0.063186646	0.5676117
1560758970502	TYPE_ACCELEROMETER_UNCALIBRATED	-0.181427	-0.35101318	10.051987
1560758970522	TYPE_ACCELEROMETER	-0.3256836	-0.3282776	9.736542
1560758970522	TYPE_MAGNETIC_FIELD	36.653137	19.248962	-23.724365
1560758970522	TYPE_GYROSCOPE	0.15460205	-0.17367554	0.5963135
1560758970522	TYPE_ROTATION_VECTOR	-0.018813673	-0.009149467	0.50501263
1560758970522	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.7006836	-79.98352	-352.42462
1560758970522	TYPE_GYROSCOPE_UNCALIBRATED	0.15216064	-0.17398071	0.5974426
1560758970522	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3256836	-0.3282776	9.736542
1560758970542	TYPE_ACCELEROMETER	-0.14970398	-0.31748962	10.074738
1560758970542	TYPE_MAGNETIC_FIELD	36.653137	19.248962	-25.805664
1560758970542	TYPE_GYROSCOPE	0.027297974	-0.21308899	0.652771
1560758970542	TYPE_ROTATION_VECTOR	-0.017853258	-0.00818951	0.5100874
1560758970542	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.7006836	-79.98352	-354.50592
1560758970542	TYPE_GYROSCOPE_UNCALIBRATED	0.15216064	-0.17398071	0.5974426
1560758970542	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3256836	-0.3282776	9.736542
1560758970562	TYPE_ACCELEROMETER	0.18548584	-0.3210907	10.633179
1560758970562	TYPE_MAGNETIC_FIELD	36.653137	19.248962	-27.194214
1560758970562	TYPE_GYROSCOPE	-0.03289795	-0.23545837	0.6490326
1560758970562	TYPE_ROTATION_VECTOR	-0.016963204	-0.009037135	0.51566213
1560758970562	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-5.7006836	-79.98352	-355.89447
1560758970562	TYPE_GYROSCOPE_UNCALIBRATED	0.024856567	-0.21339417	0.65390015
1560758970562	TYPE_ACCELEROMETER_UNCALIBRATED	-0.14970398	-0.31748962	10.074738
1560758970582	TYPE_ACCELEROMETER	0.502121	-0.36956787	11.018646
1560758970582	TYPE_MAGNETIC_FIELD	37.365723	19.95697	-26.499939
1560758970582	TYPE_GYROSCOPE	-0.0046539307	-0.29405212	0.57073975
1560758970582	TYPE_ROTATION_VECTOR	-0.015082367	-0.011759401	0.5211692
1560758970582	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.988098	-79.27551	-355.2002
1560758970582	TYPE_GYROSCOPE_UNCALIBRATED	-0.035339355	-0.23576355	0.65016174
1560758970582	TYPE_ACCELEROMETER_UNCALIBRATED	0.18548584	-0.3210907	10.633179
1560758970602	TYPE_ACCELEROMETER	0.61164856	-0.4114685	11.219162
1560758970602	TYPE_MAGNETIC_FIELD	38.07831	19.95697	-26.499939
1560758970602	TYPE_GYROSCOPE	0.104537964	-0.4106903	0.43492126
1560758970602	TYPE_ROTATION_VECTOR	-0.011804928	-0.015904011	0.52592903
1560758970602	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.2755127	-79.27551	-355.2002
1560758970602	TYPE_GYROSCOPE_UNCALIBRATED	0.10209656	-0.41099548	0.43605042
1560758970602	TYPE_ACCELEROMETER_UNCALIBRATED	0.61164856	-0.4114685	11.219162
1560758970622	TYPE_ACCELEROMETER	0.43806458	-0.4479828	11.362213
1560758970622	TYPE_MAGNETIC_FIELD	40.216064	16.418457	-27.194214
1560758970622	TYPE_GYROSCOPE	0.24301147	-0.49111938	0.3204193
1560758970622	TYPE_ROTATION_VECTOR	-0.007317442	-0.020226032	0.52960974
1560758970622	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.1377563	-82.814026	-355.89447
1560758970622	TYPE_GYROSCOPE_UNCALIBRATED	0.24057007	-0.49142456	0.32154846
1560758970622	TYPE_ACCELEROMETER_UNCALIBRATED	0.43806458	-0.4479828	11.362213
1560758970643	TYPE_ACCELEROMETER	0.3428955	-0.61798096	11.126984
1560758970643	TYPE_MAGNETIC_FIELD	38.07831	18.54248	-27.886963
1560758970643	TYPE_GYROSCOPE	0.38256836	-0.5454407	0.2655487
1560758970643	TYPE_ROTATION_VECTOR	-0.0022685817	-0.023242522	0.53312045
1560758970643	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.2755127	-80.69	-356.58722
1560758970643	TYPE_GYROSCOPE_UNCALIBRATED	0.24057007	-0.49142456	0.32154846
1560758970643	TYPE_ACCELEROMETER_UNCALIBRATED	0.43806458	-0.4479828	11.362213
1560758970663	TYPE_ACCELEROMETER	0.37043762	-0.61198425	10.700211
1560758970663	TYPE_MAGNETIC_FIELD	38.790894	18.54248	-27.886963
1560758970663	TYPE_GYROSCOPE	0.39535522	-0.57740784	0.26715088
1560758970663	TYPE_ROTATION_VECTOR	0.0026879474	-0.02608688	0.5361275
1560758970663	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.5629272	-80.69	-356.58722
1560758970663	TYPE_GYROSCOPE_UNCALIBRATED	0.39291382	-0.577713	0.26828003
1560758970663	TYPE_ACCELEROMETER_UNCALIBRATED	0.37043762	-0.61198425	10.700211
1560758970683	TYPE_ACCELEROMETER	0.79719543	-0.5982208	10.461395
1560758970683	TYPE_MAGNETIC_FIELD	38.07831	17.834473	-27.194214
1560758970683	TYPE_GYROSCOPE	0.30107117	-0.45277405	0.30070496
1560758970683	TYPE_ROTATION_VECTOR	0.0068667224	-0.0287951	0.5393407
1560758970683	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.2755127	-81.39801	-355.89447
1560758970683	TYPE_GYROSCOPE_UNCALIBRATED	0.29862976	-0.45307922	0.3018341
1560758970683	TYPE_ACCELEROMETER_UNCALIBRATED	0.79719543	-0.5982208	10.461395
1560758970703	TYPE_ACCELEROMETER	1.2838135	-0.5060425	10.4344635
1560758970703	TYPE_MAGNETIC_FIELD	38.790894	17.834473	-27.886963
1560758970703	TYPE_GYROSCOPE	0.154068	-0.27487183	0.26927185
1560758970703	TYPE_ROTATION_VECTOR	0.009816678	-0.031684835	0.5428257
1560758970703	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-3.5629272	-81.39801	-356.58722
1560758970703	TYPE_GYROSCOPE_UNCALIBRATED	0.15162659	-0.275177	0.270401
1560758970703	TYPE_ACCELEROMETER_UNCALIBRATED	1.2838135	-0.5060425	10.4344635
1560758970723	TYPE_ACCELEROMETER	1.4586029	-0.5102234	10.652924
1560758970723	TYPE_MAGNETIC_FIELD	37.365723	17.834473	-27.886963
1560758970723	TYPE_GYROSCOPE	0.026763916	-0.110824585	0.18618774
1560758970723	TYPE_ROTATION_VECTOR	0.011576155	-0.03481329	0.54572845
1560758970723	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.988098	-81.39801	-356.58722
1560758970723	TYPE_GYROSCOPE_UNCALIBRATED	0.15162659	-0.275177	0.270401
1560758970723	TYPE_ACCELEROMETER_UNCALIBRATED	1.2838135	-0.5060425	10.4344635
1560758970743	TYPE_ACCELEROMETER	1.3400879	-0.5180054	10.866608
1560758970743	TYPE_MAGNETIC_FIELD	39.50348	17.834473	-27.886963
1560758970743	TYPE_GYROSCOPE	0.03050232	-0.07725525	0.10203552
1560758970743	TYPE_ROTATION_VECTOR	0.012373468	-0.037398424	0.54774654
1560758970743	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-2.8503418	-81.39801	-356.58722
1560758970743	TYPE_GYROSCOPE_UNCALIBRATED	0.02432251	-0.11112976	0.1873169
1560758970743	TYPE_ACCELEROMETER_UNCALIBRATED	1.4586029	-0.5102234	10.652924
1560758970763	TYPE_ACCELEROMETER	1.1461487	-0.6215668	10.997086
1560758970763	TYPE_MAGNETIC_FIELD	37.365723	17.834473	-27.194214
1560758970763	TYPE_GYROSCOPE	0.16311646	-0.16674805	0.023727417
1560758970763	TYPE_ROTATION_VECTOR	0.013697428	-0.03935748	0.54904985
1560758970763	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-4.988098	-81.39801	-355.89447
1560758970763	TYPE_GYROSCOPE_UNCALIBRATED	0.16067505	-0.16705322	0.024856567
1560758970763	TYPE_ACCELEROMETER_UNCALIBRATED	1.1461487	-0.6215668	10.997086
1560758970783	TYPE_ACCELEROMETER	1.0084839	-0.6556854	10.7391205
1560758970783	TYPE_MAGNETIC_FIELD	35.942078	19.248962	-28.581238
1560758970783	TYPE_GYROSCOPE	0.3500824	-0.33558655	-0.027938843
1560758970783	TYPE_ROTATION_VECTOR	0.016605802	-0.041035935	0.5497011
1560758970783	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-6.411743	-79.98352	-357.2815
1560758970783	TYPE_GYROSCOPE_UNCALIBRATED	0.16067505	-0.16705322	0.024856567
1560758970783	TYPE_ACCELEROMETER_UNCALIBRATED	1.1461487	-0.6215668	10.997086
1560758970803	TYPE_ACCELEROMETER	1.0384216	-0.6748352	10.253693
1560758970803	TYPE_MAGNETIC_FIELD	38.07831	19.248962	-27.194214
1560758970803	TYPE_GYROSCOPE	0.46139526	-0.43252563	-0.05670166
1560758970803	TYPE_ROTATION_VECTOR	0.021250527	-0.04273458	0.54959446
