#	startTime:1560759042197
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560759042197	TYPE_WAYPOINT	159.39755	88.13713
1560759042311	TYPE_ACCELEROMETER	0.9061432	-0.33724976	9.680878
1560759042311	TYPE_MAGNETIC_FIELD	21.691895	9.339905	-38.987732
1560759042311	TYPE_GYROSCOPE	-0.26086426	-0.3515625	0.23252869
1560759042311	TYPE_ROTATION_VECTOR	0.025857596	-0.026865141	0.55280375
1560759042311	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.661926	-89.89258	-367.688
1560759042311	TYPE_GYROSCOPE_UNCALIBRATED	-0.33146667	-0.4663849	0.24749756
1560759042311	TYPE_ACCELEROMETER_UNCALIBRATED	0.8738098	0.021881104	9.817352
1560759042331	TYPE_ACCELEROMETER	0.69963074	-0.14930725	9.812561
1560759042331	TYPE_MAGNETIC_FIELD	23.117065	10.75592	-38.987732
1560759042331	TYPE_GYROSCOPE	-0.25926208	-0.2418518	0.2836609
1560759042331	TYPE_ROTATION_VECTOR	0.022335814	-0.035392795	0.56078225
1560759042331	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.236755	-88.47656	-367.688
1560759042331	TYPE_GYROSCOPE_UNCALIBRATED	-0.26330566	-0.35186768	0.23365784
1560759042331	TYPE_ACCELEROMETER_UNCALIBRATED	0.9061432	-0.33724976	9.680878
1560759042351	TYPE_ACCELEROMETER	0.6631317	-0.32287598	10.369217
1560759042351	TYPE_MAGNETIC_FIELD	23.828125	10.75592	-39.68048
1560759042351	TYPE_GYROSCOPE	-0.3114624	-0.3856659	0.21813965
1560759042351	TYPE_ROTATION_VECTOR	0.016962204	-0.041514188	0.5651082
1560759042351	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-88.47656	-368.38074
1560759042351	TYPE_GYROSCOPE_UNCALIBRATED	-0.2617035	-0.24215698	0.28479004
1560759042351	TYPE_ACCELEROMETER_UNCALIBRATED	0.69963074	-0.14930725	9.812561
1560759042371	TYPE_ACCELEROMETER	0.7259674	-0.40429688	10.292603
1560759042371	TYPE_MAGNETIC_FIELD	23.828125	9.339905	-39.68048
1560759042371	TYPE_GYROSCOPE	-0.28483582	-0.3675537	0.20002747
1560759042371	TYPE_ROTATION_VECTOR	0.016962204	-0.041514188	0.5651082
1560759042371	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-89.89258	-368.38074
1560759042371	TYPE_GYROSCOPE_UNCALIBRATED	-0.3139038	-0.38597107	0.2192688
1560759042371	TYPE_ACCELEROMETER_UNCALIBRATED	0.6631317	-0.32287598	10.369217
1560759042391	TYPE_ACCELEROMETER	0.66911316	-0.38154602	10.356049
1560759042391	TYPE_MAGNETIC_FIELD	22.40448	11.463928	-38.987732
1560759042391	TYPE_GYROSCOPE	-0.22038269	-0.19390869	0.19044495
1560759042391	TYPE_ROTATION_VECTOR	0.014765614	-0.045290265	0.56751657
1560759042391	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.94934	-87.768555	-367.688
1560759042391	TYPE_GYROSCOPE_UNCALIBRATED	-0.28727722	-0.3678589	0.20115662
1560759042391	TYPE_ACCELEROMETER_UNCALIBRATED	0.7259674	-0.40429688	10.292603
1560759042411	TYPE_ACCELEROMETER	0.6942444	-0.35639954	10.425476
1560759042411	TYPE_MAGNETIC_FIELD	20.97931	11.463928	-40.374756
1560759042411	TYPE_GYROSCOPE	-0.13142395	-0.036254883	0.21813965
1560759042411	TYPE_ROTATION_VECTOR	0.012545302	-0.04673297	0.56843877
1560759042411	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-87.768555	-369.075
1560759042411	TYPE_GYROSCOPE_UNCALIBRATED	-0.2228241	-0.19421387	0.1915741
1560759042411	TYPE_ACCELEROMETER_UNCALIBRATED	0.66911316	-0.38154602	10.356049
1560759042431	TYPE_ACCELEROMETER	0.6786957	-0.3492279	10.536209
1560759042431	TYPE_MAGNETIC_FIELD	21.691895	9.339905	-40.374756
1560759042431	TYPE_GYROSCOPE	-0.045669556	0.07400513	0.2644806
1560759042431	TYPE_ROTATION_VECTOR	0.009289367	-0.045171868	0.571242
1560759042431	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.661926	-89.89258	-369.075
1560759042431	TYPE_GYROSCOPE_UNCALIBRATED	-0.13386536	-0.03656006	0.2192688
1560759042431	TYPE_ACCELEROMETER_UNCALIBRATED	0.6942444	-0.35639954	10.425476
1560759042451	TYPE_ACCELEROMETER	0.620636	-0.33724976	10.360825
1560759042451	TYPE_MAGNETIC_FIELD	20.97931	10.047913	-39.68048
1560759042451	TYPE_GYROSCOPE	0.021438599	0.07827759	0.3129425
1560759042451	TYPE_ROTATION_VECTOR	0.009289367	-0.045171868	0.571242
1560759042451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-89.18457	-368.38074
1560759042451	TYPE_GYROSCOPE_UNCALIBRATED	-0.048110962	0.07369995	0.26560974
1560759042451	TYPE_ACCELEROMETER_UNCALIBRATED	0.6786957	-0.3492279	10.536209
1560759042471	TYPE_ACCELEROMETER	0.49673462	-0.27919006	10.073532
1560759042471	TYPE_MAGNETIC_FIELD	22.40448	8.631897	-39.68048
1560759042471	TYPE_GYROSCOPE	0.05873108	0.044708252	0.3624878
1560759042471	TYPE_ROTATION_VECTOR	0.008381403	-0.04345018	0.57333213
