#	startTime:1560759250437
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560759250438	TYPE_WAYPOINT	106.99589	47.719433
1560759250550	TYPE_ACCELEROMETER	-0.5040436	0.05659485	10.660706
1560759250550	TYPE_MAGNETIC_FIELD	-10.371399	31.990051	-31.355286
1560759250550	TYPE_GYROSCOPE	0.076309204	-0.73399353	0.23625183
1560759250550	TYPE_ROTATION_VECTOR	0.0120161185	0.023113811	-0.18470015
1560759250550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-67.24243	-360.05554
1560759250550	TYPE_GYROSCOPE_UNCALIBRATED	0.0738678	-0.7342987	0.23738098
1560759250550	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5040436	0.05659485	10.660706
1560759250570	TYPE_ACCELEROMETER	-0.3071289	0.017089844	10.424286
1560759250570	TYPE_MAGNETIC_FIELD	-10.371399	33.406067	-30.662537
1560759250570	TYPE_GYROSCOPE	0.1940155	-0.768631	0.21974182
1560759250570	TYPE_ROTATION_VECTOR	0.0120161185	0.023113811	-0.18470015
1560759250570	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-65.826416	-359.3628
1560759250570	TYPE_GYROSCOPE_UNCALIBRATED	0.1915741	-0.76893616	0.22087097
1560759250570	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3071289	0.017089844	10.424286
1560759250590	TYPE_ACCELEROMETER	-0.043762207	0.0284729	9.911911
1560759250590	TYPE_MAGNETIC_FIELD	-11.083984	31.990051	-30.662537
1560759250590	TYPE_GYROSCOPE	0.23822021	-0.73773193	0.18511963
1560759250590	TYPE_ROTATION_VECTOR	0.0107736075	0.014977351	-0.1824973
1560759250590	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-67.24243	-359.3628
1560759250590	TYPE_GYROSCOPE_UNCALIBRATED	0.1915741	-0.76893616	0.22087097
1560759250590	TYPE_ACCELEROMETER_UNCALIBRATED	-0.3071289	0.017089844	10.424286
1560759250610	TYPE_ACCELEROMETER	0.09750366	0.113464355	9.524658
1560759250610	TYPE_MAGNETIC_FIELD	-8.946228	32.69806	-32.04956
1560759250610	TYPE_GYROSCOPE	0.17271423	-0.66955566	0.16647339
1560759250610	TYPE_ROTATION_VECTOR	0.009972298	-0.0012625797	-0.17739624
1560759250610	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.30005	-66.534424	-360.74982
1560759250610	TYPE_GYROSCOPE_UNCALIBRATED	0.23577881	-0.7380371	0.18624878
1560759250610	TYPE_ACCELEROMETER_UNCALIBRATED	0.09750366	0.113464355	9.524658
1560759250630	TYPE_ACCELEROMETER	0.30818176	0.1415863	9.41153
1560759250630	TYPE_MAGNETIC_FIELD	-9.658813	32.69806	-32.04956
1560759250630	TYPE_GYROSCOPE	0.09761047	-0.54597473	0.17074585
1560759250630	TYPE_ROTATION_VECTOR	0.009972298	-0.0012625797	-0.17739624
1560759250630	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.012634	-66.534424	-360.74982
1560759250630	TYPE_GYROSCOPE_UNCALIBRATED	0.17027283	-0.66986084	0.16760254
1560759250630	TYPE_ACCELEROMETER_UNCALIBRATED	0.30818176	0.1415863	9.41153
1560759250650	TYPE_ACCELEROMETER	0.5170746	0.14518738	9.653351
1560759250650	TYPE_MAGNETIC_FIELD	-10.371399	33.406067	-30.662537
1560759250650	TYPE_GYROSCOPE	0.11412048	-0.29405212	0.17605591
1560759250650	TYPE_ROTATION_VECTOR	0.009349865	-0.008057183	-0.17416173
1560759250650	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-65.826416	-359.3628
1560759250650	TYPE_GYROSCOPE_UNCALIBRATED	0.09516907	-0.5462799	0.171875
1560759250650	TYPE_ACCELEROMETER_UNCALIBRATED	0.5170746	0.14518738	9.653351
1560759250670	TYPE_ACCELEROMETER	0.6715088	0.20144653	9.758102
1560759250670	TYPE_MAGNETIC_FIELD	-11.79657	31.990051	-30.662537
1560759250670	TYPE_GYROSCOPE	0.15141296	-0.18379211	0.17500305
1560759250670	TYPE_ROTATION_VECTOR	0.0098305065	-0.01696652	-0.16699173
1560759250670	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.15039	-67.24243	-359.3628
1560759250670	TYPE_GYROSCOPE_UNCALIBRATED	0.14897156	-0.18409729	0.1761322
1560759250670	TYPE_ACCELEROMETER_UNCALIBRATED	0.6715088	0.20144653	9.758102
1560759250690	TYPE_ACCELEROMETER	0.664917	0.19786072	9.445648
1560759250690	TYPE_MAGNETIC_FIELD	-9.658813	32.69806	-32.743835
1560759250690	TYPE_GYROSCOPE	0.1306305	-0.16781616	0.17765808
1560759250690	TYPE_ROTATION_VECTOR	0.0098305065	-0.01696652	-0.16699173
1560759250690	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.012634	-66.534424	-361.4441
1560759250690	TYPE_GYROSCOPE_UNCALIBRATED	0.12818909	-0.16812134	0.17878723
1560759250690	TYPE_ACCELEROMETER_UNCALIBRATED	0.664917	0.19786072	9.445648
1560759250710	TYPE_ACCELEROMETER	0.7828369	0.28764343	9.030853
1560759250710	TYPE_MAGNETIC_FIELD	-12.509155	31.990051	-29.275513
1560759250710	TYPE_GYROSCOPE	0.09068298	-0.15609741	0.19577026
1560759250710	TYPE_ROTATION_VECTOR	0.010314151	-0.020342894	-0.1633049
1560759250710	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.862976	-67.24243	-357.97577
1560759250710	TYPE_GYROSCOPE_UNCALIBRATED	0.12818909	-0.16812134	0.17878723
1560759250710	TYPE_ACCELEROMETER_UNCALIBRATED	0.7828369	0.28764343	9.030853
1560759250731	TYPE_ACCELEROMETER	1.1204224	0.44805908	8.822556
1560759250731	TYPE_MAGNETIC_FIELD	-10.371399	32.69806	-29.968262
1560759250731	TYPE_GYROSCOPE	0.05126953	-0.11721802	0.17765808
1560759250731	TYPE_ROTATION_VECTOR	0.010783015	-0.02379292	-0.1599331
1560759250731	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-66.534424	-358.66852
1560759250731	TYPE_GYROSCOPE_UNCALIBRATED	0.08824158	-0.15640259	0.19689941
1560759250731	TYPE_ACCELEROMETER_UNCALIBRATED	1.1204224	0.44805908	8.822556
1560759250751	TYPE_ACCELEROMETER	1.3029785	0.58992004	8.830933
1560759250751	TYPE_MAGNETIC_FIELD	-12.509155	32.69806	-32.04956
1560759250751	TYPE_GYROSCOPE	0.05126953	-0.09324646	0.118011475
1560759250751	TYPE_ROTATION_VECTOR	0.012463302	-0.031998746	-0.1512251
1560759250751	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.862976	-66.534424	-360.74982
1560759250751	TYPE_GYROSCOPE_UNCALIBRATED	0.048828125	-0.093551636	0.119140625
1560759250751	TYPE_ACCELEROMETER_UNCALIBRATED	1.3029785	0.58992004	8.830933
1560759250771	TYPE_ACCELEROMETER	1.3682251	0.618042	9.169128
1560759250771	TYPE_MAGNETIC_FIELD	-11.79657	32.69806	-30.662537
1560759250771	TYPE_GYROSCOPE	0.057662964	-0.075668335	0.06581116
1560759250771	TYPE_ROTATION_VECTOR	0.013562957	-0.0356667	-0.14788638
1560759250771	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.15039	-66.534424	-359.3628
1560759250771	TYPE_GYROSCOPE_UNCALIBRATED	0.055221558	-0.07597351	0.06694031
1560759250771	TYPE_ACCELEROMETER_UNCALIBRATED	1.3682251	0.618042	9.169128
1560759250791	TYPE_ACCELEROMETER	1.38797	0.55519104	9.693451
1560759250791	TYPE_MAGNETIC_FIELD	-11.083984	30.574036	-32.04956
1560759250791	TYPE_GYROSCOPE	-0.019577026	-0.0847168	0.06687927
1560759250791	TYPE_ROTATION_VECTOR	0.013562957	-0.0356667	-0.14788638
1560759250791	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-68.65845	-360.74982
1560759250791	TYPE_GYROSCOPE_UNCALIBRATED	0.055221558	-0.07597351	0.06694031
1560759250791	TYPE_ACCELEROMETER_UNCALIBRATED	1.3682251	0.618042	9.169128
1560759250811	TYPE_ACCELEROMETER	1.4705658	0.29962158	10.310562
1560759250811	TYPE_MAGNETIC_FIELD	-11.083984	33.406067	-30.662537
1560759250811	TYPE_GYROSCOPE	-0.16871643	-0.07247925	0.1078949
1560759250811	TYPE_ROTATION_VECTOR	0.011366828	-0.04133866	-0.14191467
1560759250811	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-65.826416	-359.3628
1560759250811	TYPE_GYROSCOPE_UNCALIBRATED	-0.17115784	-0.072784424	0.10902405
1560759250811	TYPE_ACCELEROMETER_UNCALIBRATED	1.4705658	0.29962158	10.310562
1560759250831	TYPE_ACCELEROMETER	1.4705658	0.16374207	10.8181305
1560759250831	TYPE_MAGNETIC_FIELD	-10.371399	32.69806	-29.968262
1560759250831	TYPE_GYROSCOPE	-0.2534027	0.002105713	0.13771057
1560759250831	TYPE_ROTATION_VECTOR	0.008208267	-0.042609062	-0.13886967
1560759250831	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-66.534424	-358.66852
1560759250831	TYPE_GYROSCOPE_UNCALIBRATED	-0.25584412	0.0018005371	0.13883972
1560759250831	TYPE_ACCELEROMETER_UNCALIBRATED	1.4705658	0.16374207	10.8181305
1560759250851	TYPE_ACCELEROMETER	1.5723267	0.20562744	10.740921
1560759250851	TYPE_MAGNETIC_FIELD	-10.371399	31.990051	-28.581238
1560759250851	TYPE_GYROSCOPE	-0.22303772	0.064956665	0.15316772
1560759250851	TYPE_ROTATION_VECTOR	0.0057167145	-0.04346791	-0.13559216
1560759250851	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-67.24243	-357.2815
1560759250851	TYPE_GYROSCOPE_UNCALIBRATED	-0.22547913	0.06465149	0.15429688
1560759250851	TYPE_ACCELEROMETER_UNCALIBRATED	1.5723267	0.20562744	10.740921
1560759250871	TYPE_ACCELEROMETER	1.6651001	0.2966156	10.147751
1560759250871	TYPE_MAGNETIC_FIELD	-12.509155	34.822083	-29.968262
1560759250871	TYPE_GYROSCOPE	-0.162323	0.064956665	0.14944458
1560759250871	TYPE_ROTATION_VECTOR	0.0057167145	-0.04346791	-0.13559216
1560759250871	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.862976	-64.4104	-358.66852
1560759250871	TYPE_GYROSCOPE_UNCALIBRATED	-0.22547913	0.06465149	0.15429688
1560759250871	TYPE_ACCELEROMETER_UNCALIBRATED	1.6651001	0.2966156	10.147751
1560759250891	TYPE_ACCELEROMETER	1.7638702	0.3612671	9.686264
1560759250891	TYPE_MAGNETIC_FIELD	-11.083984	32.69806	-31.355286
1560759250891	TYPE_GYROSCOPE	-0.12716675	0.04737854	0.13238525
1560759250891	TYPE_ROTATION_VECTOR	0.0031742312	-0.04625687	-0.12899812
1560759250891	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-66.534424	-360.05554
1560759250891	TYPE_GYROSCOPE_UNCALIBRATED	-0.12960815	0.047073364	0.1335144
1560759250891	TYPE_ACCELEROMETER_UNCALIBRATED	1.7638702	0.3612671	9.686264
1560759250911	TYPE_ACCELEROMETER	1.938034	0.5402374	9.399567
1560759250911	TYPE_MAGNETIC_FIELD	-10.371399	31.990051	-31.355286
1560759250911	TYPE_GYROSCOPE	-0.09628296	0.05909729	0.08178711
1560759250911	TYPE_ROTATION_VECTOR	0.0029349404	-0.048116907	-0.12570392
1560759250911	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-67.24243	-360.05554
1560759250911	TYPE_GYROSCOPE_UNCALIBRATED	-0.098724365	0.058792114	0.08291626
1560759250911	TYPE_ACCELEROMETER_UNCALIBRATED	1.938034	0.5402374	9.399567
1560759250932	TYPE_ACCELEROMETER	1.8697968	0.6563568	9.128418
1560759250932	TYPE_MAGNETIC_FIELD	-9.658813	31.282043	-29.968262
1560759250932	TYPE_GYROSCOPE	-0.10533142	0.06388855	0.037582397
1560759250932	TYPE_ROTATION_VECTOR	0.0029027548	-0.049677424	-0.123002246
1560759250932	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.012634	-67.95044	-358.66852
1560759250932	TYPE_GYROSCOPE_UNCALIBRATED	-0.10777283	0.063583374	0.038711548
1560759250932	TYPE_ACCELEROMETER_UNCALIBRATED	1.8697968	0.6563568	9.128418
1560759250952	TYPE_ACCELEROMETER	1.9129028	0.831131	9.053604
1560759250952	TYPE_MAGNETIC_FIELD	-11.083984	33.406067	-29.968262
1560759250952	TYPE_GYROSCOPE	-0.15327454	0.023406982	0.010940552
1560759250952	TYPE_ROTATION_VECTOR	0.0027043147	-0.05156814	-0.12079181
1560759250952	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-65.826416	-358.66852
1560759250952	TYPE_GYROSCOPE_UNCALIBRATED	-0.10777283	0.063583374	0.038711548
1560759250952	TYPE_ACCELEROMETER_UNCALIBRATED	1.8697968	0.6563568	9.128418
1560759250972	TYPE_ACCELEROMETER	1.8943481	0.91911316	9.054794
1560759250972	TYPE_MAGNETIC_FIELD	-11.083984	34.114075	-31.355286
1560759250972	TYPE_GYROSCOPE	-0.18736267	0.016479492	-0.04284668
1560759250972	TYPE_ROTATION_VECTOR	0.0027043147	-0.05156814	-0.12079181
1560759250972	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-65.11841	-360.05554
1560759250972	TYPE_GYROSCOPE_UNCALIBRATED	-0.15571594	0.023101807	0.012069702
1560759250972	TYPE_ACCELEROMETER_UNCALIBRATED	1.9129028	0.831131	9.053604
1560759250992	TYPE_ACCELEROMETER	1.8045654	0.93647766	8.9566345
1560759250992	TYPE_MAGNETIC_FIELD	-8.946228	34.114075	-29.968262
1560759250992	TYPE_GYROSCOPE	-0.19960022	0.04472351	-0.11743164
1560759250992	TYPE_ROTATION_VECTOR	0.002344408	-0.05331218	-0.11924296
1560759250992	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-51.30005	-65.11841	-358.66852
1560759250992	TYPE_GYROSCOPE_UNCALIBRATED	-0.20204163	0.044418335	-0.11630249
1560759250992	TYPE_ACCELEROMETER_UNCALIBRATED	1.8045654	0.93647766	8.9566345
1560759251012	TYPE_ACCELEROMETER	1.6279907	0.92689514	8.967407
1560759251012	TYPE_MAGNETIC_FIELD	-10.371399	32.69806	-29.968262
1560759251012	TYPE_GYROSCOPE	-0.23954773	0.0068969727	-0.1818695
1560759251012	TYPE_ROTATION_VECTOR	0.0011566982	-0.055537406	-0.11880984
1560759251012	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-52.72522	-66.534424	-358.66852
1560759251012	TYPE_GYROSCOPE_UNCALIBRATED	-0.24198914	0.006591797	-0.18074036
1560759251012	TYPE_ACCELEROMETER_UNCALIBRATED	1.6279907	0.92689514	8.967407
1560759251032	TYPE_ACCELEROMETER	1.3831787	0.831131	9.161942
1560759251032	TYPE_MAGNETIC_FIELD	-11.083984	33.406067	-30.662537
1560759251032	TYPE_GYROSCOPE	-0.28642273	-0.08578491	-0.18559265
1560759251032	TYPE_ROTATION_VECTOR	0.0011566982	-0.055537406	-0.11880984
1560759251032	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-53.437805	-65.826416	-359.3628
1560759251032	TYPE_GYROSCOPE_UNCALIBRATED	-0.28886414	-0.08609009	-0.1844635
1560759251032	TYPE_ACCELEROMETER_UNCALIBRATED	1.3831787	0.831131	9.161942
1560759251052	TYPE_ACCELEROMETER	1.3897705	0.6898651	9.146973
1560759251052	TYPE_MAGNETIC_FIELD	-12.509155	34.114075	-30.662537
1560759251052	TYPE_GYROSCOPE	-0.33062744	-0.17047119	-0.11262512
1560759251052	TYPE_ROTATION_VECTOR	-0.0027547446	-0.058841377	-0.120739624
1560759251052	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.862976	-65.11841	-359.3628
1560759251052	TYPE_GYROSCOPE_UNCALIBRATED	-0.33306885	-0.17077637	-0.11149597
1560759251052	TYPE_ACCELEROMETER_UNCALIBRATED	1.3897705	0.6898651	9.146973
1560759251072	TYPE_ACCELEROMETER	1.8686066	1.2112122	9.489349
1560759251072	TYPE_MAGNETIC_FIELD	-12.509155	35.53009	-29.968262
1560759251072	TYPE_GYROSCOPE	-0.39508057	-0.20562744	-0.07267761
1560759251072	TYPE_ROTATION_VECTOR	-0.0027547446	-0.058841377	-0.120739624
1560759251072	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-54.862976	-63.702393	-358.66852
1560759251072	TYPE_GYROSCOPE_UNCALIBRATED	-0.33306885	-0.17077637	-0.11149597
