#	startTime:1560759344581
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560759344581	TYPE_WAYPOINT	111.746376	92.418076
1560759344696	TYPE_ACCELEROMETER	-1.7640076	1.2064209	9.386398
1560759344696	TYPE_MAGNETIC_FIELD	-18.208313	-26.049805	-35.517883
1560759344696	TYPE_GYROSCOPE	-0.65448	-0.38246155	0.09617615
1560759344696	TYPE_ROTATION_VECTOR	0.11584649	-0.06773187	-0.8855718
1560759344696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-60.562134	-125.28229	-364.21814
1560759344696	TYPE_GYROSCOPE_UNCALIBRATED	-0.54878235	-0.3662567	0.08079529
1560759344696	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7640076	1.2064209	9.386398
1560759344716	TYPE_ACCELEROMETER	-1.8507843	1.0238647	10.966568
1560759344716	TYPE_MAGNETIC_FIELD	-18.920898	-25.341797	-35.517883
1560759344716	TYPE_GYROSCOPE	-0.64541626	-0.3941803	0.11961365
1560759344716	TYPE_ROTATION_VECTOR	0.100627504	-0.03503614	-0.89537376
1560759344716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.27472	-124.57428	-364.21814
1560759344716	TYPE_GYROSCOPE_UNCALIBRATED	-0.6856842	-0.39234924	0.112213135
1560759344716	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8507843	1.0238647	10.966568
1560759344736	TYPE_ACCELEROMETER	-1.8561859	0.8227539	11.958359
1560759344736	TYPE_MAGNETIC_FIELD	-19.633484	-25.341797	-36.21216
1560759344736	TYPE_GYROSCOPE	-0.48136902	-0.52948	0.11268616
1560759344736	TYPE_ROTATION_VECTOR	0.100627504	-0.03503614	-0.89537376
1560759344736	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-61.987305	-124.57428	-364.9124
1560759344736	TYPE_GYROSCOPE_UNCALIBRATED	-0.5695648	-0.43017578	0.1207428
1560759344736	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8507843	1.0238647	10.966568
1560759344756	TYPE_ACCELEROMETER	-1.8118896	0.7180023	12.3641815
1560759344756	TYPE_MAGNETIC_FIELD	-20.34607	-25.341797	-35.517883
1560759344756	TYPE_GYROSCOPE	-0.35780334	-0.75424194	0.10736084
1560759344756	TYPE_ROTATION_VECTOR	0.0819612	-0.02010201	-0.9010333
1560759344756	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-62.69989	-124.57428	-364.21814
1560759344756	TYPE_GYROSCOPE_UNCALIBRATED	-0.41244507	-0.6554718	0.107421875
1560759344756	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8561859	0.8227539	11.958359
1560759344776	TYPE_ACCELEROMETER	-1.5844421	0.71261597	12.389923
1560759344776	TYPE_MAGNETIC_FIELD	-21.058655	-24.635315	-35.517883
1560759344776	TYPE_GYROSCOPE	-0.26831055	-0.80537415	0.14942932
1560759344776	TYPE_ROTATION_VECTOR	0.0819612	-0.02010201	-0.9010333
1560759344776	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-123.8678	-364.21814
1560759344776	TYPE_GYROSCOPE_UNCALIBRATED	-0.3170929	-0.80940247	0.12286377
1560759344776	TYPE_ACCELEROMETER_UNCALIBRATED	-1.8118896	0.7180023	12.3641815
1560759344796	TYPE_ACCELEROMETER	-1.5191956	0.9460602	11.6489105
1560759344796	TYPE_MAGNETIC_FIELD	-21.77124	-24.635315	-34.825134
1560759344796	TYPE_GYROSCOPE	-0.17616272	-0.5683441	0.22879028
1560759344796	TYPE_ROTATION_VECTOR	0.07282598	-0.017798865	-0.90219325
1560759344796	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-123.8678	-363.5254
1560759344796	TYPE_GYROSCOPE_UNCALIBRATED	-0.22280884	-0.7257843	0.18678284
1560759344796	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5844421	0.71261597	12.389923
1560759344816	TYPE_ACCELEROMETER	-1.6484833	1.3554535	10.42308
1560759344816	TYPE_MAGNETIC_FIELD	-21.058655	-23.2193	-34.825134
1560759344816	TYPE_GYROSCOPE	-0.09681702	-0.10122681	0.34703064
1560759344816	TYPE_ROTATION_VECTOR	0.06803067	-0.01745186	-0.9014375
1560759344816	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-63.412476	-122.45178	-363.5254
1560759344816	TYPE_GYROSCOPE_UNCALIBRATED	-0.13546753	-0.3486786	0.28372192
1560759344816	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5191956	0.9460602	11.6489105
1560759344836	TYPE_ACCELEROMETER	-1.730484	1.7469177	9.423508
1560759344836	TYPE_MAGNETIC_FIELD	-23.196411	-24.635315	-36.21216
1560759344836	TYPE_GYROSCOPE	-0.06750488	0.26416016	0.47114563
1560759344836	TYPE_ROTATION_VECTOR	0.076353125	-0.018174915	-0.8935498
1560759344836	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-65.55023	-123.8678	-364.9124
1560759344836	TYPE_GYROSCOPE_UNCALIBRATED	-0.07687378	0.12110901	0.41474915
1560759344836	TYPE_ACCELEROMETER_UNCALIBRATED	-1.730484	1.7469177	9.423508
1560759344856	TYPE_ACCELEROMETER	-1.5413513	1.9989014	8.790848
1560759344856	TYPE_MAGNETIC_FIELD	-21.77124	-23.927307	-34.825134
1560759344856	TYPE_GYROSCOPE	-0.10321045	0.29078674	0.53985596
1560759344856	TYPE_ROTATION_VECTOR	0.082125284	-0.01932527	-0.8883861
1560759344856	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-123.15979	-363.5254
1560759344856	TYPE_GYROSCOPE_UNCALIBRATED	-0.08114624	0.313385	0.5148773
1560759344856	TYPE_ACCELEROMETER_UNCALIBRATED	-1.730484	1.7469177	9.423508
1560759344876	TYPE_ACCELEROMETER	-1.283371	2.1293793	8.596313
1560759344876	TYPE_MAGNETIC_FIELD	-22.483826	-24.635315	-36.21216
1560759344876	TYPE_GYROSCOPE	-0.15274048	0.1309967	0.5377197
1560759344876	TYPE_ROTATION_VECTOR	0.08518365	-0.021324582	-0.8836108
1560759344876	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.83765	-123.8678	-364.9124
1560759344876	TYPE_GYROSCOPE_UNCALIBRATED	-0.13388062	0.21644592	0.5479126
1560759344876	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5413513	1.9989014	8.790848
1560759344897	TYPE_ACCELEROMETER	-1.0774689	2.09227	8.6202545
1560759344897	TYPE_MAGNETIC_FIELD	-23.908997	-23.927307	-36.21216
1560759344897	TYPE_GYROSCOPE	-0.16551208	-0.012283325	0.48179626
1560759344897	TYPE_ROTATION_VECTOR	0.08518365	-0.021324582	-0.8836108
1560759344897	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-123.15979	-364.9124
1560759344897	TYPE_GYROSCOPE_UNCALIBRATED	-0.16529846	0.054000854	0.5154114
1560759344897	TYPE_ACCELEROMETER_UNCALIBRATED	-1.283371	2.1293793	8.596313
1560759344917	TYPE_ACCELEROMETER	-0.967926	2.0773163	8.5616
1560759344917	TYPE_MAGNETIC_FIELD	-21.77124	-24.635315	-36.906433
1560759344917	TYPE_GYROSCOPE	-0.14581299	-0.003753662	0.43917847
1560759344917	TYPE_ROTATION_VECTOR	0.086357184	-0.02587045	-0.8761078
1560759344917	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-64.12506	-123.8678	-365.6067
1560759344917	TYPE_GYROSCOPE_UNCALIBRATED	-0.16423035	-0.039749146	0.45576477
1560759344917	TYPE_ACCELEROMETER_UNCALIBRATED	-0.967926	2.0773163	8.5616
1560759344937	TYPE_ACCELEROMETER	-0.81529236	1.9701691	8.416153
1560759344937	TYPE_MAGNETIC_FIELD	-23.908997	-24.635315	-36.21216
1560759344937	TYPE_GYROSCOPE	-0.1000061	0.14006042	0.4285431
1560759344937	TYPE_ROTATION_VECTOR	0.086357184	-0.02587045	-0.8761078
1560759344937	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-66.26282	-123.8678	-364.9124
1560759344937	TYPE_GYROSCOPE_UNCALIBRATED	-0.122680664	0.06890869	0.43392944
1560759344937	TYPE_ACCELEROMETER_UNCALIBRATED	-0.967926	2.0773163	8.5616
1560759344957	TYPE_ACCELEROMETER	-0.6692505	1.8402863	8.517899
1560759344957	TYPE_MAGNETIC_FIELD	-23.196411	-23.927307	-35.517883
1560759344957	TYPE_GYROSCOPE	-0.10852051	0.18426514	0.41362
