#	startTime:1560759440000
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a8098e97f001b63f914	FloorName:F4
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560759440000	TYPE_WAYPOINT	103.78205	64.88954
1560759440127	TYPE_ACCELEROMETER	0.43447876	0.4510498	9.7586975
1560759440127	TYPE_MAGNETIC_FIELD	-33.17108	15.002441	-24.41864
1560759440127	TYPE_GYROSCOPE	-0.05633545	0.014892578	-0.09399414
1560759440127	TYPE_ROTATION_VECTOR	0.017013708	-0.025638146	-0.4950195
1560759440127	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-75.5249	-84.23004	-353.1189
1560759440127	TYPE_GYROSCOPE_UNCALIBRATED	-0.046524048	-0.060531616	-0.07421875
1560759440127	TYPE_ACCELEROMETER_UNCALIBRATED	0.30160522	0.41812134	9.814957
1560759440147	TYPE_ACCELEROMETER	0.5523987	0.44206238	10.247711
1560759440147	TYPE_MAGNETIC_FIELD	-34.596252	15.002441	-25.805664
1560759440147	TYPE_GYROSCOPE	-0.11065674	0.062820435	-0.11050415
1560759440147	TYPE_ROTATION_VECTOR	0.014734831	-0.026095789	-0.49633446
1560759440147	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.95007	-84.23004	-354.50592
1560759440147	TYPE_GYROSCOPE_UNCALIBRATED	-0.09126282	0.068374634	-0.101379395
1560759440147	TYPE_ACCELEROMETER_UNCALIBRATED	0.50390625	0.55519104	9.968185
1560759440167	TYPE_ACCELEROMETER	0.61764526	0.48576355	10.594864
1560759440167	TYPE_MAGNETIC_FIELD	-33.883667	16.418457	-26.499939
1560759440167	TYPE_GYROSCOPE	-0.04034424	0.06442261	-0.14671326
1560759440167	TYPE_ROTATION_VECTOR	0.012403833	-0.026945388	-0.49730507
1560759440167	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-82.814026	-355.2002
1560759440167	TYPE_GYROSCOPE_UNCALIBRATED	-0.096588135	0.055603027	-0.12747192
1560759440167	TYPE_ACCELEROMETER_UNCALIBRATED	0.5930939	0.3714447	10.470978
1560759440187	TYPE_ACCELEROMETER	0.83610535	0.6898651	10.24292
1560759440187	TYPE_MAGNETIC_FIELD	-33.883667	16.418457	-27.194214
1560759440187	TYPE_GYROSCOPE	0.10240173	0.057495117	-0.1818695
1560759440187	TYPE_ROTATION_VECTOR	0.0117173195	-0.028278604	-0.49840468
1560759440187	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-82.814026	-355.89447
1560759440187	TYPE_GYROSCOPE_UNCALIBRATED	0.030181885	0.06518555	-0.16157532
1560759440187	TYPE_ACCELEROMETER_UNCALIBRATED	0.71640015	0.60487366	10.496109
1560759440207	TYPE_ACCELEROMETER	0.93307495	0.8341217	9.729965
1560759440207	TYPE_MAGNETIC_FIELD	-34.596252	12.879944	-27.194214
1560759440207	TYPE_GYROSCOPE	0.1897583	0.017547607	-0.2164917
1560759440207	TYPE_ROTATION_VECTOR	0.012699745	-0.032035254	-0.4994026
1560759440207	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.95007	-86.35254	-355.89447
1560759440207	TYPE_GYROSCOPE_UNCALIBRATED	0.15376282	0.041748047	-0.20098877
1560759440207	TYPE_ACCELEROMETER_UNCALIBRATED	0.8929596	0.77127075	9.980759
1560759440227	TYPE_ACCELEROMETER	1.0839081	0.86943054	9.644363
1560759440227	TYPE_MAGNETIC_FIELD	-33.883667	17.126465	-25.805664
1560759440227	TYPE_GYROSCOPE	0.18122864	-0.03944397	-0.23034668
1560759440227	TYPE_ROTATION_VECTOR	0.014344749	-0.03661931	-0.49938905
1560759440227	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-76.23749	-82.10602	-354.50592
1560759440227	TYPE_GYROSCOPE_UNCALIBRATED	0.19477844	-0.008865356	-0.22389221
1560759440227	TYPE_ACCELEROMETER_UNCALIBRATED	1.01268	0.86943054	9.6006775
