#	startTime:1560826003440
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a89664f23001b526c79	FloorName:F5
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560826003441	TYPE_WAYPOINT	180.16463	123.09524
1560826003576	TYPE_ACCELEROMETER	-2.0806427	1.0693512	9.327744
1560826003576	TYPE_MAGNETIC_FIELD	9.919739	31.176758	-29.866028
1560826003576	TYPE_GYROSCOPE	0.3969574	-0.18760681	-0.4193573
1560826003576	TYPE_ROTATION_VECTOR	0.0566162	0.09668907	0.035452593
1560826003576	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.049866	-69.36493	-356.58722
1560826003576	TYPE_GYROSCOPE_UNCALIBRATED	0.37799072	-0.16812134	-0.383667
1560826003576	TYPE_ACCELEROMETER_UNCALIBRATED	-2.0435333	1.0418091	9.288834
1560826003596	TYPE_ACCELEROMETER	-2.145874	1.013092	9.271469
1560826003596	TYPE_MAGNETIC_FIELD	9.207153	31.176758	-27.784729
1560826003596	TYPE_GYROSCOPE	0.3420868	-0.16470337	-0.34906006
1560826003596	TYPE_ROTATION_VECTOR	0.058746893	0.09877499	0.029148005
1560826003596	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-37.76245	-69.36493	-354.50592
1560826003596	TYPE_GYROSCOPE_UNCALIBRATED	0.37799072	-0.16812134	-0.383667
1560826003596	TYPE_ACCELEROMETER_UNCALIBRATED	-2.121338	1.080719	9.2642975
1560826003616	TYPE_ACCELEROMETER	-2.2183075	0.89157104	9.419907
1560826003616	TYPE_MAGNETIC_FIELD	8.494568	29.760742	-29.866028
