#	startTime:1560826140958
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a89664f23001b526c79	FloorName:F5
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560826140959	TYPE_WAYPOINT	189.12263	122.627174
1560826141086	TYPE_ACCELEROMETER	-0.8811493	0.65216064	9.509705
1560826141086	TYPE_MAGNETIC_FIELD	29.86908	8.526611	-44.43512
1560826141086	TYPE_GYROSCOPE	-0.06858826	-0.09812927	0.1212616
1560826141086	TYPE_ROTATION_VECTOR	0.0093884505	0.06352045	0.5238026
1560826141086	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-17.100525	-92.015076	-371.1563
1560826141086	TYPE_GYROSCOPE_UNCALIBRATED	-0.08805847	-0.07171631	0.10102844
1560826141086	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9152527	0.7664795	9.166122
1560826141106	TYPE_ACCELEROMETER	-0.7452698	0.6401825	9.558777
1560826141106	TYPE_MAGNETIC_FIELD	28.443909	8.526611	-43.740845
1560826141106	TYPE_GYROSCOPE	0.027297974	-0.19239807	0.11753845
1560826141106	TYPE_ROTATION_VECTOR	0.008009132	0.060999606	0.52756613
1560826141106	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-92.015076	-370.46204
1560826141106	TYPE_GYROSCOPE_UNCALIBRATED	-0.07102966	-0.098342896	0.12232971
1560826141106	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8811493	0.65216064	9.509705
1560826141126	TYPE_ACCELEROMETER	-0.6824188	0.6461792	9.442062
1560826141126	TYPE_MAGNETIC_FIELD	27.73285	7.8186035	-45.129395
1560826141126	TYPE_GYROSCOPE	0.08270264	-0.27017212	0.12872314
1560826141126	TYPE_ROTATION_VECTOR	0.008834052	0.057688396	0.5310678
1560826141126	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.236755	-92.72308	-371.8506
1560826141126	TYPE_GYROSCOPE_UNCALIBRATED	0.024856567	-0.1926117	0.11860657
1560826141126	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7452698	0.6401825	9.558777
1560826141146	TYPE_ACCELEROMETER	-0.5495453	0.64797974	9.320557
1560826141146	TYPE_MAGNETIC_FIELD	26.307678	9.234619	-45.822144
1560826141146	TYPE_GYROSCOPE	0.09814453	-0.30212402	0.15216064
1560826141146	TYPE_ROTATION_VECTOR	0.010708974	0.0546267	0.5338125
1560826141146	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.661926	-91.30707	-372.54333
1560826141146	TYPE_GYROSCOPE_UNCALIBRATED	0.08026123	-0.27038574	0.12979126
1560826141146	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6824188	0.6461792	9.442062
1560826141166	TYPE_ACCELEROMETER	-0.4166565	0.7245941	9.201447
1560826141166	TYPE_MAGNETIC_FIELD	28.443909	6.402588	-46.51642
1560826141166	TYPE_GYROSCOPE	0.072052	-0.299469	0.18571472
1560826141166	TYPE_ROTATION_VECTOR	0.013217637	0.05127758	0.5361037
1560826141166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.525696	-94.1391	-373.2376
1560826141166	TYPE_GYROSCOPE_UNCALIBRATED	0.095703125	-0.30233765	0.15322876
1560826141166	TYPE_ACCELEROMETER_UNCALIBRATED	-0.5495453	0.64797974	9.320557
1560826141186	TYPE_ACCELEROMETER	-0.105407715	0.83291626	8.998535
1560826141186	TYPE_MAGNETIC_FIELD	27.020264	8.526611	-45.822144
1560826141186	TYPE_GYROSCOPE	0.004928589	-0.3751068	0.22566223
1560826141186	TYPE_ROTATION_VECTOR	0.016133502	0.04802062	0.5388881
1560826141186	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.94934	-92.015076	-372.54333
1560826141186	TYPE_GYROSCOPE_UNCALIBRATED	0.069610596	-0.29968262	0.18678284
1560826141186	TYPE_ACCELEROMETER_UNCALIBRATED	-0.4166565	0.7245941	9.201447
1560826141206	TYPE_ACCELEROMETER	0.31237793	0.7084198	8.975189
1560826141206	TYPE_MAGNETIC_FIELD	26.307678	8.526611	-44.43512
1560826141206	TYPE_GYROSCOPE	-0.118652344	-0.37776184	0.23417664
1560826141206	TYPE_ROTATION_VECTOR	0.0201718	0.04323368	0.54105896
1560826141206	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.661926	-92.015076	-371.1563
1560826141206	TYPE_GYROSCOPE_UNCALIBRATED	0.0024871826	-0.37532043	0.22673035
1560826141206	TYPE_ACCELEROMETER_UNCALIBRATED	-0.105407715	0.83291626	8.998535
1560826141226	TYPE_ACCELEROMETER	0.5122833	0.58691406	9.167923
1560826141226	TYPE_MAGNETIC_FIELD	25.595093	7.1105957	-45.822144
1560826141226	TYPE_GYROSCOPE	-0.2603302	-0.20732117	0.19955444
1560826141226	TYPE_ROTATION_VECTOR	0.023300534	0.036255572	0.5449985
1560826141226	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-93.43109	-372.54333
1560826141226	TYPE_GYROSCOPE_UNCALIBRATED	-0.12109375	-0.37797546	0.23524475
1560826141226	TYPE_ACCELEROMETER_UNCALIBRATED	0.31237793	0.7084198	8.975189
1560826141246	TYPE_ACCELEROMETER	0.40335083	0.49176025	9.831116
1560826141246	TYPE_MAGNETIC_FIELD	24.169922	7.8186035	-45.822144
1560826141246	TYPE_GYROSCOPE	-0.33329773	-0.048599243	0.1404419
1560826141246	TYPE_ROTATION_VECTOR	0.024001332	0.029613413	0.5495167
1560826141246	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-22.799683	-92.72308	-372.54333
1560826141246	TYPE_GYROSCOPE_UNCALIBRATED	-0.2627716	-0.20753479	0.20062256
1560826141246	TYPE_ACCELEROMETER_UNCALIBRATED	0.5122833	0.58691406	9.167923
1560826141266	TYPE_ACCELEROMETER	0.3506775	0.48158264	10.26207
1560826141266	TYPE_MAGNETIC_FIELD	27.020264	5.69458	-45.129395
1560826141266	TYPE_GYROSCOPE	-0.29814148	-0.017166138	0.09677124
1560826141266	TYPE_ROTATION_VECTOR	0.022389952	0.024685076	0.55294555
1560826141266	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.94934	-94.84711	-371.8506
1560826141266	TYPE_GYROSCOPE_UNCALIBRATED	-0.33573914	-0.048812866	0.14151001
1560826141266	TYPE_ACCELEROMETER_UNCALIBRATED	0.40335083	0.49176025	9.831116
1560826141287	TYPE_ACCELEROMETER	0.96180725	0.6479645	10.218979
1560826141287	TYPE_MAGNETIC_FIELD	25.595093	8.526611	-46.51642
1560826141287	TYPE_GYROSCOPE	-0.15646362	-0.11677551	0.046157837
1560826141287	TYPE_ROTATION_VECTOR	0.020715736	0.02089218	0.55611324
1560826141287	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-92.015076	-373.2376
1560826141287	TYPE_GYROSCOPE_UNCALIBRATED	-0.3005829	-0.01737976	0.097839355
1560826141287	TYPE_ACCELEROMETER_UNCALIBRATED	0.3506775	0.48158264	10.26207
1560826141307	TYPE_ACCELEROMETER	0.99472046	0.63420105	9.788025
1560826141307	TYPE_MAGNETIC_FIELD	25.595093	8.526611	-47.210693
1560826141307	TYPE_GYROSCOPE	-0.045150757	-0.16151428	-0.115234375
1560826141307	TYPE_ROTATION_VECTOR	0.022552887	0.015940087	0.5579895
1560826141307	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-92.015076	-373.9319
1560826141307	TYPE_GYROSCOPE_UNCALIBRATED	-0.15890503	-0.116989136	0.047225952
1560826141307	TYPE_ACCELEROMETER_UNCALIBRATED	0.96180725	0.6479645	10.218979
1560826141327	TYPE_ACCELEROMETER	0.90374756	0.3355255	9.688065
1560826141327	TYPE_MAGNETIC_FIELD	26.307678	8.526611	-45.822144
1560826141327	TYPE_GYROSCOPE	-0.17990112	-0.07522583	-0.19671631
1560826141327	TYPE_ROTATION_VECTOR	0.025175162	0.007708919	0.5584794
1560826141327	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-20.661926	-92.015076	-372.54333
1560826141327	TYPE_GYROSCOPE_UNCALIBRATED	-0.047592163	-0.1617279	-0.11416626
1560826141327	TYPE_ACCELEROMETER_UNCALIBRATED	0.99472046	0.63420105	9.788025
1560826141347	TYPE_ACCELEROMETER	1.0007019	-0.14990234	10.454208
1560826141347	TYPE_MAGNETIC_FIELD	25.595093	9.234619	-45.822144
1560826141347	TYPE_GYROSCOPE	-0.37217712	0.092559814	-0.25531006
1560826141347	TYPE_ROTATION_VECTOR	0.025175162	0.007708919	0.5584794
1560826141347	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-91.30707	-372.54333
1560826141347	TYPE_GYROSCOPE_UNCALIBRATED	-0.18234253	-0.07543945	-0.1956482
1560826141347	TYPE_ACCELEROMETER_UNCALIBRATED	0.90374756	0.3355255	9.688065
1560826141367	TYPE_ACCELEROMETER	0.77085876	0.43249512	11.871582
1560826141367	TYPE_MAGNETIC_FIELD	27.020264	9.234619	-45.129395
1560826141367	TYPE_GYROSCOPE	-0.41586304	0.07711792	-0.31178284
1560826141367	TYPE_ROTATION_VECTOR	0.021469813	0.0033055944	0.559746
1560826141367	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.94934	-91.30707	-371.8506
1560826141367	TYPE_GYROSCOPE_UNCALIBRATED	-0.37461853	0.09234619	-0.25424194
1560826141367	TYPE_ACCELEROMETER_UNCALIBRATED	1.0007019	-0.14990234	10.454208
1560826141387	TYPE_ACCELEROMETER	1.1695099	0.46720886	11.529205
1560826141387	TYPE_MAGNETIC_FIELD	25.595093	10.649109	-47.210693
1560826141387	TYPE_GYROSCOPE	-0.26405334	-0.00970459	-0.20417786
1560826141387	TYPE_ROTATION_VECTOR	0.018627461	4.272572E-4	0.5577921
1560826141387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-21.374512	-89.89258	-373.9319
1560826141387	TYPE_GYROSCOPE_UNCALIBRATED	-0.41830444	0.0769043	-0.31071472
1560826141387	TYPE_ACCELEROMETER_UNCALIBRATED	0.77085876	0.43249512	11.871582
1560826141407	TYPE_ACCELEROMETER	1.1497498	0.69107056	10.350662
1560826141407	TYPE_MAGNETIC_FIELD	27.020264	9.941101	-46.51642
1560826141407	TYPE_GYROSCOPE	-0.045135498	-0.08908081	-0.16264343
1560826141407	TYPE_ROTATION_VECTOR	0.01825528	-0.00293502	0.5565326
1560826141407	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.94934	-90.600586	-373.2376
1560826141407	TYPE_GYROSCOPE_UNCALIBRATED	-0.26649475	-0.009918213	-0.20310974
1560826141407	TYPE_ACCELEROMETER_UNCALIBRATED	1.1695099	0.46720886	11.529205
