#	startTime:1560826437195
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a89664f23001b526c79	FloorName:F5
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560826437195	TYPE_WAYPOINT	144.30669	94.98373
1560826437320	TYPE_ACCELEROMETER	1.1665039	0.43370056	10.157333
1560826437320	TYPE_MAGNETIC_FIELD	1.3702393	41.793823	-26.397705
1560826437320	TYPE_GYROSCOPE	-0.10372925	-0.47309875	-0.01083374
1560826437320	TYPE_ROTATION_VECTOR	0.027226033	-0.051247966	0.048156857
1560826437320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.599365	-58.747864	-353.1189
1560826437320	TYPE_GYROSCOPE_UNCALIBRATED	-0.12747192	-0.5233917	3.5095215E-4
1560826437320	TYPE_ACCELEROMETER_UNCALIBRATED	1.1665039	0.43370056	10.157333
1560826437340	TYPE_ACCELEROMETER	1.1347809	0.31996155	10.14595
1560826437340	TYPE_MAGNETIC_FIELD	2.0828247	41.085815	-26.397705
1560826437340	TYPE_GYROSCOPE	-0.12983704	-0.3436737	-0.025222778
1560826437340	TYPE_ROTATION_VECTOR	0.027226033	-0.051247966	0.048156857
1560826437340	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.88678	-59.45587	-353.1189
1560826437340	TYPE_GYROSCOPE_UNCALIBRATED	-0.109375	-0.41685486	-0.018829346
1560826437340	TYPE_ACCELEROMETER_UNCALIBRATED	1.1347809	0.31996155	10.14595
1560826437360	TYPE_ACCELEROMETER	1.0192566	0.321167	10.266861
1560826437360	TYPE_MAGNETIC_FIELD	2.7938843	41.793823	-25.010681
1560826437360	TYPE_GYROSCOPE	-0.18788147	-0.16844177	-0.02041626
1560826437360	TYPE_ROTATION_VECTOR	0.024583044	-0.05475923	0.0480126
1560826437360	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.17572	-58.747864	-351.73187
1560826437360	TYPE_GYROSCOPE_UNCALIBRATED	-0.16369629	-0.26187134	-0.024673462
1560826437360	TYPE_ACCELEROMETER_UNCALIBRATED	1.0192566	0.321167	10.266861
1560826437380	TYPE_ACCELEROMETER	0.92230225	0.36245728	10.493118
1560826437380	TYPE_MAGNETIC_FIELD	2.7938843	41.085815	-25.70343
1560826437380	TYPE_GYROSCOPE	-0.20866394	0.0717926	0.0067443848
1560826437380	TYPE_ROTATION_VECTOR	0.01971414	-0.052925684	0.046565827
1560826437380	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-44.17572	-59.45587	-352.42462
1560826437380	TYPE_GYROSCOPE_UNCALIBRATED	-0.20736694	-0.053604126	-0.00869751
1560826437380	TYPE_ACCELEROMETER_UNCALIBRATED	0.92230225	0.36245728	10.493118
1560826437400	TYPE_ACCELEROMETER	0.7828369	0.32295227	10.695435
1560826437400	TYPE_MAGNETIC_FIELD	3.5064697	41.793823	-23.622131
1560826437400	TYPE_GYROSCOPE	-0.17030334	0.27897644	0.055755615
1560826437400	TYPE_ROTATION_VECTOR	0.01971414	-0.052925684	0.046565827
1560826437400	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-43.463135	-58.747864	-350.34332
1560826437400	TYPE_GYROSCOPE_UNCALIBRATED	-0.19885254	0.18502808	0.03125
1560826437400	TYPE_ACCELEROMETER_UNCALIBRATED	0.7828369	0.32295227	10.695435
1560826437420	TYPE_ACCELEROMETER	0.7295685	0.3325348	10.545197
1560826437420	TYPE_MAGNETIC_FIELD	1.3702393	41.793823	-25.010681
1560826437420	TYPE_GYROSCOPE	-0.1000061	0.3705902	0.107421875
1560826437420	TYPE_ROTATION_VECTOR	0.017675072	-0.04836827	0.046424188
1560826437420	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-45.599365	-58.747864	-351.73187
1560826437420	TYPE_GYROSCOPE_UNCALIBRATED	-0.13972473	0.34428406	0.08131409
