#	startTime:1560846790560
#	SiteID:5c3c44b80379370013e0fd2b	SiteName:远洋乐堤港_new	FloorId:5c860a89664f23001b526c79	FloorName:F5
#	Brand:OPPO	Model:PBCM10	AndroidName:8.1.0	APILevel:27	
#	type:1	name:BMI160 Accelerometer	version:2062600	vendor:BOSCH	resolution:0.0023956299	power:0.18	maximumRange:39.22661
#	type:4	name:BMI160 Gyroscope	version:2062600	vendor:BOSCH	resolution:0.0010681152	power:0.9	maximumRange:34.906586
#	type:2	name:AK09911 Magnetometer	version:1	vendor:AKM	resolution:0.5996704	power:2.4	maximumRange:4911.9995
#	VersionName:v20190614-nightly	VersionCode:264	
1560846790561	TYPE_WAYPOINT	151.54349	113.11301
1560846790702	TYPE_ACCELEROMETER	-1.5311584	0.6958618	9.045212
1560846790702	TYPE_MAGNETIC_FIELD	19.081116	24.165344	-34.25598
1560846790702	TYPE_GYROSCOPE	-0.13394165	-0.85969543	0.08900452
1560846790702	TYPE_ROTATION_VECTOR	0.012875931	0.10370094	0.24595755
1560846790702	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-23.512268	-75.73547	-360.74982
1560846790702	TYPE_GYROSCOPE_UNCALIBRATED	-0.033203125	-0.94363403	0.17559814
1560846790702	TYPE_ACCELEROMETER_UNCALIBRATED	-1.5311584	0.6958618	9.045212
1560846790722	TYPE_ACCELEROMETER	-1.3581848	0.65216064	8.905762
1560846790722	TYPE_MAGNETIC_FIELD	17.655945	24.165344	-34.25598
1560846790722	TYPE_GYROSCOPE	-0.2037201	-0.5502472	0.056518555
1560846790722	TYPE_ROTATION_VECTOR	0.013585878	0.09511188	0.2467053
1560846790722	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-24.937439	-75.73547	-360.74982
1560846790722	TYPE_GYROSCOPE_UNCALIBRATED	-0.1370697	-0.8616028	0.08770752
1560846790722	TYPE_ACCELEROMETER_UNCALIBRATED	-1.3581848	0.65216064	8.905762
1560846790742	TYPE_ACCELEROMETER	-1.3821259	0.7066345	9.081131
1560846790742	TYPE_MAGNETIC_FIELD	18.36853	24.873352	-34.950256
