#	startTime:1560135405672
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167b8	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560135405672	TYPE_WAYPOINT	42.75301	67.07399
1560135405916	TYPE_ACCELEROMETER	-0.0047912598	2.612976	9.762726
1560135405916	TYPE_MAGNETIC_FIELD	7.8599997	20.76	-26.519999
1560135405916	TYPE_GYROSCOPE	-0.051971436	-0.03933716	-0.052078247
1560135405916	TYPE_ROTATION_VECTOR	0.12830526	0.01164686	0.13613677
1560135405916	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.5199995	-42.839996	-165.6
1560135405916	TYPE_GYROSCOPE_UNCALIBRATED	-0.065963745	0.011001587	-0.10202026
1560135405916	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0047912598	2.612976	9.762726
1560135405936	TYPE_ACCELEROMETER	-0.08375549	2.6644135	9.481567
1560135405936	TYPE_MAGNETIC_FIELD	7.8599997	20.76	-26.4
1560135405936	TYPE_GYROSCOPE	0.011550903	-0.025268555	-0.0526886
1560135405936	TYPE_ROTATION_VECTOR	0.12844533	0.018501002	0.1435503
1560135405936	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.5199995	-42.839996	-165.48
1560135405936	TYPE_GYROSCOPE_UNCALIBRATED	-0.058013916	0.0061035156	-0.12583923
1560135405936	TYPE_ACCELEROMETER_UNCALIBRATED	-0.08375549	2.6644135	9.481567
1560135405955	TYPE_ACCELEROMETER	-0.090927124	2.7015076	9.251846
1560135405955	TYPE_MAGNETIC_FIELD	7.74	20.58	-26.16
1560135405955	TYPE_GYROSCOPE	0.039031982	-0.016723633	-0.042297363
1560135405955	TYPE_ROTATION_VECTOR	0.13448621	0.02123642	0.12650563
1560135405955	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.3999996	-43.019997	-165.24
1560135405955	TYPE_GYROSCOPE_UNCALIBRATED	0.005508423	0.02017212	-0.12644958
1560135405955	TYPE_ACCELEROMETER_UNCALIBRATED	-0.090927124	2.7015076	9.251846
1560135405975	TYPE_ACCELEROMETER	-0.09692383	2.7110748	9.275772
1560135405975	TYPE_MAGNETIC_FIELD	7.62	20.699999	-26.039999
1560135405975	TYPE_GYROSCOPE	0.012756348	-0.006958008	-0.03314209
1560135405975	TYPE_ROTATION_VECTOR	0.13989437	0.022073438	0.12376519
1560135405975	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.2799997	-42.9	-165.12
1560135405975	TYPE_GYROSCOPE_UNCALIBRATED	0.032989502	0.028717041	-0.11605835
1560135405975	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09692383	2.7110748	9.275772
1560135405995	TYPE_ACCELEROMETER	-0.16749573	2.740982	9.332016
1560135405995	TYPE_MAGNETIC_FIELD	7.7999997	20.52	-25.92
1560135405995	TYPE_GYROSCOPE	-0.012268066	-0.00390625	-0.030700684
1560135405995	TYPE_ROTATION_VECTOR	0.14002538	0.022067934	0.123430565
1560135405995	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.46	-43.079998	-165.0
1560135405995	TYPE_GYROSCOPE_UNCALIBRATED	0.006713867	0.038482666	-0.106903076
1560135405995	TYPE_ACCELEROMETER_UNCALIBRATED	-0.16749573	2.740982	9.332016
1560135406014	TYPE_ACCELEROMETER	-0.1938324	2.691925	9.302109
1560135406014	TYPE_MAGNETIC_FIELD	7.56	20.4	-25.859999
1560135406014	TYPE_GYROSCOPE	-0.018997192	-0.020385742	-0.018478394
1560135406014	TYPE_ROTATION_VECTOR	0.1399063	0.022057962	0.12313189
1560135406014	TYPE_MAGNETIC_FIELD_UNCALIBRATED	5.2200003	-43.199997	-164.94
1560135406014	TYPE_GYROSCOPE_UNCALIBRATED	-0.018310547	0.041534424	-0.10446167
1560135406014	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1938324	2.691925	9.302109
1560135406034	TYPE_ACCELEROMETER	-0.0945282	2.6285248	9.291336
1560135406034	TYPE_MAGNETIC_FIELD	7.2599998	20.4	-25.619999
1560135406034	TYPE_GYROSCOPE	-0.025100708	-0.0075683594	0.0077819824
1560135406034	TYPE_ROTATION_VECTOR	0.13974394	0.021864802	0.122929156
1560135406034	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.92	-43.199997	-164.7
1560135406034	TYPE_GYROSCOPE_UNCALIBRATED	-0.031143188	0.037872314	-0.065979004
1560135406034	TYPE_ACCELEROMETER_UNCALIBRATED	-0.1938324	2.691925	9.302109
1560135406054	TYPE_ACCELEROMETER	0.0036010742	2.5387878	9.340393
1560135406054	TYPE_MAGNETIC_FIELD	7.2599998	20.1	-25.619999
1560135406054	TYPE_GYROSCOPE	-0.043426514	0.004638672	0.020614624
1560135406054	TYPE_ROTATION_VECTOR	0.13951351	0.021750152	0.12299767
1560135406054	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.92	-43.5	-164.7
1560135406054	TYPE_GYROSCOPE_UNCALIBRATED	-0.031143188	0.037872314	-0.065979004
1560135406054	TYPE_ACCELEROMETER_UNCALIBRATED	-0.0945282	2.6285248	9.291336
1560135406073	TYPE_ACCELEROMETER	0.12084961	2.5172577	9.394226
1560135406073	TYPE_MAGNETIC_FIELD	7.02	19.92	-25.859999
1560135406073	TYPE_GYROSCOPE	-0.06297302	-0.016723633	0.015106201
1560135406073	TYPE_ROTATION_VECTOR	0.13909467	0.021713976	0.12321145
1560135406073	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.6800003	-43.68	-164.94
1560135406073	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.028717041	-0.058654785
1560135406073	TYPE_ACCELEROMETER_UNCALIBRATED	0.0036010742	2.5387878	9.340393
1560135406093	TYPE_ACCELEROMETER	0.13998413	2.4801636	9.401413
1560135406093	TYPE_MAGNETIC_FIELD	7.14	19.8	-26.099998
1560135406093	TYPE_GYROSCOPE	-0.06724548	-0.032608032	-0.001373291
1560135406093	TYPE_ROTATION_VECTOR	0.13851178	0.021457363	0.123348415
1560135406093	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.8	-43.8	-165.18
1560135406093	TYPE_GYROSCOPE_UNCALIBRATED	-0.0690155	0.028717041	-0.058654785
1560135406093	TYPE_ACCELEROMETER_UNCALIBRATED	0.12084961	2.5172577	9.394226
1560135406113	TYPE_ACCELEROMETER	0.055038452	2.4993134	9.415756
1560135406113	TYPE_MAGNETIC_FIELD	7.2599998	19.98	-26.34
1560135406113	TYPE_GYROSCOPE	-0.06480408	-0.0075531006	-0.020309448
1560135406113	TYPE_ROTATION_VECTOR	0.13790263	0.021063374	0.12330587
1560135406113	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.8	-43.8	-165.18
1560135406113	TYPE_GYROSCOPE_UNCALIBRATED	-0.073287964	0.012832642	-0.07513428
1560135406113	TYPE_ACCELEROMETER_UNCALIBRATED	0.13998413	2.4801636	9.401413
1560135406132	TYPE_ACCELEROMETER	-0.07658386	2.6045837	9.305695
1560135406132	TYPE_MAGNETIC_FIELD	7.2599998	19.98	-26.34
1560135406132	TYPE_GYROSCOPE	-0.052581787	-0.024047852	-0.04475403
1560135406132	TYPE_ROTATION_VECTOR	0.13790263	0.021063374	0.12330587
1560135406132	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.92	-43.62	-165.42
1560135406132	TYPE_GYROSCOPE_UNCALIBRATED	-0.07084656	0.037887573	-0.094070435
1560135406132	TYPE_ACCELEROMETER_UNCALIBRATED	-0.07658386	2.6045837	9.305695
1560135406152	TYPE_ACCELEROMETER	-0.13041687	2.7182465	9.053253
1560135406152	TYPE_MAGNETIC_FIELD	7.2599998	19.98	-26.34
1560135406152	TYPE_GYROSCOPE	-0.039138794	-0.044830322	-0.04963684
1560135406152	TYPE_ROTATION_VECTOR	0.13790263	0.021063374	0.12330587
1560135406152	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.92	-43.62	-165.42
1560135406152	TYPE_GYROSCOPE_UNCALIBRATED	-0.058624268	0.021392822	-0.118515015
1560135406152	TYPE_ACCELEROMETER_UNCALIBRATED	-0.13041687	2.7182465	9.053253
1560135406172	TYPE_ACCELEROMETER	-0.122039795	2.7673035	8.859436
1560135406172	TYPE_MAGNETIC_FIELD	7.2	19.859999	-26.4
1560135406172	TYPE_GYROSCOPE	-0.047088623	-0.028335571	-0.03314209
1560135406172	TYPE_ROTATION_VECTOR	0.13701044	0.020858811	0.12291866
1560135406172	TYPE_MAGNETIC_FIELD_UNCALIBRATED	4.8599997	-43.739998	-165.48
1560135406172	TYPE_GYROSCOPE_UNCALIBRATED	-0.045181274	6.1035156E-4	-0.12339783
