#	startTime:1560135594641
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167b8	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560135594642	TYPE_WAYPOINT	80.417244	24.221926
1560135594780	TYPE_ACCELEROMETER	0.4343109	2.720642	9.67897
1560135594780	TYPE_MAGNETIC_FIELD	18.84	13.799999	-24.539999
1560135594780	TYPE_GYROSCOPE	0.11630249	0.18026733	1.2203369
1560135594780	TYPE_ROTATION_VECTOR	0.13151103	0.044560995	0.37241742
1560135594780	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.98	-44.52	-169.43999
1560135594780	TYPE_GYROSCOPE_UNCALIBRATED	0.11026001	0.22570801	1.1465759
1560135594780	TYPE_ACCELEROMETER_UNCALIBRATED	0.16989136	2.7912292	9.730423
1560135594800	TYPE_ACCELEROMETER	0.7082825	2.6333008	9.541382
1560135594800	TYPE_MAGNETIC_FIELD	18.96	13.799999	-24.48
1560135594800	TYPE_GYROSCOPE	-0.07336426	0.053527832	0.05177307
1560135594800	TYPE_ROTATION_VECTOR	0.1346003	0.025807472	0.39638922
1560135594800	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.099998	-44.52	-169.37999
1560135594800	TYPE_GYROSCOPE_UNCALIBRATED	-0.07940674	0.098968506	-0.021987915
1560135594800	TYPE_ACCELEROMETER_UNCALIBRATED	0.6089783	2.6488647	9.640686
1560135594820	TYPE_ACCELEROMETER	0.74775696	2.6823578	9.20639
1560135594820	TYPE_MAGNETIC_FIELD	18.96	13.74	-24.539999
1560135594820	TYPE_GYROSCOPE	-0.023254395	0.050460815	0.005340576
1560135594820	TYPE_ROTATION_VECTOR	0.14092496	0.01994064	0.39639235
1560135594820	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.099998	-44.58	-169.43999
1560135594820	TYPE_GYROSCOPE_UNCALIBRATED	-0.029296875	0.09590149	-0.06842041
1560135594820	TYPE_ACCELEROMETER_UNCALIBRATED	0.7381897	2.6560364	9.3703
1560135594839	TYPE_ACCELEROMETER	0.7633209	2.7649078	9.086746
1560135594839	TYPE_MAGNETIC_FIELD	18.84	13.679999	-24.6
1560135594839	TYPE_GYROSCOPE	-0.0018920898	-0.030166626	-0.07467651
1560135594839	TYPE_ROTATION_VECTOR	0.1485503	0.019641804	0.3880301
1560135594839	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.98	-44.64	-169.5
1560135594839	TYPE_GYROSCOPE_UNCALIBRATED	-0.00793457	0.015274048	-0.1484375
1560135594839	TYPE_ACCELEROMETER_UNCALIBRATED	0.7633209	2.720642	9.111877
1560135594859	TYPE_ACCELEROMETER	0.8231354	2.9312134	9.055649
1560135594859	TYPE_MAGNETIC_FIELD	18.779999	13.799999	-24.72
1560135594859	TYPE_GYROSCOPE	-0.01777649	-0.06742859	-0.14248657
1560135594859	TYPE_ROTATION_VECTOR	0.14868608	0.019131035	0.38627392
1560135594859	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.919998	-44.52	-169.62
1560135594859	TYPE_GYROSCOPE_UNCALIBRATED	-0.02381897	-0.021987915	-0.21624756
1560135594859	TYPE_ACCELEROMETER_UNCALIBRATED	0.7633209	2.827118	9.085556
1560135594879	TYPE_ACCELEROMETER	1.0420837	3.122635	8.965912
1560135594879	TYPE_MAGNETIC_FIELD	18.72	13.74	-24.6
1560135594879	TYPE_GYROSCOPE	-0.003112793	-0.05215454	-0.1669159
1560135594879	TYPE_ROTATION_VECTOR	0.14872952	0.01877964	0.38476723
1560135594879	TYPE_MAGNETIC_FIELD_UNCALIBRATED	16.859999	-44.58	-169.5
1560135594879	TYPE_GYROSCOPE_UNCALIBRATED	-0.009155273	-0.006713867	-0.24067688
1560135594879	TYPE_ACCELEROMETER_UNCALIBRATED	0.93200684	3.0329132	9.011368
1560135594898	TYPE_ACCELEROMETER	1.2131653	3.4169464	8.77449
1560135594898	TYPE_MAGNETIC_FIELD	18.96	13.62	-24.539999
1560135594898	TYPE_GYROSCOPE	0.04208374	-0.08879089	-0.19380188
1560135594898	TYPE_ROTATION_VECTOR	0.14909448	0.018514026	0.38310066
1560135594898	TYPE_MAGNETIC_FIELD_UNCALIBRATED	17.099998	-44.7	-169.43999
