#	startTime:1560135807495
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167b8	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560135807495	TYPE_WAYPOINT	48.510075	39.054695
1560135807617	TYPE_ACCELEROMETER	-0.9009094	3.949356	8.846268
1560135807617	TYPE_MAGNETIC_FIELD	-32.399998	-11.099999	-38.1
1560135807617	TYPE_GYROSCOPE	-0.22485352	0.20500183	0.6528473
1560135807617	TYPE_ROTATION_VECTOR	0.20055385	-0.097822204	-0.6459036
1560135807617	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.979996	-64.62	-165.18
1560135807617	TYPE_GYROSCOPE_UNCALIBRATED	-0.230896	0.2504425	0.5790863
1560135807617	TYPE_ACCELEROMETER_UNCALIBRATED	-1.1413727	4.0797577	8.756531
1560135807637	TYPE_ACCELEROMETER	-0.6867523	3.866806	8.853455
1560135807637	TYPE_MAGNETIC_FIELD	-32.1	-10.86	-38.04
1560135807637	TYPE_GYROSCOPE	-0.06541443	0.115219116	0.2982483
1560135807637	TYPE_ROTATION_VECTOR	0.18895584	-0.0972794	-0.62949604
1560135807637	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.68	-64.38	-165.12
1560135807637	TYPE_GYROSCOPE_UNCALIBRATED	-0.17774963	0.22052002	0.46089172
1560135807637	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9009094	3.949356	8.846268
1560135807657	TYPE_ACCELEROMETER	-0.7537384	3.8440704	8.913269
1560135807657	TYPE_MAGNETIC_FIELD	-32.1	-10.559999	-37.86
1560135807657	TYPE_GYROSCOPE	-0.011047363	0.14086914	0.18675232
1560135807657	TYPE_ROTATION_VECTOR	0.1790464	-0.103246085	-0.62879694
1560135807657	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.68	-64.08	-164.94
1560135807657	TYPE_GYROSCOPE_UNCALIBRATED	-0.017089844	0.15026855	0.11116028
1560135807657	TYPE_ACCELEROMETER_UNCALIBRATED	-0.6867523	3.866806	8.853455
1560135807676	TYPE_ACCELEROMETER	-0.8147583	3.824936	9.176483
1560135807676	TYPE_MAGNETIC_FIELD	-31.92	-10.38	-37.62
1560135807676	TYPE_GYROSCOPE	-0.038528442	0.1756897	0.16781616
1560135807676	TYPE_ROTATION_VECTOR	0.17808726	-0.1025184	-0.6420495
1560135807676	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.5	-63.9	-164.7
1560135807676	TYPE_GYROSCOPE_UNCALIBRATED	-0.025024414	0.21134949	0.10444641
1560135807676	TYPE_ACCELEROMETER_UNCALIBRATED	-0.7537384	3.8440704	8.913269
1560135807696	TYPE_ACCELEROMETER	-0.8016052	3.936203	9.477982
1560135807696	TYPE_MAGNETIC_FIELD	-31.8	-10.32	-37.32
1560135807696	TYPE_GYROSCOPE	-0.083740234	0.1121521	0.15437317
1560135807696	TYPE_ROTATION_VECTOR	0.17242493	-0.10028333	-0.65685946
1560135807696	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.379997	-63.84	-164.4
1560135807696	TYPE_GYROSCOPE_UNCALIBRATED	-0.069625854	0.20341492	0.085510254
1560135807696	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8147583	3.824936	9.176483
1560135807716	TYPE_ACCELEROMETER	-0.8279114	4.04747	9.527023
1560135807716	TYPE_MAGNETIC_FIELD	-31.56	-9.96	-37.02
1560135807716	TYPE_GYROSCOPE	-0.084350586	0.042526245	0.14949036
1560135807716	TYPE_ROTATION_VECTOR	0.17049038	-0.10157464	-0.65717465
1560135807716	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.14	-63.48	-164.09999
1560135807716	TYPE_GYROSCOPE_UNCALIBRATED	-0.09893799	0.114227295	0.07817078
1560135807716	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8016052	3.936203	9.477982
1560135807735	TYPE_ACCELEROMETER	-0.7238312	4.1898346	9.396622
