#	startTime:1560135962145
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167b8	FloorName:F1
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560135962146	TYPE_WAYPOINT	50.903378	36.04113
1560135962279	TYPE_ACCELEROMETER	-0.44985962	1.8867493	8.470596
1560135962279	TYPE_MAGNETIC_FIELD	11.82	12.36	-35.88
1560135962279	TYPE_GYROSCOPE	-0.075790405	0.115219116	0.22341919
1560135962279	TYPE_ROTATION_VECTOR	0.0941343	0.059875153	0.2304295
1560135962279	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.299999	-44.1	-169.98
1560135962279	TYPE_GYROSCOPE_UNCALIBRATED	-0.097717285	0.081848145	-0.050079346
1560135962279	TYPE_ACCELEROMETER_UNCALIBRATED	-0.32661438	1.9860382	8.443085
1560135962299	TYPE_ACCELEROMETER	-0.28234863	2.121231	8.350952
1560135962299	TYPE_MAGNETIC_FIELD	12.0	12.42	-35.64
1560135962299	TYPE_GYROSCOPE	-0.020217896	0.11766052	0.3474121
1560135962299	TYPE_ROTATION_VECTOR	0.105414994	0.048008505	0.26318645
1560135962299	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.48	-44.04	-169.73999
1560135962299	TYPE_GYROSCOPE_UNCALIBRATED	-0.05557251	0.21624756	0.32618713
1560135962299	TYPE_ACCELEROMETER_UNCALIBRATED	-0.31825256	2.2755737	8.154739
1560135962319	TYPE_ACCELEROMETER	-0.38046265	2.4717865	7.8879395
1560135962319	TYPE_MAGNETIC_FIELD	12.24	12.54	-35.28
1560135962319	TYPE_GYROSCOPE	0.064071655	-0.025268555	0.23500061
1560135962319	TYPE_ROTATION_VECTOR	0.12668419	0.052275605	0.2489858
1560135962319	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-43.92	-169.37999
1560135962319	TYPE_GYROSCOPE_UNCALIBRATED	0.015274048	0.09284973	0.21440125
1560135962319	TYPE_ACCELEROMETER_UNCALIBRATED	-0.44148254	2.7050934	7.5792694
1560135962338	TYPE_ACCELEROMETER	-0.5036926	2.9312134	7.2502594
1560135962338	TYPE_MAGNETIC_FIELD	12.48	12.719999	-35.28
1560135962338	TYPE_GYROSCOPE	0.11904907	-0.07597351	0.17759705
1560135962338	TYPE_ROTATION_VECTOR	0.15964203	0.06345662	0.21250728
1560135962338	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.959999	-43.739998	-169.37999
1560135962338	TYPE_GYROSCOPE_UNCALIBRATED	0.09346008	-0.025039673	0.12399292
1560135962338	TYPE_ACCELEROMETER_UNCALIBRATED	-0.55752563	3.1202545	6.973877
1560135962358	TYPE_ACCELEROMETER	-0.59461975	3.2817688	6.830307
1560135962358	TYPE_MAGNETIC_FIELD	12.78	12.719999	-35.04
1560135962358	TYPE_GYROSCOPE	0.09034729	-0.024658203	0.1782074
1560135962358	TYPE_ROTATION_VECTOR	0.19809513	0.07484719	0.18637569
1560135962358	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.259999	-43.739998	-169.13998
1560135962358	TYPE_GYROSCOPE_UNCALIBRATED	0.046432495	0.051315308	0.11177063
1560135962358	TYPE_ACCELEROMETER_UNCALIBRATED	-0.62931824	3.427719	6.829117
1560135962378	TYPE_ACCELEROMETER	-0.73579407	3.5330048	6.964325
1560135962378	TYPE_MAGNETIC_FIELD	13.0199995	12.84	-34.92
1560135962378	TYPE_GYROSCOPE	0.009719849	0.047409058	0.19224548
1560135962378	TYPE_ROTATION_VECTOR	0.19944283	0.07422965	0.18778476
1560135962378	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.499999	-43.62	-169.01999
1560135962378	TYPE_GYROSCOPE_UNCALIBRATED	-0.037246704	0.14477539	0.13009644
1560135962378	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8877411	3.591629	7.2059937
1560135962397	TYPE_ACCELEROMETER	-0.977478	3.6059875	7.471588
1560135962397	TYPE_MAGNETIC_FIELD	13.0199995	12.719999	-34.739998
1560135962397	TYPE_GYROSCOPE	-0.06602478	0.15065002	0.22523499
1560135962397	TYPE_ROTATION_VECTOR	0.20006482	0.07401592	0.18950169
1560135962397	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.499999	-43.739998	-168.84
1560135962397	TYPE_GYROSCOPE_UNCALIBRATED	-0.037246704	0.14477539	0.13009644
1560135962397	TYPE_ACCELEROMETER_UNCALIBRATED	-1.0205383	3.5700989	7.762329
1560135962417	TYPE_ACCELEROMETER	-1.0289154	3.5114746	8.051849
1560135962417	TYPE_MAGNETIC_FIELD	13.32	12.36	-35.04
1560135962417	TYPE_GYROSCOPE	-0.11795044	0.20074463	0.2735138
1560135962417	TYPE_ROTATION_VECTOR	0.19973922	0.07448724	0.19163343
1560135962417	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.799999	-44.1	-169.13998
1560135962417	TYPE_GYROSCOPE_UNCALIBRATED	-0.10139465	0.23457336	0.17835999
1560135962417	TYPE_ACCELEROMETER_UNCALIBRATED	-0.9858551	3.468399	8.300705
1560135962437	TYPE_ACCELEROMETER	-0.93440247	3.4337006	8.550751
1560135962437	TYPE_MAGNETIC_FIELD	13.44	12.36	-34.98
1560135962437	TYPE_GYROSCOPE	-0.14971924	0.1622467	0.28755188
1560135962437	TYPE_ROTATION_VECTOR	0.19867419	0.07558836	0.19443916
1560135962437	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.919999	-44.1	-169.07999
1560135962437	TYPE_GYROSCOPE_UNCALIBRATED	-0.14109802	0.230896	0.21134949
1560135962437	TYPE_ACCELEROMETER_UNCALIBRATED	-0.92004395	3.3810577	8.805588
1560135962456	TYPE_ACCELEROMETER	-0.9176483	3.3332062	9.04129
1560135962456	TYPE_MAGNETIC_FIELD	13.799999	12.24	-34.92
1560135962456	TYPE_GYROSCOPE	-0.17048645	0.12010193	0.2747345
1560135962456	TYPE_ROTATION_VECTOR	0.19726324	0.07651891	0.1975776
