#	startTime:1560136736969
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167ba	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560136736969	TYPE_WAYPOINT	59.608383	69.79024
1560136737096	TYPE_ACCELEROMETER	0.6795654	2.9659119	9.4205475
1560136737096	TYPE_MAGNETIC_FIELD	-29.82	6.8399997	-34.44
1560136737096	TYPE_GYROSCOPE	0.26261902	0.6109314	-0.0697937
1560136737096	TYPE_ROTATION_VECTOR	0.09391472	-0.11140482	-0.48622194
1560136737096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.4	-54.78	-172.92
1560136737096	TYPE_GYROSCOPE_UNCALIBRATED	0.56077576	1.4233093	-0.2773285
1560136737096	TYPE_ACCELEROMETER_UNCALIBRATED	0.6795654	2.9659119	9.4205475
1560136737116	TYPE_ACCELEROMETER	0.5419769	2.9611206	8.770889
1560136737116	TYPE_MAGNETIC_FIELD	-29.939999	6.72	-34.14
1560136737116	TYPE_GYROSCOPE	0.17707825	0.35040283	0.0010681152
1560136737116	TYPE_ROTATION_VECTOR	0.10430483	-0.107558586	-0.50245804
1560136737116	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.519999	-54.899998	-172.62
1560136737116	TYPE_GYROSCOPE_UNCALIBRATED	0.4593811	1.1676636	-0.23274231
1560136737116	TYPE_ACCELEROMETER_UNCALIBRATED	0.5419769	2.9611206	8.770889
1560136737136	TYPE_ACCELEROMETER	0.6305084	2.9850464	8.529221
1560136737136	TYPE_MAGNETIC_FIELD	-29.939999	6.72	-33.899998
1560136737136	TYPE_GYROSCOPE	0.064071655	0.31253052	0.020004272
1560136737136	TYPE_ROTATION_VECTOR	0.121576644	-0.10295222	-0.48273763
1560136737136	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-26.519999	-54.899998	-172.37999
1560136737136	TYPE_GYROSCOPE_UNCALIBRATED	0.16921997	0.40194702	-0.08979797
1560136737136	TYPE_ACCELEROMETER_UNCALIBRATED	0.6305084	2.9850464	8.529221
