#	startTime:1560136972028
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167ba	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560136972029	TYPE_WAYPOINT	63.228424	22.031353
1560136972166	TYPE_ACCELEROMETER	0.36131287	2.913269	9.533005
1560136972166	TYPE_MAGNETIC_FIELD	10.8	12.24	-51.719997
1560136972166	TYPE_GYROSCOPE	0.026824951	-0.022232056	-0.02519226
1560136972166	TYPE_ROTATION_VECTOR	0.14338376	0.013475755	0.2061127
1560136972166	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.66	-42.120003	-176.04
1560136972166	TYPE_GYROSCOPE_UNCALIBRATED	-0.0119018555	0.032073975	-0.05192566
1560136972166	TYPE_ACCELEROMETER_UNCALIBRATED	0.36131287	2.913269	9.533005
1560136972186	TYPE_ACCELEROMETER	0.5611267	2.8857574	9.092728
1560136972186	TYPE_MAGNETIC_FIELD	10.8	12.179999	-51.66
1560136972186	TYPE_GYROSCOPE	0.039031982	-0.012451172	-0.019088745
1560136972186	TYPE_ROTATION_VECTOR	0.15107125	0.010899069	0.22271648
1560136972186	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.66	-42.18	-175.98
1560136972186	TYPE_GYROSCOPE_UNCALIBRATED	0.02078247	0.023208618	-0.09895325
1560136972186	TYPE_ACCELEROMETER_UNCALIBRATED	0.5611267	2.8857574	9.092728
1560136972206	TYPE_ACCELEROMETER	0.7298126	2.8893433	8.936005
1560136972206	TYPE_MAGNETIC_FIELD	10.62	12.179999	-51.66
1560136972206	TYPE_GYROSCOPE	-0.014099121	0.013198853	-0.03375244
1560136972206	TYPE_ROTATION_VECTOR	0.15788573	1.0900872E-5	0.2196825
1560136972206	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.48	-42.18	-175.98
1560136972206	TYPE_GYROSCOPE_UNCALIBRATED	0.032989502	0.032989502	-0.09284973
1560136972206	TYPE_ACCELEROMETER_UNCALIBRATED	0.7298126	2.8893433	8.936005
1560136972225	TYPE_ACCELEROMETER	0.7334137	2.8905334	8.985062
1560136972225	TYPE_MAGNETIC_FIELD	10.62	12.059999	-51.6
1560136972225	TYPE_GYROSCOPE	-0.0892334	0.013809204	-0.063690186
1560136972225	TYPE_ROTATION_VECTOR	0.16015238	-3.8677055E-4	0.2456437
1560136972225	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.48	-42.300003	-175.92
1560136972225	TYPE_GYROSCOPE_UNCALIBRATED	-0.09527588	0.059249878	-0.13745117
1560136972225	TYPE_ACCELEROMETER_UNCALIBRATED	0.7334137	2.8905334	8.985062
1560136972245	TYPE_ACCELEROMETER	0.68673706	2.8881378	9.253052
1560136972245	TYPE_MAGNETIC_FIELD	10.74	11.88	-51.719997
1560136972245	TYPE_GYROSCOPE	-0.14666748	-0.020996094	-0.10032654
1560136972245	TYPE_ROTATION_VECTOR	0.15626004	-3.8677462E-7	0.25337675
1560136972245	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.599999	-42.48	-176.04
1560136972245	TYPE_GYROSCOPE_UNCALIBRATED	-0.09527588	0.059249878	-0.13745117
1560136972245	TYPE_ACCELEROMETER_UNCALIBRATED	0.68673706	2.8881378	9.253052
1560136972265	TYPE_ACCELEROMETER	0.5778656	2.9431763	9.357132
1560136972265	TYPE_MAGNETIC_FIELD	10.8	11.639999	-51.78
1560136972265	TYPE_GYROSCOPE	-0.152771	-0.057647705	-0.12416077
1560136972265	TYPE_ROTATION_VECTOR	0.1522729	0.006539623	0.24683836
1560136972265	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.66	-42.72	-176.1
1560136972265	TYPE_GYROSCOPE_UNCALIBRATED	-0.15270996	0.02444458	-0.17408752
1560136972265	TYPE_ACCELEROMETER_UNCALIBRATED	0.5778656	2.9431763	9.357132
1560136972284	TYPE_ACCELEROMETER	0.58026123	3.0257263	9.32843
1560136972284	TYPE_MAGNETIC_FIELD	10.74	11.759999	-52.079998
1560136972284	TYPE_GYROSCOPE	-0.11795044	-0.08880615	-0.13760376
1560136972284	TYPE_ROTATION_VECTOR	0.15089335	0.006002233	0.24571559
1560136972284	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.599999	-42.600002	-176.4
1560136972284	TYPE_GYROSCOPE_UNCALIBRATED	-0.15881348	-0.012207031	-0.19792175
