#	startTime:1560137044968
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167ba	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137044969	TYPE_WAYPOINT	73.35301	21.904707
1560137045096	TYPE_ACCELEROMETER	0.38523865	3.1549377	10.072586
1560137045096	TYPE_MAGNETIC_FIELD	-41.94	3.4199998	-28.98
1560137045096	TYPE_GYROSCOPE	0.029876709	0.15097046	0.16293335
1560137045096	TYPE_ROTATION_VECTOR	0.10468357	-0.10131179	-0.5942001
1560137045096	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.579998	-53.22	-168.9
1560137045096	TYPE_GYROSCOPE_UNCALIBRATED	-0.018310547	0.24191284	0.13192749
1560137045096	TYPE_ACCELEROMETER_UNCALIBRATED	0.4355011	3.2195435	9.730423
1560137045116	TYPE_ACCELEROMETER	0.56710815	3.2686005	9.341583
1560137045116	TYPE_MAGNETIC_FIELD	-42.0	3.36	-28.859999
1560137045116	TYPE_GYROSCOPE	0.1776886	0.015655518	0.051757812
1560137045116	TYPE_ROTATION_VECTOR	0.1141447	-0.112222984	-0.5951091
1560137045116	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.64	-53.28	-168.78
1560137045116	TYPE_GYROSCOPE_UNCALIBRATED	0.10812378	0.1053772	0.0036621094
1560137045116	TYPE_ACCELEROMETER_UNCALIBRATED	0.75971985	3.3044891	8.983856
1560137045136	TYPE_ACCELEROMETER	0.9451752	3.328415	8.702698
1560137045136	TYPE_MAGNETIC_FIELD	-41.94	3.3	-28.619999
1560137045136	TYPE_GYROSCOPE	0.19784546	0.051071167	0.100631714
1560137045136	TYPE_ROTATION_VECTOR	0.11741226	-0.13483751	-0.57984525
1560137045136	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.579998	-53.34	-168.54
1560137045136	TYPE_GYROSCOPE_UNCALIBRATED	0.1973114	0.07147217	0.00793457
1560137045136	TYPE_ACCELEROMETER_UNCALIBRATED	1.0959167	3.348755	8.541183
1560137045155	TYPE_ACCELEROMETER	1.2023926	3.3810577	8.524429
1560137045155	TYPE_MAGNETIC_FIELD	-41.879997	3.3	-28.32
1560137045155	TYPE_GYROSCOPE	0.11723328	0.14086914	0.10734558
1560137045155	TYPE_ROTATION_VECTOR	0.11622004	-0.15518315	-0.5638246
1560137045155	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.519997	-53.34	-168.23999
1560137045155	TYPE_GYROSCOPE_UNCALIBRATED	0.16065979	0.13682556	0.034194946
1560137045155	TYPE_ACCELEROMETER_UNCALIBRATED	1.257431	3.4073792	8.577072
1560137045175	TYPE_ACCELEROMETER	1.2873383	3.4013977	8.69194
1560137045175	TYPE_MAGNETIC_FIELD	-41.76	3.4199998	-28.26
1560137045175	TYPE_GYROSCOPE	-0.0049438477	0.16897583	0.08781433
1560137045175	TYPE_ROTATION_VECTOR	0.11715479	-0.16065368	-0.54287004
1560137045175	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.399998	-53.22	-168.18
1560137045175	TYPE_GYROSCOPE_UNCALIBRATED	0.051940918	0.22113037	0.02748108
1560137045175	TYPE_ACCELEROMETER_UNCALIBRATED	1.2789764	3.378662	8.892929
1560137045195	TYPE_ACCELEROMETER	1.2203522	3.3439636	9.08316
1560137045195	TYPE_MAGNETIC_FIELD	-41.7	3.6	-27.9
1560137045195	TYPE_GYROSCOPE	-0.108169556	0.035812378	0.03955078
1560137045195	TYPE_ROTATION_VECTOR	0.11135481	-0.1550525	-0.54591507
1560137045195	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.34	-53.04	-167.81999
1560137045195	TYPE_GYROSCOPE_UNCALIBRATED	-0.070236206	0.1618805	-0.007949829
1560137045195	TYPE_ACCELEROMETER_UNCALIBRATED	1.174881	3.3296204	9.209976
1560137045214	TYPE_ACCELEROMETER	1.1509552	3.3391876	9.336792
1560137045214	TYPE_MAGNETIC_FIELD	-41.76	3.9599998	-27.9
1560137045214	TYPE_GYROSCOPE	-0.13442993	-0.10284424	0.0059509277
1560137045214	TYPE_ROTATION_VECTOR	0.110622026	-0.15422146	-0.5457232
1560137045214	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.399998	-52.68	-167.81999
1560137045214	TYPE_GYROSCOPE_UNCALIBRATED	-0.1368103	-0.0018310547	-0.05619812
1560137045214	TYPE_ACCELEROMETER_UNCALIBRATED	1.1222382	3.3272247	9.471985
1560137045234	TYPE_ACCELEROMETER	1.100708	3.287735	9.501907
1560137045234	TYPE_MAGNETIC_FIELD	-41.579998	3.84	-27.66
1560137045234	TYPE_GYROSCOPE	-0.08068848	-0.11079407	0.007171631
1560137045234	TYPE_ROTATION_VECTOR	0.10898918	-0.15432683	-0.5459879
1560137045234	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.219997	-52.8	-167.58
1560137045234	TYPE_GYROSCOPE_UNCALIBRATED	-0.12521362	-0.07267761	-0.070251465
1560137045234	TYPE_ACCELEROMETER_UNCALIBRATED	1.1222382	3.3272247	9.471985
1560137045254	TYPE_ACCELEROMETER	1.1485596	3.308075	9.119049
1560137045254	TYPE_MAGNETIC_FIELD	-41.64	3.84	-27.599998
1560137045254	TYPE_GYROSCOPE	0.024368286	-0.06803894	0.021224976
1560137045254	TYPE_ROTATION_VECTOR	0.107735	-0.1547876	-0.5461713
1560137045254	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.28	-52.8	-167.51999
1560137045254	TYPE_GYROSCOPE_UNCALIBRATED	-0.030532837	-0.05130005	-0.059249878
1560137045254	TYPE_ACCELEROMETER_UNCALIBRATED	1.1031036	3.274582	9.367905
1560137045273	TYPE_ACCELEROMETER	1.2083893	3.345169	8.785263
1560137045273	TYPE_MAGNETIC_FIELD	-41.579998	3.8999999	-27.599998
1560137045273	TYPE_GYROSCOPE	0.044525146	0.04801941	0.016952515
1560137045273	TYPE_ROTATION_VECTOR	0.10752745	-0.15548483	-0.54603785
1560137045273	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.219997	-52.739998	-167.51999
1560137045273	TYPE_GYROSCOPE_UNCALIBRATED	0.03970337	0.029327393	-0.051315308
1560137045273	TYPE_ACCELEROMETER_UNCALIBRATED	1.2071838	3.348755	8.8941345
1560137045293	TYPE_ACCELEROMETER	1.0002136	3.2566376	8.731415
1560137045293	TYPE_MAGNETIC_FIELD	-41.64	4.02	-27.599998
1560137045293	TYPE_GYROSCOPE	0.0103302	0.14453125	0.0010681152
1560137045293	TYPE_ROTATION_VECTOR	0.10752745	-0.15548483	-0.54603785
1560137045293	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-41.219997	-52.739998	-167.51999
1560137045293	TYPE_GYROSCOPE_UNCALIBRATED	0.025665283	0.15148926	-0.06536865
1560137045293	TYPE_ACCELEROMETER_UNCALIBRATED	1.1234436	3.296112	8.748169
1560137045313	TYPE_ACCELEROMETER	0.8003998	3.233902	8.779266
1560137045313	TYPE_MAGNETIC_FIELD	-41.64	3.9599998	-27.72
