#	startTime:1560137177349
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167ba	FloorName:F2
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137177349	TYPE_WAYPOINT	68.41737	52.880375
1560137177451	TYPE_ACCELEROMETER	0.2967224	2.7350006	9.766312
1560137177451	TYPE_MAGNETIC_FIELD	8.16	12.12	-37.26
1560137177451	TYPE_GYROSCOPE	-0.21017456	0.5446472	1.4286346
1560137177451	TYPE_ROTATION_VECTOR	0.1370765	4.955706E-6	0.24140935
1560137177451	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.5199995	-44.52	-177.18
1560137177451	TYPE_GYROSCOPE_UNCALIBRATED	-0.21621704	0.5900879	1.3548737
1560137177451	TYPE_ACCELEROMETER_UNCALIBRATED	0.2967224	2.7350006	9.766312
1560137177471	TYPE_ACCELEROMETER	0.16989136	2.773285	9.481567
1560137177471	TYPE_MAGNETIC_FIELD	8.22	12.059999	-37.26
1560137177471	TYPE_GYROSCOPE	-0.03152466	0.12774658	0.24389648
1560137177471	TYPE_ROTATION_VECTOR	0.13532491	0.015115911	0.21086268
1560137177471	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.58	-44.58	-177.18
1560137177471	TYPE_GYROSCOPE_UNCALIBRATED	-0.21621704	0.5900879	1.3548737
1560137177471	TYPE_ACCELEROMETER_UNCALIBRATED	0.16989136	2.773285	9.481567
1560137177491	TYPE_ACCELEROMETER	0.3361969	2.7936249	9.233902
1560137177491	TYPE_MAGNETIC_FIELD	8.22	11.94	-37.32
1560137177491	TYPE_GYROSCOPE	0.056747437	0.031539917	-0.12965393
1560137177491	TYPE_ROTATION_VECTOR	0.14012204	0.01921513	0.19159849
1560137177491	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.58	-44.7	-177.23999
1560137177491	TYPE_GYROSCOPE_UNCALIBRATED	-0.03756714	0.17318726	0.1701355
1560137177491	TYPE_ACCELEROMETER_UNCALIBRATED	0.3361969	2.7936249	9.233902
1560137177510	TYPE_ACCELEROMETER	0.40559387	2.8582306	9.084351
1560137177510	TYPE_MAGNETIC_FIELD	8.34	11.759999	-37.38
1560137177510	TYPE_GYROSCOPE	0.072021484	0.0974884	-0.12658691
1560137177510	TYPE_ROTATION_VECTOR	0.14662719	0.014869258	0.2101671
1560137177510	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.7	-44.88	-177.3
1560137177510	TYPE_GYROSCOPE_UNCALIBRATED	0.050704956	0.07698059	-0.20341492
1560137177510	TYPE_ACCELEROMETER_UNCALIBRATED	0.40559387	2.8582306	9.084351
1560137177530	TYPE_ACCELEROMETER	0.47257996	2.892929	8.987442
1560137177530	TYPE_MAGNETIC_FIELD	8.4	11.7	-37.32
1560137177530	TYPE_GYROSCOPE	0.053085327	0.14758301	-0.12844849
1560137177530	TYPE_ROTATION_VECTOR	0.152586	0.012331969	0.21101925
1560137177530	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.759999	-44.94	-177.23999
1560137177530	TYPE_GYROSCOPE_UNCALIBRATED	0.065979004	0.14292908	-0.2003479
1560137177530	TYPE_ACCELEROMETER_UNCALIBRATED	0.47257996	2.892929	8.987442
1560137177550	TYPE_ACCELEROMETER	0.4283142	2.9527435	8.969498
1560137177550	TYPE_MAGNETIC_FIELD	8.46	11.82	-37.32
1560137177550	TYPE_GYROSCOPE	-0.0037384033	0.102996826	-0.15899658
1560137177550	TYPE_ROTATION_VECTOR	0.15679035	0.008065142	0.20026332
1560137177550	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.82	-44.82	-177.23999
1560137177550	TYPE_GYROSCOPE_UNCALIBRATED	0.047042847	0.19302368	-0.20220947
1560137177550	TYPE_ACCELEROMETER_UNCALIBRATED	0.4283142	2.9527435	8.969498
1560137177569	TYPE_ACCELEROMETER	0.24885559	3.0352936	9.046066
1560137177569	TYPE_MAGNETIC_FIELD	8.5199995	11.759999	-37.38
1560137177569	TYPE_GYROSCOPE	-0.072128296	0.01626587	-0.1864624
1560137177569	TYPE_ROTATION_VECTOR	0.15912536	0.009553166	0.19432971
1560137177569	TYPE_MAGNETIC_FIELD_UNCALIBRATED	8.879999	-44.88	-177.3
1560137177569	TYPE_GYROSCOPE_UNCALIBRATED	-0.07817078	0.061706543	-0.2602234
1560137177569	TYPE_ACCELEROMETER_UNCALIBRATED	0.24885559	3.0352936	9.046066
1560137177589	TYPE_ACCELEROMETER	0.0335083	3.1609192	9.160919
1560137177589	TYPE_MAGNETIC_FIELD	8.639999	11.94	-37.559998
1560137177589	TYPE_GYROSCOPE	-0.1234436	-0.028930664	-0.1797638
