#	startTime:1560137636309
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167bc	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137636309	TYPE_WAYPOINT	73.64933	22.623346
1560137636469	TYPE_ACCELEROMETER	0.5694885	3.5964203	7.905884
1560137636469	TYPE_MAGNETIC_FIELD	-36.78	-0.12	-33.3
1560137636469	TYPE_GYROSCOPE	0.15814209	0.24227905	-0.010543823
1560137636469	TYPE_ROTATION_VECTOR	0.13846426	-0.13827476	-0.56305236
1560137636469	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.32	-60.539997	-164.94
1560137636469	TYPE_GYROSCOPE_UNCALIBRATED	0.4080658	0.07148743	-0.60292053
1560137636469	TYPE_ACCELEROMETER_UNCALIBRATED	0.5694885	3.5964203	7.905884
1560137636489	TYPE_ACCELEROMETER	0.53359985	3.6263275	7.9944305
1560137636489	TYPE_MAGNETIC_FIELD	-36.78	0.0	-33.239998
1560137636489	TYPE_GYROSCOPE	0.04698181	0.33940125	0.060317993
1560137636489	TYPE_ROTATION_VECTOR	0.15340424	-0.14281908	-0.5374152
1560137636489	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.32	-60.42	-164.88
1560137636489	TYPE_GYROSCOPE_UNCALIBRATED	0.4080658	0.07148743	-0.60292053
1560137636489	TYPE_ACCELEROMETER_UNCALIBRATED	0.53359985	3.6263275	7.9944305
1560137636509	TYPE_ACCELEROMETER	0.67477417	3.5976105	8.624939
1560137636509	TYPE_MAGNETIC_FIELD	-36.6	0.0	-33.0
1560137636509	TYPE_GYROSCOPE	-0.10206604	0.33329773	0.12628174
1560137636509	TYPE_ROTATION_VECTOR	0.16071238	-0.14418729	-0.54282117
1560137636509	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.14	-60.42	-164.64
1560137636509	TYPE_GYROSCOPE_UNCALIBRATED	0.10873413	0.349411	-0.05253601
1560137636509	TYPE_ACCELEROMETER_UNCALIBRATED	0.67477417	3.5976105	8.624939
1560137636528	TYPE_ACCELEROMETER	0.6915283	3.4731903	9.134598
1560137636528	TYPE_MAGNETIC_FIELD	-36.6	0.24	-32.76
1560137636528	TYPE_GYROSCOPE	-0.21324158	0.24716187	0.1635437
1560137636528	TYPE_ROTATION_VECTOR	0.15099463	-0.1411687	-0.53883183
1560137636528	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.14	-60.179996	-164.4
1560137636528	TYPE_GYROSCOPE_UNCALIBRATED	-0.036636353	0.39279175	0.02381897
1560137636528	TYPE_ACCELEROMETER_UNCALIBRATED	0.67477417	3.5976105	8.624939
1560137636548	TYPE_ACCELEROMETER	0.62931824	3.3272247	9.598816
1560137636548	TYPE_MAGNETIC_FIELD	-36.48	0.17999999	-32.34
1560137636548	TYPE_GYROSCOPE	-0.3146515	0.1885376	0.1647644
1560137636548	TYPE_ROTATION_VECTOR	0.13102365	-0.13857089	-0.57304776
1560137636548	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-34.02	-60.239998	-163.98
1560137636548	TYPE_GYROSCOPE_UNCALIBRATED	-0.16674805	0.34147644	0.07450867
1560137636548	TYPE_ACCELEROMETER_UNCALIBRATED	0.6915283	3.4731903	9.134598
1560137636568	TYPE_ACCELEROMETER	0.64367676	3.2183533	10.017563
1560137636568	TYPE_MAGNETIC_FIELD	-36.239998	0.29999998	-32.28
1560137636568	TYPE_GYROSCOPE	-0.34335327	0.13781738	0.15927124
1560137636568	TYPE_ROTATION_VECTOR	0.13007446	-0.1360761	-0.5743521
1560137636568	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.78	-60.12	-163.92
1560137636568	TYPE_GYROSCOPE_UNCALIBRATED	-0.3487854	0.2107544	0.08734131
1560137636568	TYPE_ACCELEROMETER_UNCALIBRATED	0.64367676	3.2183533	10.017563
1560137636587	TYPE_ACCELEROMETER	0.81715393	3.2434692	10.0247345
1560137636587	TYPE_MAGNETIC_FIELD	-36.0	0.53999996	-32.16
1560137636587	TYPE_GYROSCOPE	-0.27005005	0.0920105	0.13543701
1560137636587	TYPE_ROTATION_VECTOR	0.12846133	-0.13303992	-0.5732402
1560137636587	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.78	-60.12	-163.92
1560137636587	TYPE_GYROSCOPE_UNCALIBRATED	-0.3487854	0.2107544	0.08734131
1560137636587	TYPE_ACCELEROMETER_UNCALIBRATED	0.64367676	3.2183533	10.017563
1560137636607	TYPE_ACCELEROMETER	0.8949127	3.3439636	9.759125
1560137636607	TYPE_MAGNETIC_FIELD	-36.0	0.53999996	-32.16
1560137636607	TYPE_GYROSCOPE	-0.12588501	0.074905396	0.073135376
1560137636607	TYPE_ROTATION_VECTOR	0.12846133	-0.13303992	-0.5732402
1560137636607	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-33.54	-59.879997	-163.8
1560137636607	TYPE_GYROSCOPE_UNCALIBRATED	-0.32313538	0.15638733	0.07878113
1560137636607	TYPE_ACCELEROMETER_UNCALIBRATED	0.8949127	3.3439636	9.759125
