#	startTime:1560137727034
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167bc	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137727035	TYPE_WAYPOINT	73.254776	42.315132
1560137727162	TYPE_ACCELEROMETER	-1.6366882	1.5696869	10.185059
1560137727162	TYPE_MAGNETIC_FIELD	17.88	-12.3	-27.3
1560137727162	TYPE_GYROSCOPE	-0.03640747	0.2734375	0.41156006
1560137727162	TYPE_ROTATION_VECTOR	-0.00905739	0.12752673	0.82500076
1560137727162	TYPE_MAGNETIC_FIELD_UNCALIBRATED	23.88	-76.98	-174.3
1560137727162	TYPE_GYROSCOPE_UNCALIBRATED	-0.16491699	0.2761078	0.42391968
1560137727162	TYPE_ACCELEROMETER_UNCALIBRATED	-1.7359924	1.8879395	9.78067
1560137727182	TYPE_ACCELEROMETER	-1.396225	1.2502594	10.37648
1560137727182	TYPE_MAGNETIC_FIELD	18.0	-12.24	-27.18
1560137727182	TYPE_GYROSCOPE	0.35118103	0.45181274	0.17453003
1560137727182	TYPE_ROTATION_VECTOR	-0.022925822	0.12479086	0.8418625
1560137727182	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-76.92	-174.18
1560137727182	TYPE_GYROSCOPE_UNCALIBRATED	-0.04244995	0.31887817	0.33779907
1560137727182	TYPE_ACCELEROMETER_UNCALIBRATED	-1.4955139	1.3531494	10.509277
1560137727202	TYPE_ACCELEROMETER	-1.080368	1.1976166	9.272202
1560137727202	TYPE_MAGNETIC_FIELD	18.0	-12.12	-26.699999
1560137727202	TYPE_GYROSCOPE	0.440979	0.55870056	0.26005554
1560137727202	TYPE_ROTATION_VECTOR	-0.029615903	0.088943325	0.86829096
1560137727202	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-76.8	-173.7
1560137727202	TYPE_GYROSCOPE_UNCALIBRATED	0.34513855	0.49725342	0.10076904
1560137727202	TYPE_ACCELEROMETER_UNCALIBRATED	-1.2837524	1.1808624	9.872787
1560137727221	TYPE_ACCELEROMETER	-0.57069397	1.414154	8.164322
1560137727221	TYPE_MAGNETIC_FIELD	18.0	-12.24	-26.34
1560137727221	TYPE_GYROSCOPE	0.3908844	0.46098328	0.2771759
1560137727221	TYPE_ROTATION_VECTOR	-0.029271197	0.08188005	0.8822231
1560137727221	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.0	-76.92	-173.34
1560137727221	TYPE_GYROSCOPE_UNCALIBRATED	0.43493652	0.60414124	0.18629456
1560137727221	TYPE_ACCELEROMETER_UNCALIBRATED	-0.8123627	1.3029022	8.696716
1560137727241	TYPE_ACCELEROMETER	-0.28953552	1.6953125	7.3220367
1560137727241	TYPE_MAGNETIC_FIELD	18.3	-12.059999	-26.039999
1560137727241	TYPE_GYROSCOPE	0.26626587	0.3852234	0.2313385
1560137727241	TYPE_ROTATION_VECTOR	0.005470222	0.08675795	0.834249
1560137727241	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.3	-76.74	-173.04
1560137727241	TYPE_GYROSCOPE_UNCALIBRATED	0.38484192	0.50642395	0.20341492
1560137727241	TYPE_ACCELEROMETER_UNCALIBRATED	-0.39123535	1.532608	7.6953278
1560137727261	TYPE_ACCELEROMETER	-0.14955139	2.0590363	7.299301
1560137727261	TYPE_MAGNETIC_FIELD	18.42	-12.059999	-25.68
1560137727261	TYPE_GYROSCOPE	0.079956055	0.48417664	0.17576599
1560137727261	TYPE_ROTATION_VECTOR	0.036059443	0.095295504	0.80714345
1560137727261	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.42	-76.74	-172.68
1560137727261	TYPE_GYROSCOPE_UNCALIBRATED	0.2602234	0.43066406	0.15757751
1560137727261	TYPE_ACCELEROMETER_UNCALIBRATED	-0.23449707	1.8795624	7.1521454
1560137727280	TYPE_ACCELEROMETER	0.09213257	2.3162537	8.295929
1560137727280	TYPE_MAGNETIC_FIELD	18.66	-12.059999	-25.199999
1560137727280	TYPE_GYROSCOPE	-0.15948486	0.5385437	0.13545227
1560137727280	TYPE_ROTATION_VECTOR	0.034012448	0.09909601	0.80823797
1560137727280	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	-76.74	-172.2
1560137727280	TYPE_GYROSCOPE_UNCALIBRATED	0.073913574	0.5296173	0.102005005
1560137727280	TYPE_ACCELEROMETER_UNCALIBRATED	-0.046661377	2.2253265	7.725235
1560137727300	TYPE_ACCELEROMETER	0.40797424	2.4669952	9.073593
1560137727300	TYPE_MAGNETIC_FIELD	18.72	-12.36	-24.779999
1560137727300	TYPE_GYROSCOPE	-0.24438477	0.3100891	0.10307312
1560137727300	TYPE_ROTATION_VECTOR	0.029689461	0.10174348	0.8093181
1560137727300	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.72	-77.04	-171.78
1560137727300	TYPE_GYROSCOPE_UNCALIBRATED	-0.16552734	0.5839844	0.061691284
1560137727300	TYPE_ACCELEROMETER_UNCALIBRATED	0.2596283	2.3605194	8.810379
1560137727320	TYPE_ACCELEROMETER	0.5623169	2.851059	8.682358
1560137727320	TYPE_MAGNETIC_FIELD	19.02	-12.599999	-24.48
1560137727320	TYPE_GYROSCOPE	-0.059310913	0.015655518	0.06213379
1560137727320	TYPE_ROTATION_VECTOR	0.024822459	0.10246488	0.8103578
1560137727320	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.02	-77.28	-171.48
1560137727320	TYPE_GYROSCOPE_UNCALIBRATED	-0.25042725	0.3555298	0.029312134
1560137727320	TYPE_ACCELEROMETER_UNCALIBRATED	0.51924133	2.658432	9.019745
1560137727339	TYPE_ACCELEROMETER	0.61735535	3.1764832	7.6701965
1560137727339	TYPE_MAGNETIC_FIELD	18.96	-12.719999	-24.3
1560137727339	TYPE_GYROSCOPE	0.23268127	-0.020996094	0.053588867
1560137727339	TYPE_ROTATION_VECTOR	0.022716839	0.101821095	0.811041
1560137727339	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-77.4	-171.3
1560137727339	TYPE_GYROSCOPE_UNCALIBRATED	-0.06535339	0.06109619	-0.011627197
1560137727339	TYPE_ACCELEROMETER_UNCALIBRATED	0.57907104	3.0149689	8.161926
1560137727359	TYPE_ACCELEROMETER	0.6687927	3.3619232	7.2634125
1560137727359	TYPE_MAGNETIC_FIELD	19.08	-12.84	-24.3
1560137727359	TYPE_GYROSCOPE	0.38356018	0.14942932	0.085357666
1560137727359	TYPE_ROTATION_VECTOR	0.023593836	0.102292314	0.8112285
1560137727359	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.08	-77.520004	-171.3
1560137727359	TYPE_GYROSCOPE_UNCALIBRATED	0.2266388	0.02444458	-0.02017212
1560137727359	TYPE_ACCELEROMETER_UNCALIBRATED	0.57907104	3.0149689	8.161926
1560137727379	TYPE_ACCELEROMETER	0.5886383	3.2410889	7.1437683
1560137727379	TYPE_MAGNETIC_FIELD	19.38	-12.719999	-24.24
1560137727379	TYPE_GYROSCOPE	0.36950684	0.24655151	0.10551453
1560137727379	TYPE_ROTATION_VECTOR	0.025107093	0.105242744	0.81128675
1560137727379	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.38	-77.4	-171.24
1560137727379	TYPE_GYROSCOPE_UNCALIBRATED	0.3775177	0.19487	0.01159668
1560137727379	TYPE_ACCELEROMETER_UNCALIBRATED	0.65682983	3.303299	7.372299
1560137727398	TYPE_ACCELEROMETER	0.5156555	3.1274261	7.412964
1560137727398	TYPE_MAGNETIC_FIELD	19.56	-13.139999	-23.939999
1560137727398	TYPE_GYROSCOPE	0.26504517	0.23005676	0.10185242
1560137727398	TYPE_ROTATION_VECTOR	0.02566676	0.10953684	0.8114843
1560137727398	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.56	-77.82	-170.94
1560137727398	TYPE_GYROSCOPE_UNCALIBRATED	0.36346436	0.2919922	0.03175354
1560137727398	TYPE_ACCELEROMETER_UNCALIBRATED	0.6388855	3.3260345	7.2143555
1560137727418	TYPE_ACCELEROMETER	0.15913391	3.0029907	8.383255
1560137727418	TYPE_MAGNETIC_FIELD	19.8	-13.2	-23.82
1560137727418	TYPE_GYROSCOPE	0.08180237	0.15492249	0.028549194
1560137727418	TYPE_ROTATION_VECTOR	0.025692413	0.11353195	0.8117937
1560137727418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.8	-77.88	-170.82
1560137727418	TYPE_GYROSCOPE_UNCALIBRATED	0.2590027	0.27549744	0.02809143
1560137727418	TYPE_ACCELEROMETER_UNCALIBRATED	0.5694885	3.171692	7.183258
1560137727438	TYPE_ACCELEROMETER	-0.011962891	2.8833618	9.543777
1560137727438	TYPE_MAGNETIC_FIELD	19.68	-13.44	-23.699999
1560137727438	TYPE_GYROSCOPE	-0.047698975	0.018707275	-0.075912476
1560137727438	TYPE_ROTATION_VECTOR	0.025160676	0.116057	0.81207097
1560137727438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.68	-78.12	-170.7
1560137727438	TYPE_GYROSCOPE_UNCALIBRATED	0.07575989	0.20036316	-0.045211792
1560137727438	TYPE_ACCELEROMETER_UNCALIBRATED	0.3481598	3.0747833	7.8006134
1560137727457	TYPE_ACCELEROMETER	0.06581116	2.843872	10.216156
1560137727457	TYPE_MAGNETIC_FIELD	19.68	-13.44	-23.699999
