#	startTime:1560137759776
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167bc	FloorName:F3
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137759776	TYPE_WAYPOINT	73.254776	42.315132
1560137759904	TYPE_ACCELEROMETER	0.39361572	3.772293	9.664612
1560137759904	TYPE_MAGNETIC_FIELD	5.1	22.08	-30.84
1560137759904	TYPE_GYROSCOPE	-0.057785034	1.5226593	1.13237
1560137759904	TYPE_ROTATION_VECTOR	0.20339711	-0.024280572	0.11911759
1560137759904	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.1	-42.6	-177.84
1560137759904	TYPE_GYROSCOPE_UNCALIBRATED	-0.08306885	1.9401093	1.4672699
1560137759904	TYPE_ACCELEROMETER_UNCALIBRATED	0.45942688	3.8105774	9.67659
1560137759924	TYPE_ACCELEROMETER	0.7298126	3.7914276	9.233917
1560137759924	TYPE_MAGNETIC_FIELD	4.98	22.26	-30.84
1560137759924	TYPE_GYROSCOPE	0.072647095	0.45791626	-0.030700684
1560137759924	TYPE_ROTATION_VECTOR	0.18551569	-0.0035400987	0.07735164
1560137759924	TYPE_MAGNETIC_FIELD_UNCALIBRATED	10.98	-42.42	-177.84
1560137759924	TYPE_GYROSCOPE_UNCALIBRATED	-0.063827515	1.5681	1.058609
1560137759924	TYPE_ACCELEROMETER_UNCALIBRATED	1.0588226	3.6705933	8.673996
1560137759944	TYPE_ACCELEROMETER	1.3495483	3.4983063	8.377274
1560137759944	TYPE_MAGNETIC_FIELD	5.2799997	22.26	-30.72
1560137759944	TYPE_GYROSCOPE	0.12454224	0.4866333	0.092681885
1560137759944	TYPE_ROTATION_VECTOR	0.19610587	-0.010508281	0.13076927
1560137759944	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.28	-42.42	-177.72
1560137759944	TYPE_GYROSCOPE_UNCALIBRATED	0.066604614	0.50335693	-0.10446167
1560137759944	TYPE_ACCELEROMETER_UNCALIBRATED	1.5720825	3.3427734	8.382065
1560137759963	TYPE_ACCELEROMETER	1.7168579	3.2578278	8.541183
1560137759963	TYPE_MAGNETIC_FIELD	5.7599998	22.38	-30.48
1560137759963	TYPE_GYROSCOPE	-0.06663513	0.31619263	0.041381836
1560137759963	TYPE_ROTATION_VECTOR	0.2046085	-0.039662417	0.17316891
1560137759963	TYPE_MAGNETIC_FIELD_UNCALIBRATED	11.76	-42.300003	-177.48
1560137759963	TYPE_GYROSCOPE_UNCALIBRATED	0.118499756	0.532074	0.018920898
1560137759963	TYPE_ACCELEROMETER_UNCALIBRATED	1.8269196	3.225525	8.752945
1560137759983	TYPE_ACCELEROMETER	1.8807678	3.1908264	8.910873
1560137759983	TYPE_MAGNETIC_FIELD	6.2999997	22.26	-30.42
1560137759983	TYPE_GYROSCOPE	-0.21081543	0.18545532	-0.044143677
1560137759983	TYPE_ROTATION_VECTOR	0.1943307	-0.05478793	0.204239
1560137759983	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.299999	-42.42	-177.42
1560137759983	TYPE_GYROSCOPE_UNCALIBRATED	-0.07267761	0.3616333	-0.03237915
1560137759983	TYPE_ACCELEROMETER_UNCALIBRATED	1.8197479	3.1740875	9.026932
1560137760003	TYPE_ACCELEROMETER	1.684555	3.208786	9.183655
1560137760003	TYPE_MAGNETIC_FIELD	6.72	22.38	-30.3
1560137760003	TYPE_GYROSCOPE	-0.27861023	0.07978821	-0.1693573
1560137760003	TYPE_ROTATION_VECTOR	0.1849987	-0.059818104	0.21237907
1560137760003	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-42.300003	-177.3
1560137760003	TYPE_GYROSCOPE_UNCALIBRATED	-0.21685791	0.230896	-0.11790466
1560137760003	TYPE_ACCELEROMETER_UNCALIBRATED	1.5505524	3.2650146	9.388245
1560137760022	TYPE_ACCELEROMETER	1.470398	3.275772	9.559326
1560137760022	TYPE_MAGNETIC_FIELD	6.72	22.38	-30.3
1560137760022	TYPE_GYROSCOPE	-0.26638794	0.062072754	-0.24389648
1560137760022	TYPE_ROTATION_VECTOR	0.1849987	-0.059818104	0.21237907
1560137760022	TYPE_MAGNETIC_FIELD_UNCALIBRATED	12.719999	-42.300003	-177.3
1560137760022	TYPE_GYROSCOPE_UNCALIBRATED	-0.2846527	0.12522888	-0.24311829
1560137760022	TYPE_ACCELEROMETER_UNCALIBRATED	1.4404907	3.2386932	9.645477
1560137760042	TYPE_ACCELEROMETER	1.4165497	3.242279	9.668213
1560137760042	TYPE_MAGNETIC_FIELD	7.02	22.5	-30.0
1560137760042	TYPE_GYROSCOPE	-0.15582275	0.03152466	-0.2982483
1560137760042	TYPE_ROTATION_VECTOR	0.1798117	-0.0588751	0.20844756
1560137760042	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.02	-42.18	-177.0
1560137760042	TYPE_GYROSCOPE_UNCALIBRATED	-0.27243042	0.10751343	-0.31765747
1560137760042	TYPE_ACCELEROMETER_UNCALIBRATED	1.3351898	3.3068848	9.651459
1560137760062	TYPE_ACCELEROMETER	1.159317	3.372696	9.607178
1560137760062	TYPE_MAGNETIC_FIELD	7.3199997	22.68	-30.0
1560137760062	TYPE_GYROSCOPE	-0.02204895	0.08834839	-0.36849976
1560137760062	TYPE_ROTATION_VECTOR	0.17844474	-0.0583717	0.20560648
1560137760062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.32	-42.0	-177.0
1560137760062	TYPE_GYROSCOPE_UNCALIBRATED	-0.16186523	0.07696533	-0.37200928
1560137760062	TYPE_ACCELEROMETER_UNCALIBRATED	0.96910095	3.3990173	9.522232
1560137760081	TYPE_ACCELEROMETER	0.84228516	3.4085846	9.377472
1560137760081	TYPE_MAGNETIC_FIELD	7.62	22.439999	-29.699999
1560137760081	TYPE_GYROSCOPE	0.08178711	0.08772278	-0.40942383
1560137760081	TYPE_ROTATION_VECTOR	0.17826279	-0.056943994	0.20227635
1560137760081	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.62	-42.24	-176.7
1560137760081	TYPE_GYROSCOPE_UNCALIBRATED	-0.02809143	0.13378906	-0.44226074
1560137760081	TYPE_ACCELEROMETER_UNCALIBRATED	0.96910095	3.3990173	9.522232
1560137760101	TYPE_ACCELEROMETER	0.722641	3.5952148	8.933609
1560137760101	TYPE_MAGNETIC_FIELD	7.56	22.56	-29.519999
1560137760101	TYPE_GYROSCOPE	0.13432312	0.00831604	-0.45280457
1560137760101	TYPE_ROTATION_VECTOR	0.17908141	-0.055236988	0.19861339
1560137760101	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.559999	-42.120003	-176.52
1560137760101	TYPE_GYROSCOPE_UNCALIBRATED	0.07574463	0.13316345	-0.4831848
1560137760101	TYPE_ACCELEROMETER_UNCALIBRATED	0.5958252	3.6921234	8.756531
1560137760121	TYPE_ACCELEROMETER	0.43310547	3.7603302	8.705093
1560137760121	TYPE_MAGNETIC_FIELD	7.3199997	22.5	-29.58
1560137760121	TYPE_GYROSCOPE	0.11172485	0.0034332275	-0.48028564
1560137760121	TYPE_ROTATION_VECTOR	0.18057379	-0.054097075	0.19442715
1560137760121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.32	-42.18	-176.58
1560137760121	TYPE_GYROSCOPE_UNCALIBRATED	0.12828064	0.053756714	-0.52656555
1560137760121	TYPE_ACCELEROMETER_UNCALIBRATED	0.2871399	3.8404846	8.730225
1560137760140	TYPE_ACCELEROMETER	0.16151428	3.9577332	8.786453
1560137760140	TYPE_MAGNETIC_FIELD	7.02	22.74	-29.34
1560137760140	TYPE_GYROSCOPE	0.068344116	0.019927979	-0.45463562
1560137760140	TYPE_ROTATION_VECTOR	0.18187757	-0.052998673	0.18995433
1560137760140	TYPE_MAGNETIC_FIELD_UNCALIBRATED	13.02	-41.940002	-176.34
