#	startTime:1560137857231
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137857232	TYPE_WAYPOINT	45.487885	54.410038
1560137857418	TYPE_ACCELEROMETER	-0.2979126	3.0508575	9.378677
1560137857418	TYPE_MAGNETIC_FIELD	26.099998	-3.3	-29.4
1560137857418	TYPE_GYROSCOPE	-0.15460205	0.07183838	0.009002686
1560137857418	TYPE_ROTATION_VECTOR	0.11123733	0.11509534	0.60854924
1560137857418	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.1	-67.98	-176.4
1560137857418	TYPE_GYROSCOPE_UNCALIBRATED	-0.151474	0.11668396	-0.2156372
1560137857418	TYPE_ACCELEROMETER_UNCALIBRATED	-0.09451294	2.9706879	9.299713
1560137857438	TYPE_ACCELEROMETER	0.0993042	2.9276276	9.262619
1560137857438	TYPE_MAGNETIC_FIELD	26.099998	-3.06	-29.58
1560137857438	TYPE_GYROSCOPE	-0.22546387	-0.044204712	0.0786438
1560137857438	TYPE_ROTATION_VECTOR	0.120972425	0.09509385	0.5896267
1560137857438	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.1	-67.74	-176.58
1560137857438	TYPE_GYROSCOPE_UNCALIBRATED	-0.16064453	0.11727905	-0.0647583
1560137857438	TYPE_ACCELEROMETER_UNCALIBRATED	0.221344	2.926422	9.224335
1560137857458	TYPE_ACCELEROMETER	0.30030823	2.950348	9.129822
1560137857458	TYPE_MAGNETIC_FIELD	26.16	-2.82	-29.82
1560137857458	TYPE_GYROSCOPE	-0.28044128	-0.13156128	0.076812744
1560137857458	TYPE_ROTATION_VECTOR	0.12890467	0.0824752	0.59334224
1560137857458	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	-67.5	-176.82
1560137857458	TYPE_GYROSCOPE_UNCALIBRATED	-0.23150635	0.0012359619	0.0048828125
1560137857458	TYPE_ACCELEROMETER_UNCALIBRATED	0.3864441	2.974289	9.056839
1560137857477	TYPE_ACCELEROMETER	0.4737854	2.9934235	9.025726
1560137857477	TYPE_MAGNETIC_FIELD	26.16	-2.7	-30.0
1560137857477	TYPE_GYROSCOPE	-0.28961182	-0.121170044	0.081085205
1560137857477	TYPE_ROTATION_VECTOR	0.138118	0.079365	0.5963011
1560137857477	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	-67.38	-177.0
1560137857477	TYPE_GYROSCOPE_UNCALIBRATED	-0.2956543	-0.07572937	0.0073242188
1560137857477	TYPE_ACCELEROMETER_UNCALIBRATED	0.53718567	3.000595	8.971893
1560137857497	TYPE_ACCELEROMETER	0.5862427	3.0053864	8.851059
1560137857497	TYPE_MAGNETIC_FIELD	26.4	-2.52	-30.42
1560137857497	TYPE_GYROSCOPE	-0.2572174	-0.038711548	0.09024048
1560137857497	TYPE_ROTATION_VECTOR	0.14434546	0.07314169	0.5974441
1560137857497	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-67.2	-177.42
1560137857497	TYPE_GYROSCOPE_UNCALIBRATED	-0.2632599	0.006729126	0.016479492
1560137857497	TYPE_ACCELEROMETER_UNCALIBRATED	0.6341095	3.028122	8.703903
1560137857517	TYPE_ACCELEROMETER	0.6376953	3.0747833	8.606979
1560137857517	TYPE_MAGNETIC_FIELD	26.4	-2.34	-30.48
1560137857517	TYPE_GYROSCOPE	-0.24256897	0.002822876	0.08413696
1560137857517	TYPE_ROTATION_VECTOR	0.1427214	0.07081239	0.59820074
1560137857517	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-67.02	-177.48
1560137857517	TYPE_GYROSCOPE_UNCALIBRATED	-0.2632599	0.006729126	0.016479492
1560137857517	TYPE_ACCELEROMETER_UNCALIBRATED	0.6125641	3.1178436	8.615356
1560137857536	TYPE_ACCELEROMETER	0.619751	3.1286163	8.726624
1560137857536	TYPE_MAGNETIC_FIELD	26.46	-2.1599998	-30.48
1560137857536	TYPE_GYROSCOPE	-0.27127075	0.033966064	0.08291626
1560137857536	TYPE_ROTATION_VECTOR	0.14102624	0.069113195	0.59902626
1560137857536	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-66.84	-177.48
1560137857536	TYPE_GYROSCOPE_UNCALIBRATED	-0.27731323	0.07940674	0.009155273
1560137857536	TYPE_ACCELEROMETER_UNCALIBRATED	0.6412811	3.122635	8.842682
1560137857556	TYPE_ACCELEROMETER	0.6472626	3.131012	8.912079
1560137857556	TYPE_MAGNETIC_FIELD	26.4	-2.1	-30.48
1560137857556	TYPE_GYROSCOPE	-0.27555847	0.04069519	0.08169556
1560137857556	TYPE_ROTATION_VECTOR	0.1389662	0.067694254	0.59985703
1560137857556	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-66.78	-177.48
1560137857556	TYPE_GYROSCOPE_UNCALIBRATED	-0.27731323	0.07940674	0.009155273
1560137857556	TYPE_ACCELEROMETER_UNCALIBRATED	0.6376953	3.164505	8.974289
1560137857576	TYPE_ACCELEROMETER	0.59342957	3.1908264	9.058029
1560137857576	TYPE_MAGNETIC_FIELD	26.22	-1.92	-30.48
1560137857576	TYPE_GYROSCOPE	-0.26455688	0.074905396	0.07559204
1560137857576	TYPE_ROTATION_VECTOR	0.13667282	0.06620626	0.6007346
1560137857576	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.22	-66.6	-177.48
1560137857576	TYPE_GYROSCOPE_UNCALIBRATED	-0.27059937	0.12034607	0.0018310547
1560137857576	TYPE_ACCELEROMETER_UNCALIBRATED	0.5359955	3.1920319	9.171692
1560137857595	TYPE_ACCELEROMETER	0.5156555	3.2039948	9.284164
1560137857595	TYPE_MAGNETIC_FIELD	26.4	-1.74	-30.48
1560137857595	TYPE_GYROSCOPE	-0.24502563	0.09994507	0.089035034
1560137857595	TYPE_ROTATION_VECTOR	0.13431808	0.064943336	0.6015786
1560137857595	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-66.42	-177.48
1560137857595	TYPE_GYROSCOPE_UNCALIBRATED	-0.25106812	0.14538574	0.015274048
1560137857595	TYPE_ACCELEROMETER_UNCALIBRATED	0.5359955	3.2410736	9.360733
1560137857615	TYPE_ACCELEROMETER	0.6101837	3.2805634	9.430115
1560137857615	TYPE_MAGNETIC_FIELD	26.46	-1.56	-30.42
1560137857615	TYPE_GYROSCOPE	-0.20162964	0.08895874	0.11405945
1560137857615	TYPE_ROTATION_VECTOR	0.13184312	0.06400976	0.6024749
1560137857615	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-66.24	-177.42
1560137857615	TYPE_GYROSCOPE_UNCALIBRATED	-0.20767212	0.13439941	0.040298462
1560137857615	TYPE_ACCELEROMETER_UNCALIBRATED	0.72862244	3.3068848	9.497116
1560137857635	TYPE_ACCELEROMETER	0.8410797	3.2925262	9.585648
1560137857635	TYPE_MAGNETIC_FIELD	26.46	-1.3199999	-30.42
1560137857635	TYPE_GYROSCOPE	-0.14544678	0.099349976	0.13421631
1560137857635	TYPE_ROTATION_VECTOR	0.12960052	0.06329533	0.60351336
1560137857635	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.46	-66.0	-177.42
1560137857635	TYPE_GYROSCOPE_UNCALIBRATED	-0.15148926	0.14479065	0.060455322
1560137857635	TYPE_ACCELEROMETER_UNCALIBRATED	0.9152527	3.2566376	9.702896
1560137857654	TYPE_ACCELEROMETER	0.948761	3.2374878	9.80101
1560137857654	TYPE_MAGNETIC_FIELD	26.279999	-1.3199999	-30.119999
1560137857654	TYPE_GYROSCOPE	-0.08068848	0.14025879	0.11895752
1560137857654	TYPE_ROTATION_VECTOR	0.1278059	0.06278128	0.6047135
1560137857654	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.28	-66.0	-177.12
1560137857654	TYPE_GYROSCOPE_UNCALIBRATED	-0.08673096	0.18569946	0.045196533
1560137857654	TYPE_ACCELEROMETER_UNCALIBRATED	0.94755554	3.2410736	9.88356
1560137857674	TYPE_ACCELEROMETER	0.9056854	3.2530518	10.011566
1560137857674	TYPE_MAGNETIC_FIELD	26.4	-1.5	-30.119999
1560137857674	TYPE_GYROSCOPE	-0.02571106	0.15187073	0.0786438
1560137857674	TYPE_ROTATION_VECTOR	0.12629405	0.062858276	0.6059418
1560137857674	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.4	-66.18	-177.12
1560137857674	TYPE_GYROSCOPE_UNCALIBRATED	-0.03175354	0.1973114	0.0048828125
1560137857674	TYPE_ACCELEROMETER_UNCALIBRATED	0.825531	3.2674103	10.303497
1560137857694	TYPE_ACCELEROMETER	0.70947266	3.262619	10.671997
1560137857694	TYPE_MAGNETIC_FIELD	26.16	-1.3199999	-30.179998
1560137857694	TYPE_GYROSCOPE	-0.008010864	0.14025879	0.03527832
1560137857694	TYPE_ROTATION_VECTOR	0.12509437	0.06359165	0.6069256
1560137857694	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.16	-66.0	-177.18
1560137857694	TYPE_GYROSCOPE_UNCALIBRATED	-0.014053345	0.18569946	-0.038482666
1560137857694	TYPE_ACCELEROMETER_UNCALIBRATED	0.5874481	3.2733765	10.986649
1560137857713	TYPE_ACCELEROMETER	0.49412537	3.3463593	11.282166
1560137857713	TYPE_MAGNETIC_FIELD	26.22	-1.1999999	-30.3
1560137857713	TYPE_GYROSCOPE	0.032318115	0.049240112	-0.0129852295
1560137857713	TYPE_ROTATION_VECTOR	0.12409787	0.064587496	0.6075631
1560137857713	TYPE_MAGNETIC_FIELD_UNCALIBRATED	32.22	-65.88	-177.3
1560137857713	TYPE_GYROSCOPE_UNCALIBRATED	-0.014053345	0.18569946	-0.038482666
1560137857713	TYPE_ACCELEROMETER_UNCALIBRATED	0.32662964	3.4073792	11.501099
1560137857733	TYPE_ACCELEROMETER	-0.0143585205	3.365509	11.586044
1560137857733	TYPE_MAGNETIC_FIELD	26.46	-0.96	-30.42
1560137857733	TYPE_GYROSCOPE	0.08544922	0.010757446	-0.051467896
