#	startTime:1560137994342
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560137994343	TYPE_WAYPOINT	83.31165	57.659363
1560137994475	TYPE_ACCELEROMETER	0.61735535	2.5040894	10.092926
1560137994475	TYPE_MAGNETIC_FIELD	23.82	-13.259999	-15.24
1560137994475	TYPE_GYROSCOPE	-0.21141052	0.7999878	1.7572784
1560137994475	TYPE_ROTATION_VECTOR	0.116112515	0.07774986	0.7917223
1560137994475	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.66	-74.82	-159.90001
1560137994475	TYPE_GYROSCOPE_UNCALIBRATED	-0.217453	0.84542847	1.6835175
1560137994475	TYPE_ACCELEROMETER_UNCALIBRATED	0.7525482	2.589035	9.850052
1560137994495	TYPE_ACCELEROMETER	0.63648987	2.4215393	10.003204
1560137994495	TYPE_MAGNETIC_FIELD	24.18	-13.0199995	-15.179999
1560137994495	TYPE_GYROSCOPE	-0.07948303	0.20532227	0.24725342
1560137994495	TYPE_ROTATION_VECTOR	0.09606854	0.07840145	0.7941398
1560137994495	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.02	-74.579994	-159.84
1560137994495	TYPE_GYROSCOPE_UNCALIBRATED	-0.08552551	0.25076294	0.17349243
1560137994495	TYPE_ACCELEROMETER_UNCALIBRATED	0.7525482	2.589035	9.850052
1560137994515	TYPE_ACCELEROMETER	0.8219452	2.4047852	9.450455
1560137994515	TYPE_MAGNETIC_FIELD	24.24	-12.96	-15.12
1560137994515	TYPE_GYROSCOPE	0.07324219	-0.0032958984	-0.22312927
1560137994515	TYPE_ROTATION_VECTOR	0.092931114	0.079033315	0.81276083
1560137994515	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.08	-74.52	-159.78
1560137994515	TYPE_GYROSCOPE_UNCALIBRATED	0.06719971	0.042144775	-0.29689026
1560137994515	TYPE_ACCELEROMETER_UNCALIBRATED	0.57188416	2.4394836	10.158737
1560137994534	TYPE_ACCELEROMETER	0.7920227	2.292328	9.395416
1560137994534	TYPE_MAGNETIC_FIELD	24.66	-12.78	-14.82
1560137994534	TYPE_GYROSCOPE	0.16181946	0.11155701	-0.184021
