#	startTime:1560138033095
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138033095	TYPE_WAYPOINT	81.461044	28.183407
1560138033210	TYPE_ACCELEROMETER	0.25604248	1.9166565	9.991241
1560138033210	TYPE_MAGNETIC_FIELD	23.76	-1.4399999	-28.14
1560138033210	TYPE_GYROSCOPE	0.16729736	0.6204071	-0.40393066
1560138033210	TYPE_ROTATION_VECTOR	0.06882344	0.046980932	0.59505457
1560138033210	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.6	-62.999996	-172.8
1560138033210	TYPE_GYROSCOPE_UNCALIBRATED	0.16125488	0.6658478	-0.47769165
1560138033210	TYPE_ACCELEROMETER_UNCALIBRATED	0.21296692	1.8795624	10.158737
1560138033230	TYPE_ACCELEROMETER	0.30747986	2.0398865	9.564117
1560138033230	TYPE_MAGNETIC_FIELD	23.76	-1.4399999	-28.14
1560138033230	TYPE_GYROSCOPE	0.17463684	0.06512451	-0.11804199
1560138033230	TYPE_ROTATION_VECTOR	0.06882344	0.046980932	0.59505457
1560138033230	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.6	-62.999996	-172.8
1560138033230	TYPE_GYROSCOPE_UNCALIBRATED	0.16125488	0.6658478	-0.47769165
1560138033230	TYPE_ACCELEROMETER_UNCALIBRATED	0.25604248	1.9166565	9.991241
1560138033250	TYPE_ACCELEROMETER	0.2584381	2.148758	9.115463
1560138033250	TYPE_MAGNETIC_FIELD	24.119999	-1.3199999	-28.619999
1560138033250	TYPE_GYROSCOPE	0.19174194	0.061462402	-0.14309692
1560138033250	TYPE_ROTATION_VECTOR	0.090433046	0.052943934	0.62505454
1560138033250	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-62.879997	-173.28
1560138033250	TYPE_GYROSCOPE_UNCALIBRATED	0.16859436	0.110565186	-0.19180298
1560138033250	TYPE_ACCELEROMETER_UNCALIBRATED	0.2584381	2.148758	9.115463
1560138033269	TYPE_ACCELEROMETER	0.114852905	2.280365	8.946762
1560138033269	TYPE_MAGNETIC_FIELD	24.119999	-1.3199999	-28.56
1560138033269	TYPE_GYROSCOPE	0.13861084	0.038864136	-0.14614868
1560138033269	TYPE_ROTATION_VECTOR	0.09741628	0.06260593	0.6292258
1560138033269	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-62.879997	-173.22
1560138033269	TYPE_GYROSCOPE_UNCALIBRATED	0.18569946	0.106903076	-0.21685791
1560138033269	TYPE_ACCELEROMETER_UNCALIBRATED	0.114852905	2.280365	8.946762
1560138033289	TYPE_ACCELEROMETER	0.052642822	2.334198	9.14418
1560138033289	TYPE_MAGNETIC_FIELD	24.119999	-1.4399999	-28.619999
1560138033289	TYPE_GYROSCOPE	0.057357788	0.010147095	-0.11378479
1560138033289	TYPE_ROTATION_VECTOR	0.09992446	0.07501912	0.6327463
1560138033289	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-62.999996	-173.28
1560138033289	TYPE_GYROSCOPE_UNCALIBRATED	0.13256836	0.08430481	-0.21990967
1560138033289	TYPE_ACCELEROMETER_UNCALIBRATED	0.052642822	2.334198	9.14418
1560138033309	TYPE_ACCELEROMETER	0.050247192	2.374878	9.379868
1560138033309	TYPE_MAGNETIC_FIELD	24.119999	-1.62	-28.56
1560138033309	TYPE_GYROSCOPE	0.015823364	-0.038101196	-0.08627319
1560138033309	TYPE_ROTATION_VECTOR	0.09791558	0.07607045	0.62296224
1560138033309	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-63.179996	-173.22
1560138033309	TYPE_GYROSCOPE_UNCALIBRATED	0.051315308	0.05558777	-0.18754578
1560138033309	TYPE_ACCELEROMETER_UNCALIBRATED	0.050247192	2.374878	9.379868
1560138033328	TYPE_ACCELEROMETER	0.008377075	2.4083862	9.450455
1560138033328	TYPE_MAGNETIC_FIELD	24.119999	-1.4399999	-28.38
1560138033328	TYPE_GYROSCOPE	0.013381958	-0.03199768	-0.06491089
1560138033328	TYPE_ROTATION_VECTOR	0.09735118	0.07549467	0.62229455
1560138033328	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.96	-62.999996	-173.04001
1560138033328	TYPE_GYROSCOPE_UNCALIBRATED	0.009780884	0.0073394775	-0.16003418
1560138033328	TYPE_ACCELEROMETER_UNCALIBRATED	0.008377075	2.4083862	9.450455
1560138033348	TYPE_ACCELEROMETER	-0.049057007	2.3892365	9.426529
1560138033348	TYPE_MAGNETIC_FIELD	24.24	-1.4399999	-28.32
1560138033348	TYPE_GYROSCOPE	0.0029907227	0.005264282	-0.021530151
1560138033348	TYPE_ROTATION_VECTOR	0.097638786	0.0753866	0.62159115
1560138033348	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.08	-62.999996	-172.98001
1560138033348	TYPE_GYROSCOPE_UNCALIBRATED	0.0073394775	0.013442993	-0.13867188
1560138033348	TYPE_ACCELEROMETER_UNCALIBRATED	-0.049057007	2.3892365	9.426529
1560138033368	TYPE_ACCELEROMETER	0.03111267	2.3078918	9.460022
1560138033368	TYPE_MAGNETIC_FIELD	24.359999	-1.4399999	-27.96
1560138033368	TYPE_GYROSCOPE	-0.039154053	-0.022827148	0.016342163
1560138033368	TYPE_ROTATION_VECTOR	0.09788792	0.07528675	0.6210567
1560138033368	TYPE_MAGNETIC_FIELD_UNCALIBRATED	25.199999	-62.999996	-172.62
1560138033368	TYPE_GYROSCOPE_UNCALIBRATED	-0.0030517578	0.050704956	-0.09529114
1560138033368	TYPE_ACCELEROMETER_UNCALIBRATED	-0.049057007	2.3892365	9.426529
1560138033387	TYPE_ACCELEROMETER	0.07777405	2.2839508	9.438492
1560138033387	TYPE_MAGNETIC_FIELD	24.06	-1.4399999	-27.72
1560138033387	TYPE_GYROSCOPE	-0.09840393	-0.0723114	0.01878357
1560138033387	TYPE_ROTATION_VECTOR	0.09786445	0.075365044	0.6208937
1560138033387	TYPE_MAGNETIC_FIELD_UNCALIBRATED	24.9	-62.999996	-172.38
