#	startTime:1560138090932
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138090933	TYPE_WAYPOINT	69.08233	51.770912
1560138091062	TYPE_ACCELEROMETER	0.47138977	3.5880432	8.182266
1560138091062	TYPE_MAGNETIC_FIELD	-19.26	-32.28	-11.88
1560138091062	TYPE_GYROSCOPE	0.20335388	0.1362915	0.04107666
1560138091062	TYPE_ROTATION_VECTOR	0.033879	-0.1908846	-0.93178046
1560138091062	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.42	-93.84	-156.54001
1560138091062	TYPE_GYROSCOPE_UNCALIBRATED	0.0012207031	-0.21133423	0.08917236
1560138091062	TYPE_ACCELEROMETER_UNCALIBRATED	0.49771118	3.6909332	7.7814636
1560138091082	TYPE_ACCELEROMETER	0.58026123	3.7423706	7.5146637
1560138091082	TYPE_MAGNETIC_FIELD	-19.38	-32.579998	-11.88
1560138091082	TYPE_GYROSCOPE	0.1404419	0.23066711	0.046279907
1560138091082	TYPE_ROTATION_VECTOR	0.04043622	-0.21661898	-0.9267291
1560138091082	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.539999	-94.14	-156.54001
1560138091082	TYPE_GYROSCOPE_UNCALIBRATED	0.22480774	0.30421448	-0.05619812
1560138091082	TYPE_ACCELEROMETER_UNCALIBRATED	0.49771118	3.6909332	7.7814636
1560138091102	TYPE_ACCELEROMETER	0.7992096	3.7160645	7.610382
1560138091102	TYPE_MAGNETIC_FIELD	-19.68	-32.76	-11.88
1560138091102	TYPE_GYROSCOPE	-0.048309326	0.115219116	0.064590454
1560138091102	TYPE_ROTATION_VECTOR	0.036449876	-0.22989021	-0.9172634
1560138091102	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-18.84	-94.31999	-156.54001
1560138091102	TYPE_GYROSCOPE_UNCALIBRATED	0.22480774	0.30421448	-0.05619812
1560138091102	TYPE_ACCELEROMETER_UNCALIBRATED	0.9140625	3.706482	7.8101807
1560138091121	TYPE_ACCELEROMETER	0.982254	3.7292175	8.017151
1560138091121	TYPE_MAGNETIC_FIELD	-19.859999	-33.059998	-11.82
1560138091121	TYPE_GYROSCOPE	-0.16253662	0.029693604	0.03527832
1560138091121	TYPE_ROTATION_VECTOR	0.014641734	-0.2248331	-0.92903274
1560138091121	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.019999	-94.619995	-156.48001
1560138091121	TYPE_GYROSCOPE_UNCALIBRATED	0.03237915	0.2278595	-0.010391235
1560138091121	TYPE_ACCELEROMETER_UNCALIBRATED	0.9140625	3.706482	7.8101807
1560138091141	TYPE_ACCELEROMETER	0.90449524	3.768692	8.539978
1560138091141	TYPE_MAGNETIC_FIELD	-20.039999	-33.18	-11.759999
1560138091141	TYPE_GYROSCOPE	-0.18208313	0.061462402	0.028564453
1560138091141	TYPE_ROTATION_VECTOR	0.0136709595	-0.21659899	-0.9279058
1560138091141	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.199999	-94.74	-156.42
1560138091141	TYPE_GYROSCOPE_UNCALIBRATED	-0.19241333	0.08735657	-0.046417236
1560138091141	TYPE_ACCELEROMETER_UNCALIBRATED	0.97268677	3.755539	8.274384
1560138091161	TYPE_ACCELEROMETER	0.81596375	3.7746887	8.847473
1560138091161	TYPE_MAGNETIC_FIELD	-20.22	-33.18	-11.88
1560138091161	TYPE_GYROSCOPE	-0.13505554	0.102996826	0.045654297
1560138091161	TYPE_ROTATION_VECTOR	0.020921836	-0.20464855	-0.9295045
1560138091161	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.38	-94.74	-156.54001
1560138091161	TYPE_GYROSCOPE_UNCALIBRATED	-0.19241333	0.08735657	-0.046417236
1560138091161	TYPE_ACCELEROMETER_UNCALIBRATED	0.84347534	3.7710876	8.727829
1560138091180	TYPE_ACCELEROMETER	0.8099823	3.7770844	8.921646
1560138091180	TYPE_MAGNETIC_FIELD	-20.22	-33.36	-11.88
1560138091180	TYPE_GYROSCOPE	-0.1051178	0.1408844	0.061538696
1560138091180	TYPE_ROTATION_VECTOR	0.020921836	-0.20464855	-0.9295045
1560138091180	TYPE_MAGNETIC_FIELD_UNCALIBRATED	-19.38	-94.74	-156.54001
