#	startTime:1560138140930
#	SiteID:5cd56865eb294480de7167b6	SiteName:特力时尚汇	FloorId:5cd56865eb294480de7167be	FloorName:F4
#	Brand:vivo	Model:vivo X21A	AndroidName:8.1.0	APILevel:27	
#	type:1	name:LSM6DS3TRCTRC Accelerometer	version:1	vendor:STMicroelectronics	resolution:5.950928E-4	power:0.15	maximumRange:78.4532
#	type:4	name:LSM6DS3TRCTRC Gyroscope	version:1	vendor:STMicroelectronics	resolution:6.1035156E-4	power:0.45	maximumRange:34.906586
#	type:2	name:AK09918 Magnetometer	version:1	vendor:AKM	resolution:0.1	power:1.1	maximumRange:4900.0
#	VersionName:v20190529-nightly	VersionCode:258	
1560138140931	TYPE_WAYPOINT	69.08233	51.770912
1560138141074	TYPE_ACCELEROMETER	-0.24407959	2.9599304	12.263229
1560138141074	TYPE_MAGNETIC_FIELD	21.84	23.64	-27.72
1560138141074	TYPE_GYROSCOPE	0.047592163	-0.038101196	-0.0032043457
1560138141074	TYPE_ROTATION_VECTOR	0.12846513	0.036335867	0.31253067
1560138141074	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.68	-37.92	-172.38
1560138141074	TYPE_GYROSCOPE_UNCALIBRATED	0.041549683	0.0073394775	-0.07696533
1560138141074	TYPE_ACCELEROMETER_UNCALIBRATED	-0.35653687	2.7003021	12.381668
1560138141094	TYPE_ACCELEROMETER	-0.095718384	2.4562378	12.625732
1560138141094	TYPE_MAGNETIC_FIELD	21.72	23.82	-27.539999
1560138141094	TYPE_GYROSCOPE	-0.29327393	-0.122406006	0.074661255
1560138141094	TYPE_ROTATION_VECTOR	0.098627836	0.044542365	0.289963
1560138141094	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.56	-37.739998	-172.2
1560138141094	TYPE_GYROSCOPE_UNCALIBRATED	-0.07206726	-0.020767212	-0.05101013
1560138141094	TYPE_ACCELEROMETER_UNCALIBRATED	0.40319824	2.1846466	12.871002
1560138141114	TYPE_ACCELEROMETER	1.0648193	2.0147552	12.979874
1560138141114	TYPE_MAGNETIC_FIELD	21.66	24.06	-27.48
1560138141114	TYPE_GYROSCOPE	-0.3513031	-0.074142456	0.20263672
1560138141114	TYPE_ROTATION_VECTOR	0.08467581	0.01236221	0.3129399
1560138141114	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.5	-37.5	-172.14
1560138141114	TYPE_GYROSCOPE_UNCALIBRATED	-0.4001007	-0.0677948	0.06718445
1560138141114	TYPE_ACCELEROMETER_UNCALIBRATED	1.7766724	1.8831482	12.814758
1560138141133	TYPE_ACCELEROMETER	2.3593292	1.7455597	12.317062
1560138141133	TYPE_MAGNETIC_FIELD	21.359999	24.06	-27.119999
1560138141133	TYPE_GYROSCOPE	-0.13627625	-0.17858887	0.20141602
1560138141133	TYPE_ROTATION_VECTOR	0.09191314	-0.039377507	0.34000838
1560138141133	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.199999	-37.5	-171.78
1560138141133	TYPE_GYROSCOPE_UNCALIBRATED	-0.27427673	-0.060455322	0.1502533
1560138141133	TYPE_ACCELEROMETER_UNCALIBRATED	2.7577362	1.7108765	11.615967
1560138141153	TYPE_ACCELEROMETER	2.9575348	1.7874451	10.918457
1560138141153	TYPE_MAGNETIC_FIELD	21.24	24.06	-26.88
1560138141153	TYPE_GYROSCOPE	0.19847107	-0.18714905	0.032211304
1560138141153	TYPE_ROTATION_VECTOR	0.1092043	-0.07982934	0.3733619
1560138141153	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.08	-37.5	-171.54001
1560138141153	TYPE_GYROSCOPE_UNCALIBRATED	0.026885986	-0.17774963	0.060455322
1560138141153	TYPE_ACCELEROMETER_UNCALIBRATED	2.9013062	1.9130554	10.344177
1560138141173	TYPE_ACCELEROMETER	2.575882	2.0075836	9.869202
1560138141173	TYPE_MAGNETIC_FIELD	21.18	24.119999	-26.76
1560138141173	TYPE_GYROSCOPE	0.39820862	0.09565735	-0.21395874
1560138141173	TYPE_ROTATION_VECTOR	0.13483769	-0.091376394	0.37366325
1560138141173	TYPE_MAGNETIC_FIELD_UNCALIBRATED	22.02	-37.44	-171.42
1560138141173	TYPE_GYROSCOPE_UNCALIBRATED	0.31765747	-0.025039673	-0.1631012
1560138141173	TYPE_ACCELEROMETER_UNCALIBRATED	2.0099792	1.9992065	9.419342
1560138141192	TYPE_ACCELEROMETER	1.2275238	1.9429779	9.038895
1560138141192	TYPE_MAGNETIC_FIELD	20.939999	24.06	-26.58
1560138141192	TYPE_GYROSCOPE	0.3957672	0.43592834	-0.42103577
1560138141192	TYPE_ROTATION_VECTOR	0.13826622	-0.088805765	0.37223685
1560138141192	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.779999	-37.5	-171.24
1560138141192	TYPE_GYROSCOPE_UNCALIBRATED	0.41537476	0.32254028	-0.40133667
1560138141192	TYPE_ACCELEROMETER_UNCALIBRATED	2.0099792	1.9992065	9.419342
1560138141212	TYPE_ACCELEROMETER	-0.599411	1.7611237	9.008987
1560138141212	TYPE_MAGNETIC_FIELD	21.06	23.82	-26.46
1560138141212	TYPE_GYROSCOPE	0.17036438	0.6332245	-0.51571655
1560138141212	TYPE_ROTATION_VECTOR	0.14059238	-0.08289475	0.369399
1560138141212	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.9	-37.739998	-171.12
1560138141212	TYPE_GYROSCOPE_UNCALIBRATED	0.30970764	0.5980377	-0.5601654
1560138141212	TYPE_ACCELEROMETER_UNCALIBRATED	0.3098755	1.8783722	8.87738
1560138141232	TYPE_ACCELEROMETER	-1.5720825	1.4512482	10.057037
1560138141232	TYPE_MAGNETIC_FIELD	21.06	23.88	-26.46
1560138141232	TYPE_GYROSCOPE	-0.2541809	0.63079834	-0.42225647
1560138141232	TYPE_ROTATION_VECTOR	0.14025758	-0.075880155	0.3657758
1560138141232	TYPE_MAGNETIC_FIELD_UNCALIBRATED	21.9	-37.68	-171.12
